[671, 419]
[folio, [165.0, 20.0, 89.0, 18.0], shoonya_0sEY1PA0V56PCP, 5748571]
[paragraph, [25.0, 59.0, 371.0, 18.0], W9FxSko8Zu, 5748571]
[paragraph, [25.0, 77.0, 371.0, 18.0], W9FxSko8Zu, 5748571]
[paragraph, [20.0, 110.0, 382.0, 18.0], 92adEIgPmP, 5748571]
[paragraph, [20.0, 128.0, 382.0, 18.0], 92adEIgPmP, 5748571]
[paragraph, [20.0, 146.0, 382.0, 18.0], 92adEIgPmP, 5748571]
[paragraph, [20.0, 164.0, 382.0, 18.0], 92adEIgPmP, 5748571]
[paragraph, [20.0, 182.0, 382.0, 18.0], 92adEIgPmP, 5748571]
[paragraph, [20.0, 200.0, 382.0, 18.0], 92adEIgPmP, 5748571]
[paragraph, [20.0, 218.0, 382.0, 18.0], 92adEIgPmP, 5748571]
[paragraph, [20.0, 236.0, 382.0, 18.0], 92adEIgPmP, 5748571]
[paragraph, [20.0, 254.0, 382.0, 18.0], 92adEIgPmP, 5748571]
[paragraph, [20.0, 272.0, 382.0, 18.0], 92adEIgPmP, 5748571]
[paragraph, [20.0, 290.0, 382.0, 18.0], 92adEIgPmP, 5748571]
[paragraph, [20.0, 308.0, 382.0, 18.0], 92adEIgPmP, 5748571]
[paragraph, [20.0, 326.0, 382.0, 18.0], 92adEIgPmP, 5748571]
[paragraph, [20.0, 391.0, 374.0, 18.0], Lvb6UWLfQz, 5748571]
[paragraph, [20.0, 409.0, 374.0, 18.0], Lvb6UWLfQz, 5748571]
[answer, [22.0, 518.0, 376.0, 18.0], pxxSGE5oNG, 5748571]
[answer, [22.0, 536.0, 376.0, 18.0], pxxSGE5oNG, 5748571]
[answer, [22.0, 554.0, 376.0, 18.0], pxxSGE5oNG, 5748571]
[answer, [22.0, 572.0, 376.0, 18.0], pxxSGE5oNG, 5748571]
[answer, [22.0, 590.0, 376.0, 18.0], pxxSGE5oNG, 5748571]
[answer, [22.0, 608.0, 376.0, 18.0], pxxSGE5oNG, 5748571]
[answer, [22.0, 626.0, 376.0, 18.0], pxxSGE5oNG, 5748571]
