[792, 612]
[section-title, [173.0, 166.0, 146.0, 30.0], 5_cwUpYjQA, 6514951]
[paragraph, [175.0, 237.0, 297.0, 18.0], WnR2ITiG-U, 6514951]
[paragraph, [175.0, 255.0, 297.0, 18.0], WnR2ITiG-U, 6514951]
[paragraph, [175.0, 273.0, 297.0, 18.0], WnR2ITiG-U, 6514951]
[paragraph, [175.0, 291.0, 297.0, 18.0], WnR2ITiG-U, 6514951]
[paragraph, [175.0, 309.0, 297.0, 18.0], WnR2ITiG-U, 6514951]
[paragraph, [175.0, 346.0, 297.0, 18.0], shoonya_1sRSOK02DN45MN, 6514951]
[paragraph, [175.0, 364.0, 297.0, 18.0], shoonya_1sRSOK02DN45MN, 6514951]
[paragraph, [175.0, 382.0, 297.0, 18.0], shoonya_1sRSOK02DN45MN, 6514951]
[paragraph, [175.0, 400.0, 297.0, 18.0], shoonya_1sRSOK02DN45MN, 6514951]
[paragraph, [175.0, 418.0, 297.0, 18.0], shoonya_1sRSOK02DN45MN, 6514951]
[paragraph, [176.0, 452.0, 298.0, 18.0], shoonya_0s1TWQ0PVPO49L, 6514951]
[paragraph, [176.0, 470.0, 298.0, 18.0], shoonya_0s1TWQ0PVPO49L, 6514951]
[paragraph, [176.0, 488.0, 298.0, 18.0], shoonya_0s1TWQ0PVPO49L, 6514951]
[paragraph, [176.0, 506.0, 298.0, 18.0], shoonya_0s1TWQ0PVPO49L, 6514951]
