[792, 612]
[folio, [262.0, 43.0, 91.0, 18.0], AnK4I0EwCJ, 6492786]
[paragraph, [95.0, 85.0, 418.0, 18.0], shoonya_0sFUYD987H0VKJ, 6492786]
[paragraph, [95.0, 103.0, 418.0, 18.0], shoonya_0sFUYD987H0VKJ, 6492786]
[paragraph, [95.0, 121.0, 418.0, 18.0], shoonya_0sFUYD987H0VKJ, 6492786]
[paragraph, [95.0, 139.0, 418.0, 18.0], shoonya_0sFUYD987H0VKJ, 6492786]
[paragraph, [95.0, 157.0, 418.0, 18.0], shoonya_0sFUYD987H0VKJ, 6492786]
[paragraph, [95.0, 175.0, 418.0, 18.0], shoonya_0sFUYD987H0VKJ, 6492786]
[paragraph, [95.0, 193.0, 418.0, 18.0], shoonya_0sFUYD987H0VKJ, 6492786]
[paragraph, [95.0, 211.0, 418.0, 18.0], shoonya_0sFUYD987H0VKJ, 6492786]
[paragraph, [95.0, 229.0, 418.0, 18.0], shoonya_0sFUYD987H0VKJ, 6492786]
[paragraph, [95.0, 247.0, 418.0, 18.0], shoonya_0sFUYD987H0VKJ, 6492786]
[paragraph, [95.0, 265.0, 418.0, 18.0], shoonya_0sFUYD987H0VKJ, 6492786]
[paragraph, [95.0, 283.0, 418.0, 18.0], shoonya_0sFUYD987H0VKJ, 6492786]
[paragraph, [95.0, 301.0, 418.0, 18.0], shoonya_0sFUYD987H0VKJ, 6492786]
[paragraph, [95.0, 319.0, 418.0, 18.0], shoonya_0sFUYD987H0VKJ, 6492786]
[paragraph, [95.0, 337.0, 418.0, 18.0], shoonya_0sFUYD987H0VKJ, 6492786]
[paragraph, [95.0, 355.0, 418.0, 18.0], shoonya_0sFUYD987H0VKJ, 6492786]
[paragraph, [101.0, 390.0, 410.0, 18.0], Ka1t4pu9UA, 6492786]
[paragraph, [101.0, 408.0, 410.0, 18.0], Ka1t4pu9UA, 6492786]
[paragraph, [101.0, 426.0, 410.0, 18.0], Ka1t4pu9UA, 6492786]
[paragraph, [101.0, 444.0, 410.0, 18.0], Ka1t4pu9UA, 6492786]
[paragraph, [101.0, 462.0, 410.0, 18.0], Ka1t4pu9UA, 6492786]
[paragraph, [101.0, 480.0, 410.0, 18.0], Ka1t4pu9UA, 6492786]
[paragraph, [101.0, 498.0, 410.0, 18.0], Ka1t4pu9UA, 6492786]
[paragraph, [101.0, 516.0, 410.0, 18.0], Ka1t4pu9UA, 6492786]
[paragraph, [103.0, 552.0, 410.0, 18.0], Kc4nqiQiFb, 6492786]
[paragraph, [103.0, 570.0, 410.0, 18.0], Kc4nqiQiFb, 6492786]
[paragraph, [103.0, 588.0, 410.0, 18.0], Kc4nqiQiFb, 6492786]
[paragraph, [103.0, 606.0, 410.0, 18.0], Kc4nqiQiFb, 6492786]
[paragraph, [103.0, 624.0, 410.0, 18.0], Kc4nqiQiFb, 6492786]
[paragraph, [103.0, 642.0, 410.0, 18.0], Kc4nqiQiFb, 6492786]
[paragraph, [103.0, 660.0, 410.0, 18.0], Kc4nqiQiFb, 6492786]
[paragraph, [103.0, 678.0, 410.0, 18.0], Kc4nqiQiFb, 6492786]
