[1241, 798]
[section-title, [336.0, 92.0, 125.0, 30.0], shoonya_0sD0WJTIVHSKGL, 5702548]
[paragraph, [149.0, 149.0, 555.0, 18.0], OGu0MiOYut, 5702548]
[paragraph, [149.0, 167.0, 555.0, 18.0], OGu0MiOYut, 5702548]
[paragraph, [149.0, 185.0, 555.0, 18.0], OGu0MiOYut, 5702548]
[paragraph, [89.0, 216.0, 614.0, 18.0], AN4LmUBkOR, 5702548]
[paragraph, [89.0, 234.0, 614.0, 18.0], AN4LmUBkOR, 5702548]
[paragraph, [89.0, 252.0, 614.0, 18.0], AN4LmUBkOR, 5702548]
[paragraph, [89.0, 270.0, 614.0, 18.0], AN4LmUBkOR, 5702548]
[paragraph, [89.0, 288.0, 614.0, 18.0], AN4LmUBkOR, 5702548]
[paragraph, [89.0, 306.0, 614.0, 18.0], AN4LmUBkOR, 5702548]
[paragraph, [89.0, 324.0, 614.0, 18.0], AN4LmUBkOR, 5702548]
[paragraph, [92.0, 359.0, 610.0, 18.0], oRK9S-nSy9, 5702548]
[paragraph, [92.0, 377.0, 610.0, 18.0], oRK9S-nSy9, 5702548]
[paragraph, [92.0, 395.0, 610.0, 18.0], oRK9S-nSy9, 5702548]
[paragraph, [92.0, 413.0, 610.0, 18.0], oRK9S-nSy9, 5702548]
[paragraph, [92.0, 431.0, 610.0, 18.0], oRK9S-nSy9, 5702548]
[paragraph, [92.0, 449.0, 610.0, 18.0], oRK9S-nSy9, 5702548]
[paragraph, [92.0, 467.0, 610.0, 18.0], oRK9S-nSy9, 5702548]
[paragraph, [92.0, 485.0, 610.0, 18.0], oRK9S-nSy9, 5702548]
[paragraph, [92.0, 503.0, 610.0, 18.0], oRK9S-nSy9, 5702548]
[paragraph, [92.0, 521.0, 610.0, 18.0], oRK9S-nSy9, 5702548]
[paragraph, [92.0, 539.0, 610.0, 18.0], oRK9S-nSy9, 5702548]
[paragraph, [92.0, 557.0, 610.0, 18.0], oRK9S-nSy9, 5702548]
[paragraph, [92.0, 575.0, 610.0, 18.0], oRK9S-nSy9, 5702548]
[paragraph, [92.0, 593.0, 610.0, 18.0], oRK9S-nSy9, 5702548]
[paragraph, [92.0, 611.0, 610.0, 18.0], oRK9S-nSy9, 5702548]
[paragraph, [92.0, 629.0, 610.0, 18.0], oRK9S-nSy9, 5702548]
[paragraph, [92.0, 647.0, 610.0, 18.0], oRK9S-nSy9, 5702548]
[paragraph, [92.0, 665.0, 610.0, 18.0], oRK9S-nSy9, 5702548]
[paragraph, [90.0, 687.0, 616.0, 18.0], shoonya_1sQLFMMR7MFGZE, 5702548]
[paragraph, [90.0, 705.0, 616.0, 18.0], shoonya_1sQLFMMR7MFGZE, 5702548]
[paragraph, [90.0, 723.0, 616.0, 18.0], shoonya_1sQLFMMR7MFGZE, 5702548]
[paragraph, [90.0, 741.0, 616.0, 18.0], shoonya_1sQLFMMR7MFGZE, 5702548]
[paragraph, [90.0, 759.0, 616.0, 18.0], shoonya_1sQLFMMR7MFGZE, 5702548]
[paragraph, [90.0, 777.0, 616.0, 18.0], shoonya_1sQLFMMR7MFGZE, 5702548]
[paragraph, [90.0, 795.0, 616.0, 18.0], shoonya_1sQLFMMR7MFGZE, 5702548]
[paragraph, [90.0, 813.0, 616.0, 18.0], shoonya_1sQLFMMR7MFGZE, 5702548]
[paragraph, [90.0, 831.0, 616.0, 18.0], shoonya_1sQLFMMR7MFGZE, 5702548]
[paragraph, [90.0, 849.0, 616.0, 18.0], shoonya_1sQLFMMR7MFGZE, 5702548]
[paragraph, [90.0, 867.0, 616.0, 18.0], shoonya_1sQLFMMR7MFGZE, 5702548]
[paragraph, [90.0, 885.0, 616.0, 18.0], shoonya_1sQLFMMR7MFGZE, 5702548]
[paragraph, [90.0, 903.0, 616.0, 18.0], shoonya_1sQLFMMR7MFGZE, 5702548]
[paragraph, [90.0, 921.0, 616.0, 18.0], shoonya_1sQLFMMR7MFGZE, 5702548]
[paragraph, [90.0, 939.0, 616.0, 18.0], shoonya_1sQLFMMR7MFGZE, 5702548]
[paragraph, [90.0, 957.0, 616.0, 18.0], shoonya_1sQLFMMR7MFGZE, 5702548]
[paragraph, [90.0, 975.0, 616.0, 18.0], shoonya_1sQLFMMR7MFGZE, 5702548]
[paragraph, [90.0, 993.0, 616.0, 18.0], shoonya_1sQLFMMR7MFGZE, 5702548]
[paragraph, [90.0, 1011.0, 616.0, 18.0], shoonya_1sQLFMMR7MFGZE, 5702548]
[paragraph, [90.0, 1029.0, 616.0, 18.0], shoonya_1sQLFMMR7MFGZE, 5702548]
[paragraph, [90.0, 1047.0, 616.0, 18.0], shoonya_1sQLFMMR7MFGZE, 5702548]
[paragraph, [94.0, 1081.0, 608.0, 18.0], IbaMYTLq9u, 5702548]
[paragraph, [94.0, 1099.0, 608.0, 18.0], IbaMYTLq9u, 5702548]
[paragraph, [94.0, 1117.0, 608.0, 18.0], IbaMYTLq9u, 5702548]
