[1241, 798]
[folio, [90.0, 62.0, 133.0, 18.0], shoonya_4sOI2NSPHT5DMQ, 5702462]
[paragraph, [92.0, 112.0, 616.0, 18.0], shoonya_6sW20D24EMLV1J, 5702462]
[paragraph, [92.0, 130.0, 616.0, 18.0], shoonya_6sW20D24EMLV1J, 5702462]
[paragraph, [92.0, 148.0, 616.0, 18.0], shoonya_6sW20D24EMLV1J, 5702462]
[paragraph, [92.0, 166.0, 616.0, 18.0], shoonya_6sW20D24EMLV1J, 5702462]
[paragraph, [90.0, 197.0, 622.0, 18.0], shoonya_5s72B5K624K2J1, 5702462]
[paragraph, [90.0, 215.0, 622.0, 18.0], shoonya_5s72B5K624K2J1, 5702462]
[paragraph, [89.0, 256.0, 626.0, 18.0], XRu2kAOhw7, 5702462]
[paragraph, [89.0, 274.0, 626.0, 18.0], XRu2kAOhw7, 5702462]
[paragraph, [89.0, 292.0, 626.0, 18.0], XRu2kAOhw7, 5702462]
[paragraph, [89.0, 310.0, 626.0, 18.0], XRu2kAOhw7, 5702462]
[paragraph, [89.0, 328.0, 626.0, 18.0], XRu2kAOhw7, 5702462]
[paragraph, [89.0, 346.0, 626.0, 18.0], XRu2kAOhw7, 5702462]
[paragraph, [89.0, 364.0, 626.0, 18.0], XRu2kAOhw7, 5702462]
[paragraph, [89.0, 382.0, 626.0, 18.0], XRu2kAOhw7, 5702462]
[paragraph, [89.0, 400.0, 626.0, 18.0], XRu2kAOhw7, 5702462]
[paragraph, [89.0, 418.0, 626.0, 18.0], XRu2kAOhw7, 5702462]
[paragraph, [89.0, 436.0, 626.0, 18.0], XRu2kAOhw7, 5702462]
[paragraph, [89.0, 454.0, 626.0, 18.0], XRu2kAOhw7, 5702462]
[paragraph, [89.0, 472.0, 626.0, 18.0], XRu2kAOhw7, 5702462]
[paragraph, [89.0, 490.0, 626.0, 18.0], XRu2kAOhw7, 5702462]
[paragraph, [89.0, 508.0, 626.0, 18.0], XRu2kAOhw7, 5702462]
[paragraph, [89.0, 526.0, 626.0, 18.0], XRu2kAOhw7, 5702462]
[paragraph, [91.0, 557.0, 616.0, 18.0], shoonya_0s8ZY20NPSFVCE, 5702462]
[paragraph, [91.0, 575.0, 616.0, 18.0], shoonya_0s8ZY20NPSFVCE, 5702462]
[paragraph, [91.0, 593.0, 616.0, 18.0], shoonya_0s8ZY20NPSFVCE, 5702462]
[paragraph, [91.0, 611.0, 616.0, 18.0], shoonya_0s8ZY20NPSFVCE, 5702462]
[paragraph, [91.0, 629.0, 616.0, 18.0], shoonya_0s8ZY20NPSFVCE, 5702462]
[paragraph, [91.0, 647.0, 616.0, 18.0], shoonya_0s8ZY20NPSFVCE, 5702462]
[paragraph, [91.0, 665.0, 616.0, 18.0], shoonya_0s8ZY20NPSFVCE, 5702462]
[paragraph, [91.0, 683.0, 616.0, 18.0], shoonya_0s8ZY20NPSFVCE, 5702462]
[paragraph, [91.0, 701.0, 616.0, 18.0], shoonya_0s8ZY20NPSFVCE, 5702462]
[paragraph, [91.0, 719.0, 616.0, 18.0], shoonya_0s8ZY20NPSFVCE, 5702462]
[paragraph, [91.0, 737.0, 616.0, 18.0], shoonya_0s8ZY20NPSFVCE, 5702462]
[paragraph, [91.0, 755.0, 616.0, 18.0], shoonya_0s8ZY20NPSFVCE, 5702462]
[chapter-title, [311.0, 885.0, 178.0, 30.0], shoonya_7sJYDNGUOCNXQA, 5702462]
[chapter-title, [311.0, 915.0, 178.0, 30.0], shoonya_7sJYDNGUOCNXQA, 5702462]
[chapter-title, [311.0, 945.0, 178.0, 30.0], shoonya_7sJYDNGUOCNXQA, 5702462]
[paragraph, [86.0, 982.0, 623.0, 18.0], Xa3AB80loN, 5702462]
[paragraph, [86.0, 1000.0, 623.0, 18.0], Xa3AB80loN, 5702462]
[paragraph, [86.0, 1018.0, 623.0, 18.0], Xa3AB80loN, 5702462]
[paragraph, [86.0, 1036.0, 623.0, 18.0], Xa3AB80loN, 5702462]
[paragraph, [86.0, 1054.0, 623.0, 18.0], Xa3AB80loN, 5702462]
[paragraph, [86.0, 1072.0, 623.0, 18.0], Xa3AB80loN, 5702462]
[paragraph, [86.0, 1090.0, 623.0, 18.0], Xa3AB80loN, 5702462]
[paragraph, [86.0, 1108.0, 623.0, 18.0], Xa3AB80loN, 5702462]
[paragraph, [86.0, 1126.0, 623.0, 18.0], Xa3AB80loN, 5702462]
[paragraph, [86.0, 1144.0, 623.0, 18.0], Xa3AB80loN, 5702462]
[paragraph, [86.0, 1162.0, 623.0, 18.0], Xa3AB80loN, 5702462]
