[2806, 1984]
[paragraph, [346.0, 196.0, 1416.0, 46.5], shoonya_0sEB1ZR92WNOXK, 5699042]
[paragraph, [346.0, 242.5, 1416.0, 46.5], shoonya_0sEB1ZR92WNOXK, 5699042]
[paragraph, [346.0, 289.0, 1416.0, 46.5], shoonya_0sEB1ZR92WNOXK, 5699042]
[paragraph, [346.0, 335.5, 1416.0, 46.5], shoonya_0sEB1ZR92WNOXK, 5699042]
[paragraph, [346.0, 382.0, 1416.0, 46.5], shoonya_0sEB1ZR92WNOXK, 5699042]
[paragraph, [328.0, 509.0, 620.0, 46.5], shoonya_3sZBOW9R0I0UQ2, 5699042]
[ordered-list, [333.0, 606.0, 1428.0, 46.5], shoonya_7sKVQPHIOTWWJI, 5699042]
[ordered-list, [333.0, 652.5, 1428.0, 46.5], shoonya_7sKVQPHIOTWWJI, 5699042]
[ordered-list, [333.0, 699.0, 1428.0, 46.5], shoonya_7sKVQPHIOTWWJI, 5699042]
[ordered-list, [333.0, 745.5, 1428.0, 46.5], shoonya_7sKVQPHIOTWWJI, 5699042]
[ordered-list, [333.0, 792.0, 1428.0, 46.5], shoonya_7sKVQPHIOTWWJI, 5699042]
[ordered-list, [333.0, 838.5, 1428.0, 46.5], shoonya_7sKVQPHIOTWWJI, 5699042]
[ordered-list, [333.0, 885.0, 1428.0, 46.5], shoonya_7sKVQPHIOTWWJI, 5699042]
[ordered-list, [333.0, 931.5, 1428.0, 46.5], shoonya_7sKVQPHIOTWWJI, 5699042]
[ordered-list, [333.0, 978.0, 1428.0, 46.5], shoonya_7sKVQPHIOTWWJI, 5699042]
[ordered-list, [333.0, 1024.5, 1428.0, 46.5], shoonya_7sKVQPHIOTWWJI, 5699042]
[ordered-list, [333.0, 1071.0, 1428.0, 46.5], shoonya_7sKVQPHIOTWWJI, 5699042]
[ordered-list, [333.0, 1117.5, 1428.0, 46.5], shoonya_7sKVQPHIOTWWJI, 5699042]
[ordered-list, [333.0, 1164.0, 1428.0, 46.5], shoonya_7sKVQPHIOTWWJI, 5699042]
[ordered-list, [333.0, 1210.5, 1428.0, 46.5], shoonya_7sKVQPHIOTWWJI, 5699042]
[ordered-list, [333.0, 1257.0, 1428.0, 46.5], shoonya_7sKVQPHIOTWWJI, 5699042]
[ordered-list, [333.0, 1303.5, 1428.0, 46.5], shoonya_7sKVQPHIOTWWJI, 5699042]
[ordered-list, [333.0, 1350.0, 1428.0, 46.5], shoonya_7sKVQPHIOTWWJI, 5699042]
[ordered-list, [333.0, 1396.5, 1428.0, 46.5], shoonya_7sKVQPHIOTWWJI, 5699042]
[ordered-list, [333.0, 1443.0, 1428.0, 46.5], shoonya_7sKVQPHIOTWWJI, 5699042]
[ordered-list, [333.0, 1489.5, 1428.0, 46.5], shoonya_7sKVQPHIOTWWJI, 5699042]
[ordered-list, [333.0, 1536.0, 1428.0, 46.5], shoonya_7sKVQPHIOTWWJI, 5699042]
[ordered-list, [333.0, 1582.5, 1428.0, 46.5], shoonya_7sKVQPHIOTWWJI, 5699042]
[ordered-list, [333.0, 1629.0, 1428.0, 46.5], shoonya_7sKVQPHIOTWWJI, 5699042]
[ordered-list, [333.0, 1675.5, 1428.0, 46.5], shoonya_7sKVQPHIOTWWJI, 5699042]
[ordered-list, [333.0, 1722.0, 1428.0, 46.5], shoonya_7sKVQPHIOTWWJI, 5699042]
[ordered-list, [333.0, 1768.5, 1428.0, 46.5], shoonya_7sKVQPHIOTWWJI, 5699042]
[ordered-list, [333.0, 1815.0, 1428.0, 46.5], shoonya_7sKVQPHIOTWWJI, 5699042]
[ordered-list, [333.0, 1861.5, 1428.0, 46.5], shoonya_7sKVQPHIOTWWJI, 5699042]
[ordered-list, [333.0, 1908.0, 1428.0, 46.5], shoonya_7sKVQPHIOTWWJI, 5699042]
[ordered-list, [333.0, 1954.5, 1428.0, 46.5], shoonya_7sKVQPHIOTWWJI, 5699042]
[ordered-list, [333.0, 2001.0, 1428.0, 46.5], shoonya_7sKVQPHIOTWWJI, 5699042]
[ordered-list, [333.0, 2047.5, 1428.0, 46.5], shoonya_7sKVQPHIOTWWJI, 5699042]
[ordered-list, [333.0, 2094.0, 1428.0, 46.5], shoonya_7sKVQPHIOTWWJI, 5699042]
[ordered-list, [333.0, 2140.5, 1428.0, 46.5], shoonya_7sKVQPHIOTWWJI, 5699042]
[ordered-list, [333.0, 2187.0, 1428.0, 46.5], shoonya_7sKVQPHIOTWWJI, 5699042]
[ordered-list, [333.0, 2233.5, 1428.0, 46.5], shoonya_7sKVQPHIOTWWJI, 5699042]
[ordered-list, [333.0, 2280.0, 1428.0, 46.5], shoonya_7sKVQPHIOTWWJI, 5699042]
[ordered-list, [333.0, 2326.5, 1428.0, 46.5], shoonya_7sKVQPHIOTWWJI, 5699042]
[ordered-list, [333.0, 2373.0, 1428.0, 46.5], shoonya_7sKVQPHIOTWWJI, 5699042]
[ordered-list, [333.0, 2419.5, 1428.0, 46.5], shoonya_7sKVQPHIOTWWJI, 5699042]
[ordered-list, [333.0, 2466.0, 1428.0, 46.5], shoonya_7sKVQPHIOTWWJI, 5699042]
