[2339, 1653]
[paragraph, [300.0, 209.0, 1046.0, 36.0], JVZ619E6e6, 5685851]
[paragraph, [300.0, 245.0, 1046.0, 36.0], JVZ619E6e6, 5685851]
[paragraph, [300.0, 281.0, 1046.0, 36.0], JVZ619E6e6, 5685851]
[reference, [689.0, 355.0, 660.0, 36.0], z7VP6xnrUC, 5685851]
[paragraph, [227.0, 430.0, 1199.0, 36.0], UAR-mNBzCS, 5685851]
[paragraph, [227.0, 466.0, 1199.0, 36.0], UAR-mNBzCS, 5685851]
[paragraph, [227.0, 502.0, 1199.0, 36.0], UAR-mNBzCS, 5685851]
[paragraph, [300.0, 576.0, 1053.0, 36.0], wCiJ_nfIxE, 5685851]
[paragraph, [300.0, 612.0, 1053.0, 36.0], wCiJ_nfIxE, 5685851]
[paragraph, [300.0, 648.0, 1053.0, 36.0], wCiJ_nfIxE, 5685851]
[paragraph, [300.0, 684.0, 1053.0, 36.0], wCiJ_nfIxE, 5685851]
[paragraph, [300.0, 720.0, 1053.0, 36.0], wCiJ_nfIxE, 5685851]
[paragraph, [300.0, 756.0, 1053.0, 36.0], wCiJ_nfIxE, 5685851]
[paragraph, [300.0, 792.0, 1053.0, 36.0], wCiJ_nfIxE, 5685851]
[paragraph, [300.0, 828.0, 1053.0, 36.0], wCiJ_nfIxE, 5685851]
[paragraph, [300.0, 864.0, 1053.0, 36.0], wCiJ_nfIxE, 5685851]
[paragraph, [300.0, 900.0, 1053.0, 36.0], wCiJ_nfIxE, 5685851]
[paragraph, [300.0, 936.0, 1053.0, 36.0], wCiJ_nfIxE, 5685851]
[paragraph, [300.0, 972.0, 1053.0, 36.0], wCiJ_nfIxE, 5685851]
[reference, [681.0, 1028.0, 668.0, 36.0], Uslwra8FXV, 5685851]
[paragraph, [222.0, 1103.0, 1206.0, 36.0], shoonya_0sKOSBQYRWAKF2, 5685851]
[paragraph, [222.0, 1139.0, 1206.0, 36.0], shoonya_0sKOSBQYRWAKF2, 5685851]
[paragraph, [222.0, 1175.0, 1206.0, 36.0], shoonya_0sKOSBQYRWAKF2, 5685851]
[paragraph, [222.0, 1211.0, 1206.0, 36.0], shoonya_0sKOSBQYRWAKF2, 5685851]
[paragraph, [222.0, 1247.0, 1206.0, 36.0], shoonya_0sKOSBQYRWAKF2, 5685851]
[paragraph, [222.0, 1283.0, 1206.0, 36.0], shoonya_0sKOSBQYRWAKF2, 5685851]
[paragraph, [222.0, 1319.0, 1206.0, 36.0], shoonya_0sKOSBQYRWAKF2, 5685851]
[paragraph, [222.0, 1355.0, 1206.0, 36.0], shoonya_0sKOSBQYRWAKF2, 5685851]
[paragraph, [222.0, 1391.0, 1206.0, 36.0], shoonya_0sKOSBQYRWAKF2, 5685851]
[paragraph, [222.0, 1427.0, 1206.0, 36.0], shoonya_0sKOSBQYRWAKF2, 5685851]
[paragraph, [222.0, 1463.0, 1206.0, 36.0], shoonya_0sKOSBQYRWAKF2, 5685851]
[paragraph, [222.0, 1499.0, 1206.0, 36.0], shoonya_0sKOSBQYRWAKF2, 5685851]
[paragraph, [222.0, 1535.0, 1206.0, 36.0], shoonya_0sKOSBQYRWAKF2, 5685851]
[paragraph, [222.0, 1571.0, 1206.0, 36.0], shoonya_0sKOSBQYRWAKF2, 5685851]
[paragraph, [222.0, 1607.0, 1206.0, 36.0], shoonya_0sKOSBQYRWAKF2, 5685851]
[paragraph, [222.0, 1643.0, 1206.0, 36.0], shoonya_0sKOSBQYRWAKF2, 5685851]
[paragraph, [222.0, 1679.0, 1206.0, 36.0], shoonya_0sKOSBQYRWAKF2, 5685851]
[paragraph, [222.0, 1715.0, 1206.0, 36.0], shoonya_0sKOSBQYRWAKF2, 5685851]
[paragraph, [222.0, 1751.0, 1206.0, 36.0], shoonya_0sKOSBQYRWAKF2, 5685851]
[paragraph, [222.0, 1787.0, 1206.0, 36.0], shoonya_0sKOSBQYRWAKF2, 5685851]
[paragraph, [222.0, 1823.0, 1206.0, 36.0], shoonya_0sKOSBQYRWAKF2, 5685851]
[paragraph, [222.0, 1859.0, 1206.0, 36.0], shoonya_0sKOSBQYRWAKF2, 5685851]
[paragraph, [222.0, 1895.0, 1206.0, 36.0], shoonya_0sKOSBQYRWAKF2, 5685851]
[paragraph, [222.0, 1931.0, 1206.0, 36.0], shoonya_0sKOSBQYRWAKF2, 5685851]
[paragraph, [222.0, 1967.0, 1206.0, 36.0], shoonya_0sKOSBQYRWAKF2, 5685851]
[paragraph, [222.0, 2003.0, 1206.0, 36.0], shoonya_0sKOSBQYRWAKF2, 5685851]
[paragraph, [222.0, 2039.0, 1206.0, 36.0], shoonya_0sKOSBQYRWAKF2, 5685851]
[paragraph, [222.0, 2075.0, 1206.0, 36.0], shoonya_0sKOSBQYRWAKF2, 5685851]
