[3300, 2550]
[paragraph, [283.0, 278.0, 2005.0, 52.5], shoonya_2sMWVEY02SIK8I, 5720634]
[paragraph, [283.0, 330.5, 2005.0, 52.5], shoonya_2sMWVEY02SIK8I, 5720634]
[paragraph, [283.0, 383.0, 2005.0, 52.5], shoonya_2sMWVEY02SIK8I, 5720634]
[paragraph, [283.0, 435.5, 2005.0, 52.5], shoonya_2sMWVEY02SIK8I, 5720634]
[paragraph, [283.0, 488.0, 2005.0, 52.5], shoonya_2sMWVEY02SIK8I, 5720634]
[paragraph, [283.0, 540.5, 2005.0, 52.5], shoonya_2sMWVEY02SIK8I, 5720634]
[paragraph, [278.0, 653.0, 943.0, 52.5], FqrY2FjzSY, 5720634]
[paragraph, [288.0, 798.0, 812.0, 52.5], ihKW2OHHDc, 5720634]
[paragraph, [286.0, 911.0, 1999.0, 52.5], shoonya_1sYB30OO9IG9Q2, 5720634]
[paragraph, [286.0, 963.5, 1999.0, 52.5], shoonya_1sYB30OO9IG9Q2, 5720634]
[paragraph, [286.0, 1016.0, 1999.0, 52.5], shoonya_1sYB30OO9IG9Q2, 5720634]
[paragraph, [286.0, 1068.5, 1999.0, 52.5], shoonya_1sYB30OO9IG9Q2, 5720634]
[paragraph, [286.0, 1121.0, 1999.0, 52.5], shoonya_1sYB30OO9IG9Q2, 5720634]
[paragraph, [286.0, 1173.5, 1999.0, 52.5], shoonya_1sYB30OO9IG9Q2, 5720634]
[paragraph, [286.0, 1226.0, 1999.0, 52.5], shoonya_1sYB30OO9IG9Q2, 5720634]
[paragraph, [286.0, 1278.5, 1999.0, 52.5], shoonya_1sYB30OO9IG9Q2, 5720634]
[paragraph, [286.0, 1331.0, 1999.0, 52.5], shoonya_1sYB30OO9IG9Q2, 5720634]
[paragraph, [286.0, 1383.5, 1999.0, 52.5], shoonya_1sYB30OO9IG9Q2, 5720634]
[paragraph, [286.0, 1436.0, 1999.0, 52.5], shoonya_1sYB30OO9IG9Q2, 5720634]
[paragraph, [286.0, 1488.5, 1999.0, 52.5], shoonya_1sYB30OO9IG9Q2, 5720634]
[paragraph, [286.0, 1541.0, 1999.0, 52.5], shoonya_1sYB30OO9IG9Q2, 5720634]
[paragraph, [286.0, 1593.5, 1999.0, 52.5], shoonya_1sYB30OO9IG9Q2, 5720634]
[paragraph, [286.0, 1646.0, 1999.0, 52.5], shoonya_1sYB30OO9IG9Q2, 5720634]
[paragraph, [286.0, 1698.5, 1999.0, 52.5], shoonya_1sYB30OO9IG9Q2, 5720634]
[paragraph, [286.0, 1751.0, 1999.0, 52.5], shoonya_1sYB30OO9IG9Q2, 5720634]
[paragraph, [286.0, 1803.5, 1999.0, 52.5], shoonya_1sYB30OO9IG9Q2, 5720634]
[paragraph, [286.0, 1856.0, 1999.0, 52.5], shoonya_1sYB30OO9IG9Q2, 5720634]
[paragraph, [286.0, 1908.5, 1999.0, 52.5], shoonya_1sYB30OO9IG9Q2, 5720634]
[paragraph, [286.0, 1961.0, 1999.0, 52.5], shoonya_1sYB30OO9IG9Q2, 5720634]
[paragraph, [286.0, 2013.5, 1999.0, 52.5], shoonya_1sYB30OO9IG9Q2, 5720634]
[paragraph, [286.0, 2066.0, 1999.0, 52.5], shoonya_1sYB30OO9IG9Q2, 5720634]
[paragraph, [286.0, 2118.5, 1999.0, 52.5], shoonya_1sYB30OO9IG9Q2, 5720634]
[paragraph, [286.0, 2171.0, 1999.0, 52.5], shoonya_1sYB30OO9IG9Q2, 5720634]
[paragraph, [286.0, 2223.5, 1999.0, 52.5], shoonya_1sYB30OO9IG9Q2, 5720634]
[paragraph, [286.0, 2276.0, 1999.0, 52.5], shoonya_1sYB30OO9IG9Q2, 5720634]
[paragraph, [286.0, 2328.5, 1999.0, 52.5], shoonya_1sYB30OO9IG9Q2, 5720634]
[paragraph, [286.0, 2381.0, 1999.0, 52.5], shoonya_1sYB30OO9IG9Q2, 5720634]
[paragraph, [286.0, 2433.5, 1999.0, 52.5], shoonya_1sYB30OO9IG9Q2, 5720634]
[paragraph, [286.0, 2486.0, 1999.0, 52.5], shoonya_1sYB30OO9IG9Q2, 5720634]
[paragraph, [286.0, 2538.5, 1999.0, 52.5], shoonya_1sYB30OO9IG9Q2, 5720634]
[paragraph, [286.0, 2591.0, 1999.0, 52.5], shoonya_1sYB30OO9IG9Q2, 5720634]
[paragraph, [286.0, 2643.5, 1999.0, 52.5], shoonya_1sYB30OO9IG9Q2, 5720634]
[paragraph, [286.0, 2696.0, 1999.0, 52.5], shoonya_1sYB30OO9IG9Q2, 5720634]
[paragraph, [286.0, 2748.5, 1999.0, 52.5], shoonya_1sYB30OO9IG9Q2, 5720634]
[paragraph, [286.0, 2801.0, 1999.0, 52.5], shoonya_1sYB30OO9IG9Q2, 5720634]
[paragraph, [286.0, 2853.5, 1999.0, 52.5], shoonya_1sYB30OO9IG9Q2, 5720634]
[paragraph, [286.0, 2906.0, 1999.0, 52.5], shoonya_1sYB30OO9IG9Q2, 5720634]
