[2338, 1654]
[paragraph, [190.0, 191.0, 1266.0, 36.0], shoonya_2sEMAD4NAY4DQS, 5753553]
[paragraph, [190.0, 227.0, 1266.0, 36.0], shoonya_2sEMAD4NAY4DQS, 5753553]
[paragraph, [190.0, 263.0, 1266.0, 36.0], shoonya_2sEMAD4NAY4DQS, 5753553]
[paragraph, [189.0, 316.0, 1262.0, 36.0], shoonya_0sXS33F35XOAFB, 5753553]
[paragraph, [189.0, 352.0, 1262.0, 36.0], shoonya_0sXS33F35XOAFB, 5753553]
[paragraph, [189.0, 388.0, 1262.0, 36.0], shoonya_0sXS33F35XOAFB, 5753553]
[paragraph, [189.0, 424.0, 1262.0, 36.0], shoonya_0sXS33F35XOAFB, 5753553]
[paragraph, [189.0, 460.0, 1262.0, 36.0], shoonya_0sXS33F35XOAFB, 5753553]
[paragraph, [189.0, 496.0, 1262.0, 36.0], shoonya_0sXS33F35XOAFB, 5753553]
[paragraph, [189.0, 532.0, 1262.0, 36.0], shoonya_0sXS33F35XOAFB, 5753553]
[paragraph, [189.0, 568.0, 1262.0, 36.0], shoonya_0sXS33F35XOAFB, 5753553]
[paragraph, [189.0, 604.0, 1262.0, 36.0], shoonya_0sXS33F35XOAFB, 5753553]
[paragraph, [189.0, 640.0, 1262.0, 36.0], shoonya_0sXS33F35XOAFB, 5753553]
[paragraph, [189.0, 676.0, 1262.0, 36.0], shoonya_0sXS33F35XOAFB, 5753553]
[paragraph, [189.0, 712.0, 1262.0, 36.0], shoonya_0sXS33F35XOAFB, 5753553]
[paragraph, [189.0, 748.0, 1262.0, 36.0], shoonya_0sXS33F35XOAFB, 5753553]
[paragraph, [189.0, 784.0, 1262.0, 36.0], shoonya_0sXS33F35XOAFB, 5753553]
[paragraph, [189.0, 820.0, 1262.0, 36.0], shoonya_0sXS33F35XOAFB, 5753553]
[paragraph, [189.0, 856.0, 1262.0, 36.0], shoonya_0sXS33F35XOAFB, 5753553]
[paragraph, [189.0, 892.0, 1262.0, 36.0], shoonya_0sXS33F35XOAFB, 5753553]
[paragraph, [189.0, 928.0, 1262.0, 36.0], shoonya_0sXS33F35XOAFB, 5753553]
[paragraph, [189.0, 964.0, 1262.0, 36.0], shoonya_0sXS33F35XOAFB, 5753553]
[paragraph, [189.0, 1000.0, 1262.0, 36.0], shoonya_0sXS33F35XOAFB, 5753553]
[paragraph, [189.0, 1036.0, 1262.0, 36.0], shoonya_0sXS33F35XOAFB, 5753553]
[paragraph, [189.0, 1072.0, 1262.0, 36.0], shoonya_0sXS33F35XOAFB, 5753553]
[paragraph, [189.0, 1108.0, 1262.0, 36.0], shoonya_0sXS33F35XOAFB, 5753553]
[paragraph, [189.0, 1144.0, 1262.0, 36.0], shoonya_0sXS33F35XOAFB, 5753553]
[paragraph, [189.0, 1180.0, 1262.0, 36.0], shoonya_0sXS33F35XOAFB, 5753553]
[paragraph, [189.0, 1216.0, 1262.0, 36.0], shoonya_0sXS33F35XOAFB, 5753553]
[paragraph, [189.0, 1252.0, 1262.0, 36.0], shoonya_0sXS33F35XOAFB, 5753553]
[paragraph, [189.0, 1288.0, 1262.0, 36.0], shoonya_0sXS33F35XOAFB, 5753553]
[paragraph, [189.0, 1324.0, 1262.0, 36.0], shoonya_0sXS33F35XOAFB, 5753553]
[paragraph, [189.0, 1360.0, 1262.0, 36.0], shoonya_0sXS33F35XOAFB, 5753553]
[paragraph, [189.0, 1396.0, 1262.0, 36.0], shoonya_0sXS33F35XOAFB, 5753553]
[paragraph, [189.0, 1432.0, 1262.0, 36.0], shoonya_0sXS33F35XOAFB, 5753553]
[paragraph, [189.0, 1468.0, 1262.0, 36.0], shoonya_0sXS33F35XOAFB, 5753553]
[paragraph, [189.0, 1504.0, 1262.0, 36.0], shoonya_0sXS33F35XOAFB, 5753553]
[paragraph, [189.0, 1540.0, 1262.0, 36.0], shoonya_0sXS33F35XOAFB, 5753553]
[paragraph, [189.0, 1576.0, 1262.0, 36.0], shoonya_0sXS33F35XOAFB, 5753553]
[paragraph, [189.0, 1612.0, 1262.0, 36.0], shoonya_0sXS33F35XOAFB, 5753553]
[paragraph, [189.0, 1648.0, 1262.0, 36.0], shoonya_0sXS33F35XOAFB, 5753553]
[paragraph, [189.0, 1684.0, 1262.0, 36.0], shoonya_0sXS33F35XOAFB, 5753553]
[paragraph, [189.0, 1720.0, 1262.0, 36.0], shoonya_0sXS33F35XOAFB, 5753553]
[paragraph, [189.0, 1756.0, 1262.0, 36.0], shoonya_0sXS33F35XOAFB, 5753553]
[paragraph, [190.0, 1824.0, 1269.0, 36.0], shoonya_1s33CRLRHRVX6O, 5753553]
[paragraph, [190.0, 1860.0, 1269.0, 36.0], shoonya_1s33CRLRHRVX6O, 5753553]
[paragraph, [190.0, 1896.0, 1269.0, 36.0], shoonya_1s33CRLRHRVX6O, 5753553]
[paragraph, [190.0, 1932.0, 1269.0, 36.0], shoonya_1s33CRLRHRVX6O, 5753553]
[paragraph, [190.0, 1968.0, 1269.0, 36.0], shoonya_1s33CRLRHRVX6O, 5753553]
[paragraph, [190.0, 2004.0, 1269.0, 36.0], shoonya_1s33CRLRHRVX6O, 5753553]
[paragraph, [190.0, 2040.0, 1269.0, 36.0], shoonya_1s33CRLRHRVX6O, 5753553]
