[2339, 1653]
[paragraph, [388.0, 195.0, 1075.0, 36.0], shoonya_0sPPA47Y35OGTD, 5734208]
[paragraph, [388.0, 231.0, 1075.0, 36.0], shoonya_0sPPA47Y35OGTD, 5734208]
[paragraph, [388.0, 267.0, 1075.0, 36.0], shoonya_0sPPA47Y35OGTD, 5734208]
[paragraph, [388.0, 303.0, 1075.0, 36.0], shoonya_0sPPA47Y35OGTD, 5734208]
[paragraph, [388.0, 339.0, 1075.0, 36.0], shoonya_0sPPA47Y35OGTD, 5734208]
[paragraph, [388.0, 375.0, 1075.0, 36.0], shoonya_0sPPA47Y35OGTD, 5734208]
[paragraph, [388.0, 411.0, 1075.0, 36.0], shoonya_0sPPA47Y35OGTD, 5734208]
[paragraph, [388.0, 447.0, 1075.0, 36.0], shoonya_0sPPA47Y35OGTD, 5734208]
[paragraph, [388.0, 483.0, 1075.0, 36.0], shoonya_0sPPA47Y35OGTD, 5734208]
[paragraph, [388.0, 519.0, 1075.0, 36.0], shoonya_0sPPA47Y35OGTD, 5734208]
[paragraph, [388.0, 555.0, 1075.0, 36.0], shoonya_0sPPA47Y35OGTD, 5734208]
[paragraph, [388.0, 591.0, 1075.0, 36.0], shoonya_0sPPA47Y35OGTD, 5734208]
[paragraph, [388.0, 627.0, 1075.0, 36.0], shoonya_0sPPA47Y35OGTD, 5734208]
[paragraph, [388.0, 663.0, 1075.0, 36.0], shoonya_0sPPA47Y35OGTD, 5734208]
[paragraph, [391.0, 722.0, 1068.0, 36.0], shoonya_1s611WSQ147UCK, 5734208]
[paragraph, [391.0, 758.0, 1068.0, 36.0], shoonya_1s611WSQ147UCK, 5734208]
[paragraph, [391.0, 794.0, 1068.0, 36.0], shoonya_1s611WSQ147UCK, 5734208]
[paragraph, [391.0, 830.0, 1068.0, 36.0], shoonya_1s611WSQ147UCK, 5734208]
[paragraph, [391.0, 866.0, 1068.0, 36.0], shoonya_1s611WSQ147UCK, 5734208]
[paragraph, [391.0, 902.0, 1068.0, 36.0], shoonya_1s611WSQ147UCK, 5734208]
[paragraph, [391.0, 938.0, 1068.0, 36.0], shoonya_1s611WSQ147UCK, 5734208]
[paragraph, [391.0, 974.0, 1068.0, 36.0], shoonya_1s611WSQ147UCK, 5734208]
[paragraph, [391.0, 1010.0, 1068.0, 36.0], shoonya_1s611WSQ147UCK, 5734208]
[paragraph, [391.0, 1046.0, 1068.0, 36.0], shoonya_1s611WSQ147UCK, 5734208]
[paragraph, [391.0, 1082.0, 1068.0, 36.0], shoonya_1s611WSQ147UCK, 5734208]
[paragraph, [391.0, 1118.0, 1068.0, 36.0], shoonya_1s611WSQ147UCK, 5734208]
[paragraph, [391.0, 1154.0, 1068.0, 36.0], shoonya_1s611WSQ147UCK, 5734208]
[paragraph, [391.0, 1190.0, 1068.0, 36.0], shoonya_1s611WSQ147UCK, 5734208]
[paragraph, [391.0, 1226.0, 1068.0, 36.0], shoonya_1s611WSQ147UCK, 5734208]
[paragraph, [391.0, 1262.0, 1068.0, 36.0], shoonya_1s611WSQ147UCK, 5734208]
[unordered-list, [412.0, 1313.0, 1067.0, 36.0], shoonya_2sHABVYLYMER5E, 5734208]
[unordered-list, [412.0, 1349.0, 1067.0, 36.0], shoonya_2sHABVYLYMER5E, 5734208]
[unordered-list, [412.0, 1385.0, 1067.0, 36.0], shoonya_2sHABVYLYMER5E, 5734208]
[unordered-list, [412.0, 1421.0, 1067.0, 36.0], shoonya_2sHABVYLYMER5E, 5734208]
[unordered-list, [412.0, 1457.0, 1067.0, 36.0], shoonya_2sHABVYLYMER5E, 5734208]
[unordered-list, [412.0, 1493.0, 1067.0, 36.0], shoonya_2sHABVYLYMER5E, 5734208]
[unordered-list, [412.0, 1529.0, 1067.0, 36.0], shoonya_2sHABVYLYMER5E, 5734208]
[unordered-list, [412.0, 1565.0, 1067.0, 36.0], shoonya_2sHABVYLYMER5E, 5734208]
[unordered-list, [412.0, 1601.0, 1067.0, 36.0], shoonya_2sHABVYLYMER5E, 5734208]
[unordered-list, [412.0, 1637.0, 1067.0, 36.0], shoonya_2sHABVYLYMER5E, 5734208]
[unordered-list, [412.0, 1673.0, 1067.0, 36.0], shoonya_2sHABVYLYMER5E, 5734208]
[unordered-list, [412.0, 1709.0, 1067.0, 36.0], shoonya_2sHABVYLYMER5E, 5734208]
[paragraph, [390.0, 1775.0, 1083.0, 36.0], BzrRr3WQp3, 5734208]
[paragraph, [390.0, 1811.0, 1083.0, 36.0], BzrRr3WQp3, 5734208]
[paragraph, [390.0, 1847.0, 1083.0, 36.0], BzrRr3WQp3, 5734208]
[paragraph, [390.0, 1883.0, 1083.0, 36.0], BzrRr3WQp3, 5734208]
[paragraph, [390.0, 1919.0, 1083.0, 36.0], BzrRr3WQp3, 5734208]
[paragraph, [390.0, 1955.0, 1083.0, 36.0], BzrRr3WQp3, 5734208]
[paragraph, [390.0, 1991.0, 1083.0, 36.0], BzrRr3WQp3, 5734208]
[paragraph, [390.0, 2027.0, 1083.0, 36.0], BzrRr3WQp3, 5734208]
[paragraph, [390.0, 2063.0, 1083.0, 36.0], BzrRr3WQp3, 5734208]
[folio, [846.0, 2180.0, 566.0, 36.0], 3TNIRMG87Y, 5734208]
