[834, 609]
[folio, [30.0, 41.0, 77.0, 18.0], fgbvVh3OY6, 5712744]
[headline, [62.0, 92.0, 472.0, 25.5], shoonya_2s3ZJK45VGV6R9, 5712744]
[headline, [62.0, 117.5, 472.0, 25.5], shoonya_2s3ZJK45VGV6R9, 5712744]
[headline, [62.0, 143.0, 472.0, 25.5], shoonya_2s3ZJK45VGV6R9, 5712744]
[headline, [62.0, 168.5, 472.0, 25.5], shoonya_2s3ZJK45VGV6R9, 5712744]
[headline, [62.0, 194.0, 472.0, 25.5], shoonya_2s3ZJK45VGV6R9, 5712744]
[paragraph, [40.0, 247.0, 231.0, 18.0], shoonya_3sNNRFNZ850VEA, 5712744]
[paragraph, [40.0, 265.0, 231.0, 18.0], shoonya_3sNNRFNZ850VEA, 5712744]
[paragraph, [40.0, 283.0, 231.0, 18.0], shoonya_3sNNRFNZ850VEA, 5712744]
[paragraph, [40.0, 301.0, 231.0, 18.0], shoonya_3sNNRFNZ850VEA, 5712744]
[paragraph, [40.0, 319.0, 231.0, 18.0], shoonya_3sNNRFNZ850VEA, 5712744]
[paragraph, [40.0, 337.0, 231.0, 18.0], shoonya_3sNNRFNZ850VEA, 5712744]
[paragraph, [40.0, 355.0, 231.0, 18.0], shoonya_3sNNRFNZ850VEA, 5712744]
[paragraph, [40.0, 373.0, 231.0, 18.0], shoonya_3sNNRFNZ850VEA, 5712744]
[paragraph, [40.0, 391.0, 231.0, 18.0], shoonya_3sNNRFNZ850VEA, 5712744]
[paragraph, [40.0, 409.0, 231.0, 18.0], shoonya_3sNNRFNZ850VEA, 5712744]
[paragraph, [40.0, 427.0, 231.0, 18.0], shoonya_3sNNRFNZ850VEA, 5712744]
[paragraph, [39.0, 468.0, 253.0, 18.0], 3jOPNroJuO, 5712744]
[paragraph, [39.0, 486.0, 253.0, 18.0], 3jOPNroJuO, 5712744]
[paragraph, [39.0, 504.0, 253.0, 18.0], 3jOPNroJuO, 5712744]
[paragraph, [39.0, 522.0, 253.0, 18.0], 3jOPNroJuO, 5712744]
[paragraph, [39.0, 540.0, 253.0, 18.0], 3jOPNroJuO, 5712744]
[paragraph, [39.0, 558.0, 253.0, 18.0], 3jOPNroJuO, 5712744]
[paragraph, [39.0, 576.0, 253.0, 18.0], 3jOPNroJuO, 5712744]
[paragraph, [39.0, 594.0, 253.0, 18.0], 3jOPNroJuO, 5712744]
[paragraph, [39.0, 612.0, 253.0, 18.0], 3jOPNroJuO, 5712744]
[paragraph, [39.0, 630.0, 253.0, 18.0], 3jOPNroJuO, 5712744]
[paragraph, [39.0, 648.0, 253.0, 18.0], 3jOPNroJuO, 5712744]
[paragraph, [39.0, 666.0, 253.0, 18.0], 3jOPNroJuO, 5712744]
[paragraph, [39.0, 684.0, 253.0, 18.0], 3jOPNroJuO, 5712744]
[paragraph, [39.0, 702.0, 253.0, 18.0], 3jOPNroJuO, 5712744]
[paragraph, [300.0, 471.0, 254.0, 18.0], shoonya_6sR5FGXNWU2G6S, 5712744]
[paragraph, [300.0, 489.0, 254.0, 18.0], shoonya_6sR5FGXNWU2G6S, 5712744]
[paragraph, [300.0, 507.0, 254.0, 18.0], shoonya_6sR5FGXNWU2G6S, 5712744]
[paragraph, [300.0, 525.0, 254.0, 18.0], shoonya_6sR5FGXNWU2G6S, 5712744]
[paragraph, [300.0, 543.0, 254.0, 18.0], shoonya_6sR5FGXNWU2G6S, 5712744]
[paragraph, [304.0, 572.0, 258.0, 18.0], y7zlT_jmgT, 5712744]
[paragraph, [304.0, 590.0, 258.0, 18.0], y7zlT_jmgT, 5712744]
[paragraph, [304.0, 608.0, 258.0, 18.0], y7zlT_jmgT, 5712744]
[paragraph, [304.0, 626.0, 258.0, 18.0], y7zlT_jmgT, 5712744]
[paragraph, [304.0, 644.0, 258.0, 18.0], y7zlT_jmgT, 5712744]
[paragraph, [304.0, 662.0, 258.0, 18.0], y7zlT_jmgT, 5712744]
[paragraph, [304.0, 680.0, 258.0, 18.0], y7zlT_jmgT, 5712744]
[paragraph, [304.0, 698.0, 258.0, 18.0], y7zlT_jmgT, 5712744]
[paragraph, [304.0, 716.0, 258.0, 18.0], y7zlT_jmgT, 5712744]
[paragraph, [304.0, 734.0, 258.0, 18.0], y7zlT_jmgT, 5712744]
[paragraph, [45.0, 727.0, 246.0, 18.0], shoonya_5sOCD4WQ1GZ6WG, 5712744]
