[1350, 900]
[folio, [548.0, 171.0, 188.0, 18.0], 4rUoY7wUSM, 5759899]
[folio, [548.0, 189.0, 188.0, 18.0], 4rUoY7wUSM, 5759899]
[paragraph, [200.0, 227.0, 551.0, 18.0], shoonya_1sB5A6HPCZQ02K, 5759899]
[paragraph, [200.0, 245.0, 551.0, 18.0], shoonya_1sB5A6HPCZQ02K, 5759899]
[paragraph, [200.0, 263.0, 551.0, 18.0], shoonya_1sB5A6HPCZQ02K, 5759899]
[paragraph, [200.0, 284.0, 552.0, 18.0], OBj0h-h-LQ, 5759899]
[paragraph, [200.0, 302.0, 552.0, 18.0], OBj0h-h-LQ, 5759899]
[paragraph, [200.0, 320.0, 552.0, 18.0], OBj0h-h-LQ, 5759899]
[paragraph, [200.0, 338.0, 552.0, 18.0], OBj0h-h-LQ, 5759899]
[paragraph, [200.0, 356.0, 552.0, 18.0], OBj0h-h-LQ, 5759899]
[paragraph, [200.0, 374.0, 552.0, 18.0], OBj0h-h-LQ, 5759899]
[paragraph, [200.0, 392.0, 552.0, 18.0], OBj0h-h-LQ, 5759899]
[paragraph, [200.0, 410.0, 552.0, 18.0], OBj0h-h-LQ, 5759899]
[paragraph, [200.0, 428.0, 552.0, 18.0], OBj0h-h-LQ, 5759899]
[section-title, [204.0, 469.0, 363.0, 30.0], shoonya_4s5D1ZBD7YY68E, 5759899]
[paragraph, [204.0, 518.0, 548.0, 18.0], shoonya_0sL5CKZXNVN0QO, 5759899]
[paragraph, [204.0, 536.0, 548.0, 18.0], shoonya_0sL5CKZXNVN0QO, 5759899]
[paragraph, [204.0, 554.0, 548.0, 18.0], shoonya_0sL5CKZXNVN0QO, 5759899]
[paragraph, [204.0, 572.0, 548.0, 18.0], shoonya_0sL5CKZXNVN0QO, 5759899]
[paragraph, [204.0, 590.0, 548.0, 18.0], shoonya_0sL5CKZXNVN0QO, 5759899]
[paragraph, [204.0, 608.0, 548.0, 18.0], shoonya_0sL5CKZXNVN0QO, 5759899]
[paragraph, [204.0, 626.0, 548.0, 18.0], shoonya_0sL5CKZXNVN0QO, 5759899]
[paragraph, [204.0, 669.0, 549.0, 18.0], shoonya_2sXB6AG5ZXQWAW, 5759899]
[paragraph, [204.0, 687.0, 549.0, 18.0], shoonya_2sXB6AG5ZXQWAW, 5759899]
[paragraph, [199.0, 725.0, 550.0, 18.0], BG_HgjXrK2, 5759899]
[paragraph, [199.0, 743.0, 550.0, 18.0], BG_HgjXrK2, 5759899]
[paragraph, [199.0, 761.0, 550.0, 18.0], BG_HgjXrK2, 5759899]
[paragraph, [199.0, 779.0, 550.0, 18.0], BG_HgjXrK2, 5759899]
[paragraph, [199.0, 797.0, 550.0, 18.0], BG_HgjXrK2, 5759899]
[paragraph, [199.0, 815.0, 550.0, 18.0], BG_HgjXrK2, 5759899]
[paragraph, [199.0, 833.0, 550.0, 18.0], BG_HgjXrK2, 5759899]
[paragraph, [204.0, 860.0, 552.0, 18.0], 0nd2WiAfbq, 5759899]
[paragraph, [204.0, 878.0, 552.0, 18.0], 0nd2WiAfbq, 5759899]
[paragraph, [204.0, 896.0, 552.0, 18.0], 0nd2WiAfbq, 5759899]
[paragraph, [204.0, 914.0, 552.0, 18.0], 0nd2WiAfbq, 5759899]
[paragraph, [204.0, 932.0, 552.0, 18.0], 0nd2WiAfbq, 5759899]
[paragraph, [204.0, 950.0, 552.0, 18.0], 0nd2WiAfbq, 5759899]
[paragraph, [204.0, 968.0, 552.0, 18.0], 0nd2WiAfbq, 5759899]
[paragraph, [204.0, 986.0, 552.0, 18.0], 0nd2WiAfbq, 5759899]
[paragraph, [204.0, 1004.0, 552.0, 18.0], 0nd2WiAfbq, 5759899]
[paragraph, [204.0, 1022.0, 552.0, 18.0], 0nd2WiAfbq, 5759899]
[paragraph, [204.0, 1040.0, 552.0, 18.0], 0nd2WiAfbq, 5759899]
[paragraph, [204.0, 1058.0, 552.0, 18.0], 0nd2WiAfbq, 5759899]
[paragraph, [204.0, 1076.0, 552.0, 18.0], 0nd2WiAfbq, 5759899]
[paragraph, [204.0, 1094.0, 552.0, 18.0], 0nd2WiAfbq, 5759899]
