[3309, 2339]
[headline, [886.0, 263.0, 561.0, 52.5], N8VAF9Bc-E, 5688704]
[folio, [1036.0, 325.0, 265.0, 52.5], JsKzIHpODX, 5688704]
[folio, [1016.0, 408.0, 309.0, 52.5], shoonya_2sZRD253F9IJTM, 5688704]
[reference, [185.0, 608.0, 609.0, 52.5], shoonya_0sJSXE6N7SS2J4, 5688704]
[reference, [185.0, 660.5, 609.0, 52.5], shoonya_0sJSXE6N7SS2J4, 5688704]
[reference, [185.0, 713.0, 609.0, 52.5], shoonya_0sJSXE6N7SS2J4, 5688704]
[reference, [185.0, 765.5, 609.0, 52.5], shoonya_0sJSXE6N7SS2J4, 5688704]
[reference, [185.0, 818.0, 609.0, 52.5], shoonya_0sJSXE6N7SS2J4, 5688704]
[reference, [185.0, 870.5, 609.0, 52.5], shoonya_0sJSXE6N7SS2J4, 5688704]
[ordered-list, [191.0, 960.0, 683.0, 52.5], shoonya_1sPHUSPI5P83UM, 5688704]
[ordered-list, [191.0, 1012.5, 683.0, 52.5], shoonya_1sPHUSPI5P83UM, 5688704]
[ordered-list, [191.0, 1065.0, 683.0, 52.5], shoonya_1sPHUSPI5P83UM, 5688704]
[ordered-list, [191.0, 1117.5, 683.0, 52.5], shoonya_1sPHUSPI5P83UM, 5688704]
[ordered-list, [191.0, 1170.0, 683.0, 52.5], shoonya_1sPHUSPI5P83UM, 5688704]
[ordered-list, [191.0, 1222.5, 683.0, 52.5], shoonya_1sPHUSPI5P83UM, 5688704]
[ordered-list, [191.0, 1275.0, 683.0, 52.5], shoonya_1sPHUSPI5P83UM, 5688704]
[reference, [184.0, 1414.0, 1023.0, 52.5], _ImH7bGqlS, 5688704]
[reference, [184.0, 1466.5, 1023.0, 52.5], _ImH7bGqlS, 5688704]
[reference, [184.0, 1519.0, 1023.0, 52.5], _ImH7bGqlS, 5688704]
[reference, [184.0, 1571.5, 1023.0, 52.5], _ImH7bGqlS, 5688704]
[reference, [184.0, 1624.0, 1023.0, 52.5], _ImH7bGqlS, 5688704]
[reference, [184.0, 1676.5, 1023.0, 52.5], _ImH7bGqlS, 5688704]
[ordered-list, [190.0, 1829.0, 698.0, 52.5], 3L1khp3fbG, 5688704]
[ordered-list, [190.0, 1881.5, 698.0, 52.5], 3L1khp3fbG, 5688704]
[ordered-list, [190.0, 1934.0, 698.0, 52.5], 3L1khp3fbG, 5688704]
[ordered-list, [190.0, 1986.5, 698.0, 52.5], 3L1khp3fbG, 5688704]
[ordered-list, [190.0, 2039.0, 698.0, 52.5], 3L1khp3fbG, 5688704]
[ordered-list, [190.0, 2091.5, 698.0, 52.5], 3L1khp3fbG, 5688704]
[ordered-list, [190.0, 2144.0, 698.0, 52.5], 3L1khp3fbG, 5688704]
[ordered-list, [190.0, 2196.5, 698.0, 52.5], 3L1khp3fbG, 5688704]
[ordered-list, [190.0, 2249.0, 698.0, 52.5], 3L1khp3fbG, 5688704]
[ordered-list, [190.0, 2301.5, 698.0, 52.5], 3L1khp3fbG, 5688704]
[reference, [187.0, 2531.0, 1494.0, 52.5], QaZqYlMNrr, 5688704]
[reference, [187.0, 2583.5, 1494.0, 52.5], QaZqYlMNrr, 5688704]
[reference, [187.0, 2636.0, 1494.0, 52.5], QaZqYlMNrr, 5688704]
[reference, [187.0, 2688.5, 1494.0, 52.5], QaZqYlMNrr, 5688704]
[reference, [187.0, 2741.0, 1494.0, 52.5], QaZqYlMNrr, 5688704]
[reference, [187.0, 2793.5, 1494.0, 52.5], QaZqYlMNrr, 5688704]
[ordered-list, [184.0, 2940.0, 497.0, 52.5], omh8Pi0Lvx, 5688704]
