[2200, 1700]
[headline, [705.0, 370.0, 336.0, 67.5], shoonya_3sCR7Q8OYC0CM2, 5731911]
[paragraph, [465.0, 572.0, 797.0, 36.0], shoonya_0sA05C47FADED1, 5731911]
[paragraph, [465.0, 608.0, 797.0, 36.0], shoonya_0sA05C47FADED1, 5731911]
[paragraph, [465.0, 644.0, 797.0, 36.0], shoonya_0sA05C47FADED1, 5731911]
[paragraph, [465.0, 680.0, 797.0, 36.0], shoonya_0sA05C47FADED1, 5731911]
[paragraph, [465.0, 716.0, 797.0, 36.0], shoonya_0sA05C47FADED1, 5731911]
[paragraph, [465.0, 752.0, 797.0, 36.0], shoonya_0sA05C47FADED1, 5731911]
[paragraph, [465.0, 788.0, 797.0, 36.0], shoonya_0sA05C47FADED1, 5731911]
[paragraph, [465.0, 824.0, 797.0, 36.0], shoonya_0sA05C47FADED1, 5731911]
[paragraph, [465.0, 860.0, 797.0, 36.0], shoonya_0sA05C47FADED1, 5731911]
[paragraph, [465.0, 896.0, 797.0, 36.0], shoonya_0sA05C47FADED1, 5731911]
[paragraph, [465.0, 932.0, 797.0, 36.0], shoonya_0sA05C47FADED1, 5731911]
[paragraph, [465.0, 968.0, 797.0, 36.0], shoonya_0sA05C47FADED1, 5731911]
[paragraph, [465.0, 1004.0, 797.0, 36.0], shoonya_0sA05C47FADED1, 5731911]
[paragraph, [465.0, 1040.0, 797.0, 36.0], shoonya_0sA05C47FADED1, 5731911]
[paragraph, [465.0, 1076.0, 797.0, 36.0], shoonya_0sA05C47FADED1, 5731911]
[paragraph, [465.0, 1112.0, 797.0, 36.0], shoonya_0sA05C47FADED1, 5731911]
[paragraph, [465.0, 1148.0, 797.0, 36.0], shoonya_0sA05C47FADED1, 5731911]
[paragraph, [465.0, 1184.0, 797.0, 36.0], shoonya_0sA05C47FADED1, 5731911]
[paragraph, [465.0, 1220.0, 797.0, 36.0], shoonya_0sA05C47FADED1, 5731911]
[paragraph, [465.0, 1256.0, 797.0, 36.0], shoonya_0sA05C47FADED1, 5731911]
[paragraph, [465.0, 1292.0, 797.0, 36.0], shoonya_0sA05C47FADED1, 5731911]
[paragraph, [465.0, 1328.0, 797.0, 36.0], shoonya_0sA05C47FADED1, 5731911]
[paragraph, [465.0, 1364.0, 797.0, 36.0], shoonya_0sA05C47FADED1, 5731911]
[paragraph, [457.0, 1451.0, 806.0, 36.0], shoonya_1sKLXZVJT933RX, 5731911]
[paragraph, [457.0, 1487.0, 806.0, 36.0], shoonya_1sKLXZVJT933RX, 5731911]
[paragraph, [457.0, 1523.0, 806.0, 36.0], shoonya_1sKLXZVJT933RX, 5731911]
[paragraph, [457.0, 1559.0, 806.0, 36.0], shoonya_1sKLXZVJT933RX, 5731911]
[paragraph, [457.0, 1595.0, 806.0, 36.0], shoonya_1sKLXZVJT933RX, 5731911]
[paragraph, [457.0, 1631.0, 806.0, 36.0], shoonya_1sKLXZVJT933RX, 5731911]
[paragraph, [457.0, 1667.0, 806.0, 36.0], shoonya_1sKLXZVJT933RX, 5731911]
[paragraph, [457.0, 1703.0, 806.0, 36.0], shoonya_1sKLXZVJT933RX, 5731911]
[footnote, [1309.0, 2030.0, 222.0, 36.0], D9DxyFZ-ar, 5731911]
[footnote, [1309.0, 2066.0, 222.0, 36.0], D9DxyFZ-ar, 5731911]
[folio, [804.0, 2106.0, 178.0, 36.0], zp9zwzy2A4, 5731911]
