[2000, 1414]
[headline, [212.0, 473.0, 646.0, 67.5], qggr92PrQe, 6515106]
[ordered-list, [250.0, 770.0, 456.0, 36.0], XtAhK77L1F, 6515106]
[ordered-list, [250.0, 806.0, 456.0, 36.0], XtAhK77L1F, 6515106]
[ordered-list, [250.0, 842.0, 456.0, 36.0], XtAhK77L1F, 6515106]
[ordered-list, [250.0, 878.0, 456.0, 36.0], XtAhK77L1F, 6515106]
[ordered-list, [250.0, 914.0, 456.0, 36.0], XtAhK77L1F, 6515106]
[ordered-list, [250.0, 950.0, 456.0, 36.0], XtAhK77L1F, 6515106]
[ordered-list, [250.0, 986.0, 456.0, 36.0], XtAhK77L1F, 6515106]
[ordered-list, [250.0, 1022.0, 456.0, 36.0], XtAhK77L1F, 6515106]
[ordered-list, [250.0, 1058.0, 456.0, 36.0], XtAhK77L1F, 6515106]
[ordered-list, [250.0, 1094.0, 456.0, 36.0], XtAhK77L1F, 6515106]
[ordered-list, [250.0, 1130.0, 456.0, 36.0], XtAhK77L1F, 6515106]
[ordered-list, [250.0, 1166.0, 456.0, 36.0], XtAhK77L1F, 6515106]
[ordered-list, [250.0, 1202.0, 456.0, 36.0], XtAhK77L1F, 6515106]
[paragraph, [223.0, 1337.0, 967.0, 36.0], shoonya_0sAEXN0FPSDTBV, 6515106]
[paragraph, [223.0, 1373.0, 967.0, 36.0], shoonya_0sAEXN0FPSDTBV, 6515106]
[paragraph, [223.0, 1409.0, 967.0, 36.0], shoonya_0sAEXN0FPSDTBV, 6515106]
