[1448, 2048]
[headline, [541.0, 264.0, 971.0, 25.5], shoonya_1sES0CWVNWNE8A, 6473805]
[headline, [541.0, 289.5, 971.0, 25.5], shoonya_1sES0CWVNWNE8A, 6473805]
[headline, [541.0, 315.0, 971.0, 25.5], shoonya_1sES0CWVNWNE8A, 6473805]
[headline, [541.0, 340.5, 971.0, 25.5], shoonya_1sES0CWVNWNE8A, 6473805]
[paragraph, [138.0, 411.0, 1789.0, 18.0], jHHdhrUaBz, 6473805]
[paragraph, [138.0, 429.0, 1789.0, 18.0], jHHdhrUaBz, 6473805]
[paragraph, [138.0, 447.0, 1789.0, 18.0], jHHdhrUaBz, 6473805]
[paragraph, [138.0, 465.0, 1789.0, 18.0], jHHdhrUaBz, 6473805]
[paragraph, [138.0, 483.0, 1789.0, 18.0], jHHdhrUaBz, 6473805]
[paragraph, [138.0, 501.0, 1789.0, 18.0], jHHdhrUaBz, 6473805]
[paragraph, [138.0, 519.0, 1789.0, 18.0], jHHdhrUaBz, 6473805]
[paragraph, [138.0, 537.0, 1789.0, 18.0], jHHdhrUaBz, 6473805]
[paragraph, [138.0, 555.0, 1789.0, 18.0], jHHdhrUaBz, 6473805]
[paragraph, [138.0, 573.0, 1789.0, 18.0], jHHdhrUaBz, 6473805]
[paragraph, [138.0, 591.0, 1789.0, 18.0], jHHdhrUaBz, 6473805]
[paragraph, [138.0, 609.0, 1789.0, 18.0], jHHdhrUaBz, 6473805]
[paragraph, [138.0, 627.0, 1789.0, 18.0], jHHdhrUaBz, 6473805]
[paragraph, [138.0, 645.0, 1789.0, 18.0], jHHdhrUaBz, 6473805]
[paragraph, [138.0, 663.0, 1789.0, 18.0], jHHdhrUaBz, 6473805]
[paragraph, [138.0, 681.0, 1789.0, 18.0], jHHdhrUaBz, 6473805]
[paragraph, [138.0, 699.0, 1789.0, 18.0], jHHdhrUaBz, 6473805]
[paragraph, [138.0, 717.0, 1789.0, 18.0], jHHdhrUaBz, 6473805]
[paragraph, [138.0, 735.0, 1789.0, 18.0], jHHdhrUaBz, 6473805]
[paragraph, [138.0, 753.0, 1789.0, 18.0], jHHdhrUaBz, 6473805]
[paragraph, [138.0, 771.0, 1789.0, 18.0], jHHdhrUaBz, 6473805]
[paragraph, [138.0, 789.0, 1789.0, 18.0], jHHdhrUaBz, 6473805]
[paragraph, [138.0, 807.0, 1789.0, 18.0], jHHdhrUaBz, 6473805]
[paragraph, [138.0, 825.0, 1789.0, 18.0], jHHdhrUaBz, 6473805]
[paragraph, [138.0, 843.0, 1789.0, 18.0], jHHdhrUaBz, 6473805]
[paragraph, [138.0, 861.0, 1789.0, 18.0], jHHdhrUaBz, 6473805]
[paragraph, [138.0, 879.0, 1789.0, 18.0], jHHdhrUaBz, 6473805]
[paragraph, [138.0, 897.0, 1789.0, 18.0], jHHdhrUaBz, 6473805]
[paragraph, [138.0, 915.0, 1789.0, 18.0], jHHdhrUaBz, 6473805]
[paragraph, [138.0, 933.0, 1789.0, 18.0], jHHdhrUaBz, 6473805]
[paragraph, [138.0, 951.0, 1789.0, 18.0], jHHdhrUaBz, 6473805]
[paragraph, [138.0, 969.0, 1789.0, 18.0], jHHdhrUaBz, 6473805]
[paragraph, [138.0, 987.0, 1789.0, 18.0], jHHdhrUaBz, 6473805]
[paragraph, [138.0, 1005.0, 1789.0, 18.0], jHHdhrUaBz, 6473805]
[paragraph, [138.0, 1023.0, 1789.0, 18.0], jHHdhrUaBz, 6473805]
[paragraph, [138.0, 1041.0, 1789.0, 18.0], jHHdhrUaBz, 6473805]
[paragraph, [138.0, 1059.0, 1789.0, 18.0], jHHdhrUaBz, 6473805]
[paragraph, [138.0, 1077.0, 1789.0, 18.0], jHHdhrUaBz, 6473805]
[paragraph, [138.0, 1095.0, 1789.0, 18.0], jHHdhrUaBz, 6473805]
[paragraph, [138.0, 1113.0, 1789.0, 18.0], jHHdhrUaBz, 6473805]
[folio, [506.0, 1289.0, 792.0, 18.0], Alz-42C0PW, 6473805]
[folio, [506.0, 1307.0, 792.0, 18.0], Alz-42C0PW, 6473805]
[folio, [506.0, 1325.0, 792.0, 18.0], Alz-42C0PW, 6473805]
[folio, [1385.0, 1291.0, 166.0, 18.0], 7bp_tSNVCY, 6473805]
[folio, [1385.0, 1309.0, 166.0, 18.0], 7bp_tSNVCY, 6473805]
