[1286, 911]
[chapter-title, [404.0, 49.0, 203.0, 30.0], shoonya_0sN09ROX4518XI, 5775935]
[paragraph, [170.0, 101.0, 662.0, 18.0], 36B7fIGtik, 5775935]
[paragraph, [170.0, 119.0, 662.0, 18.0], 36B7fIGtik, 5775935]
[paragraph, [170.0, 150.0, 656.0, 18.0], LqjxH-ZRGO, 5775935]
[paragraph, [170.0, 168.0, 656.0, 18.0], LqjxH-ZRGO, 5775935]
[paragraph, [167.0, 200.0, 412.0, 18.0], YoAFuqsg37, 5775935]
[paragraph, [168.0, 227.0, 512.0, 18.0], OT7wtC__ex, 5775935]
[paragraph, [170.0, 253.0, 579.0, 18.0], 2Rnk6e9H2D, 5775935]
[paragraph, [170.0, 277.0, 663.0, 18.0], 3Hn8HxGT5p, 5775935]
[paragraph, [170.0, 295.0, 663.0, 18.0], 3Hn8HxGT5p, 5775935]
[paragraph, [172.0, 327.0, 662.0, 18.0], t2zZGRghui, 5775935]
[paragraph, [172.0, 345.0, 662.0, 18.0], t2zZGRghui, 5775935]
[paragraph, [171.0, 376.0, 664.0, 18.0], YvspCrfYy2, 5775935]
[paragraph, [171.0, 394.0, 664.0, 18.0], YvspCrfYy2, 5775935]
[paragraph, [171.0, 412.0, 664.0, 18.0], YvspCrfYy2, 5775935]
[paragraph, [171.0, 430.0, 664.0, 18.0], YvspCrfYy2, 5775935]
[paragraph, [171.0, 448.0, 664.0, 18.0], YvspCrfYy2, 5775935]
[paragraph, [171.0, 466.0, 664.0, 18.0], YvspCrfYy2, 5775935]
[paragraph, [171.0, 484.0, 664.0, 18.0], YvspCrfYy2, 5775935]
[paragraph, [171.0, 502.0, 664.0, 18.0], YvspCrfYy2, 5775935]
[paragraph, [171.0, 520.0, 664.0, 18.0], YvspCrfYy2, 5775935]
[paragraph, [168.0, 551.0, 672.0, 18.0], HtJSyYFhga, 5775935]
[paragraph, [168.0, 569.0, 672.0, 18.0], HtJSyYFhga, 5775935]
[paragraph, [165.0, 604.0, 678.0, 18.0], 7y5c81wXNR, 5775935]
[paragraph, [165.0, 622.0, 678.0, 18.0], 7y5c81wXNR, 5775935]
[paragraph, [167.0, 658.0, 676.0, 18.0], hohT689HlK, 5775935]
[paragraph, [167.0, 676.0, 676.0, 18.0], hohT689HlK, 5775935]
[paragraph, [167.0, 694.0, 676.0, 18.0], hohT689HlK, 5775935]
[paragraph, [167.0, 712.0, 676.0, 18.0], hohT689HlK, 5775935]
[paragraph, [167.0, 730.0, 676.0, 18.0], hohT689HlK, 5775935]
[paragraph, [167.0, 748.0, 676.0, 18.0], hohT689HlK, 5775935]
[paragraph, [167.0, 766.0, 676.0, 18.0], hohT689HlK, 5775935]
[paragraph, [167.0, 784.0, 676.0, 18.0], hohT689HlK, 5775935]
[paragraph, [167.0, 802.0, 676.0, 18.0], hohT689HlK, 5775935]
[paragraph, [167.0, 820.0, 676.0, 18.0], hohT689HlK, 5775935]
[paragraph, [167.0, 851.0, 679.0, 18.0], KatvoaDu5n, 5775935]
[paragraph, [167.0, 869.0, 679.0, 18.0], KatvoaDu5n, 5775935]
[paragraph, [166.0, 909.0, 680.0, 18.0], gkIloiNnVZ, 5775935]
[paragraph, [166.0, 927.0, 680.0, 18.0], gkIloiNnVZ, 5775935]
[paragraph, [170.0, 959.0, 681.0, 18.0], 9X0NzwdIrG, 5775935]
[paragraph, [170.0, 977.0, 681.0, 18.0], 9X0NzwdIrG, 5775935]
[paragraph, [170.0, 995.0, 681.0, 18.0], 9X0NzwdIrG, 5775935]
[paragraph, [171.0, 1031.0, 679.0, 18.0], JTCJ-VEsG9, 5775935]
[paragraph, [171.0, 1049.0, 679.0, 18.0], JTCJ-VEsG9, 5775935]
[paragraph, [171.0, 1077.0, 669.0, 18.0], Gnev5rV5h8, 5775935]
[paragraph, [171.0, 1095.0, 669.0, 18.0], Gnev5rV5h8, 5775935]
