[2481, 1654]
[folio, [343.0, 92.0, 132.0, 36.0], 6KIypFsoeL, 5721303]
[paragraph, [225.0, 216.0, 1271.0, 36.0], NpR-nhQFe8, 5721303]
[paragraph, [225.0, 252.0, 1271.0, 36.0], NpR-nhQFe8, 5721303]
[paragraph, [223.0, 324.0, 1271.0, 36.0], sW5Hx9k8e8, 5721303]
[paragraph, [223.0, 360.0, 1271.0, 36.0], sW5Hx9k8e8, 5721303]
[paragraph, [268.0, 431.0, 806.0, 36.0], kLkpCtmMvL, 5721303]
[paragraph, [227.0, 481.0, 1265.0, 36.0], K7kpksDqVM, 5721303]
[paragraph, [227.0, 517.0, 1265.0, 36.0], K7kpksDqVM, 5721303]
[paragraph, [281.0, 582.0, 1166.0, 36.0], YGkY53zPfF, 5721303]
[paragraph, [285.0, 636.0, 268.0, 36.0], V_8Xa6_mVu, 5721303]
[paragraph, [268.0, 687.0, 330.0, 36.0], zEUSdtsf_B, 5721303]
[paragraph, [274.0, 735.0, 698.0, 36.0], Mk-9qMvC1t, 5721303]
[paragraph, [279.0, 793.0, 1023.0, 36.0], URpRTCZ5nt, 5721303]
[paragraph, [277.0, 844.0, 917.0, 36.0], Zqpi6mfCbc, 5721303]
[paragraph, [215.0, 896.0, 1308.0, 36.0], JLN7BwLNqS, 5721303]
[paragraph, [215.0, 932.0, 1308.0, 36.0], JLN7BwLNqS, 5721303]
[paragraph, [277.0, 1003.0, 574.0, 36.0], cIV1R71Y7I, 5721303]
[paragraph, [262.0, 1053.0, 359.0, 36.0], 6iH8LyOBsR, 5721303]
[paragraph, [268.0, 1105.0, 440.0, 36.0], kIH48pzq_V, 5721303]
[paragraph, [266.0, 1158.0, 436.0, 36.0], OadDu4ROfH, 5721303]
[paragraph, [266.0, 1208.0, 291.0, 36.0], 9SbU9myW2z, 5721303]
[paragraph, [281.0, 1260.0, 301.0, 36.0], OiBUPKXIM_, 5721303]
[paragraph, [285.0, 1313.0, 1120.0, 36.0], ouvUkHhFj0, 5721303]
[paragraph, [210.0, 1367.0, 1298.0, 36.0], v2NIvtc7EO, 5721303]
[paragraph, [210.0, 1403.0, 1298.0, 36.0], v2NIvtc7EO, 5721303]
[paragraph, [210.0, 1439.0, 1298.0, 36.0], v2NIvtc7EO, 5721303]
[paragraph, [210.0, 1475.0, 1298.0, 36.0], v2NIvtc7EO, 5721303]
[paragraph, [208.0, 1522.0, 1306.0, 36.0], rzlrUK_HHt, 5721303]
[paragraph, [208.0, 1558.0, 1306.0, 36.0], rzlrUK_HHt, 5721303]
[paragraph, [208.0, 1594.0, 1306.0, 36.0], rzlrUK_HHt, 5721303]
[paragraph, [208.0, 1630.0, 1306.0, 36.0], rzlrUK_HHt, 5721303]
[paragraph, [208.0, 1666.0, 1306.0, 36.0], rzlrUK_HHt, 5721303]
[paragraph, [208.0, 1702.0, 1306.0, 36.0], rzlrUK_HHt, 5721303]
[paragraph, [208.0, 1738.0, 1306.0, 36.0], rzlrUK_HHt, 5721303]
[paragraph, [210.0, 1782.0, 1300.0, 36.0], uyf2BQs6rC, 5721303]
[paragraph, [210.0, 1818.0, 1300.0, 36.0], uyf2BQs6rC, 5721303]
[paragraph, [206.0, 1888.0, 1300.0, 36.0], Ikbv8NCY1P, 5721303]
[paragraph, [206.0, 1924.0, 1300.0, 36.0], Ikbv8NCY1P, 5721303]
[paragraph, [202.0, 1991.0, 1304.0, 36.0], 9tHRgocDmh, 5721303]
[paragraph, [202.0, 2027.0, 1304.0, 36.0], 9tHRgocDmh, 5721303]
[paragraph, [198.0, 2096.0, 1310.0, 36.0], n_LDslzjRs, 5721303]
[paragraph, [198.0, 2132.0, 1310.0, 36.0], n_LDslzjRs, 5721303]
