[1787, 1218]
[paragraph, [110.0, 91.0, 1002.0, 36.0], shoonya_1sL85MGF5KM88E, 5651114]
[paragraph, [110.0, 127.0, 1002.0, 36.0], shoonya_1sL85MGF5KM88E, 5651114]
[paragraph, [110.0, 163.0, 1002.0, 36.0], shoonya_1sL85MGF5KM88E, 5651114]
[paragraph, [110.0, 199.0, 1002.0, 36.0], shoonya_1sL85MGF5KM88E, 5651114]
[paragraph, [110.0, 235.0, 1002.0, 36.0], shoonya_1sL85MGF5KM88E, 5651114]
[paragraph, [110.0, 271.0, 1002.0, 36.0], shoonya_1sL85MGF5KM88E, 5651114]
[paragraph, [110.0, 307.0, 1002.0, 36.0], shoonya_1sL85MGF5KM88E, 5651114]
[paragraph, [107.0, 344.0, 1004.0, 36.0], shoonya_2s3SM8J4XLTSHU, 5651114]
[paragraph, [107.0, 380.0, 1004.0, 36.0], shoonya_2s3SM8J4XLTSHU, 5651114]
[paragraph, [107.0, 416.0, 1004.0, 36.0], shoonya_2s3SM8J4XLTSHU, 5651114]
[paragraph, [107.0, 452.0, 1004.0, 36.0], shoonya_2s3SM8J4XLTSHU, 5651114]
[paragraph, [107.0, 488.0, 1004.0, 36.0], shoonya_2s3SM8J4XLTSHU, 5651114]
[paragraph, [107.0, 524.0, 1004.0, 36.0], shoonya_2s3SM8J4XLTSHU, 5651114]
[paragraph, [107.0, 560.0, 1004.0, 36.0], shoonya_2s3SM8J4XLTSHU, 5651114]
[paragraph, [105.0, 603.0, 1003.0, 36.0], shoonya_4sXDPYW6631TD3, 5651114]
[paragraph, [105.0, 639.0, 1003.0, 36.0], shoonya_4sXDPYW6631TD3, 5651114]
[paragraph, [105.0, 675.0, 1003.0, 36.0], shoonya_4sXDPYW6631TD3, 5651114]
[paragraph, [105.0, 711.0, 1003.0, 36.0], shoonya_4sXDPYW6631TD3, 5651114]
[paragraph, [106.0, 774.0, 1002.0, 36.0], shoonya_0s27KFZZ9ZZI43, 5651114]
[paragraph, [106.0, 810.0, 1002.0, 36.0], shoonya_0s27KFZZ9ZZI43, 5651114]
[paragraph, [106.0, 846.0, 1002.0, 36.0], shoonya_0s27KFZZ9ZZI43, 5651114]
[paragraph, [106.0, 882.0, 1002.0, 36.0], shoonya_0s27KFZZ9ZZI43, 5651114]
[paragraph, [106.0, 918.0, 1002.0, 36.0], shoonya_0s27KFZZ9ZZI43, 5651114]
[paragraph, [106.0, 954.0, 1002.0, 36.0], shoonya_0s27KFZZ9ZZI43, 5651114]
[paragraph, [106.0, 990.0, 1002.0, 36.0], shoonya_0s27KFZZ9ZZI43, 5651114]
[paragraph, [106.0, 1026.0, 1002.0, 36.0], shoonya_0s27KFZZ9ZZI43, 5651114]
[paragraph, [106.0, 1062.0, 1002.0, 36.0], shoonya_0s27KFZZ9ZZI43, 5651114]
[paragraph, [106.0, 1098.0, 1002.0, 36.0], shoonya_0s27KFZZ9ZZI43, 5651114]
[paragraph, [110.0, 1159.0, 1000.0, 36.0], shoonya_5sWWC3BB4D8WXB, 5651114]
[paragraph, [110.0, 1195.0, 1000.0, 36.0], shoonya_5sWWC3BB4D8WXB, 5651114]
[paragraph, [110.0, 1231.0, 1000.0, 36.0], shoonya_5sWWC3BB4D8WXB, 5651114]
[paragraph, [110.0, 1267.0, 1000.0, 36.0], shoonya_5sWWC3BB4D8WXB, 5651114]
[paragraph, [110.0, 1303.0, 1000.0, 36.0], shoonya_5sWWC3BB4D8WXB, 5651114]
[paragraph, [110.0, 1333.0, 1003.0, 36.0], shoonya_3s3YSZV1JCYTJX, 5651114]
[paragraph, [110.0, 1369.0, 1003.0, 36.0], shoonya_3s3YSZV1JCYTJX, 5651114]
[paragraph, [110.0, 1405.0, 1003.0, 36.0], shoonya_3s3YSZV1JCYTJX, 5651114]
[paragraph, [110.0, 1441.0, 1003.0, 36.0], shoonya_3s3YSZV1JCYTJX, 5651114]
[paragraph, [110.0, 1477.0, 1003.0, 36.0], shoonya_3s3YSZV1JCYTJX, 5651114]
[paragraph, [110.0, 1513.0, 1003.0, 36.0], shoonya_3s3YSZV1JCYTJX, 5651114]
[paragraph, [110.0, 1549.0, 1003.0, 36.0], shoonya_3s3YSZV1JCYTJX, 5651114]
