[2339, 1653]
[folio, [233.0, 329.0, 288.0, 36.0], 4_JMb2vfBW, 5736058]
[paragraph, [829.0, 389.0, 585.0, 36.0], EGgmY-8N6Z, 5736058]
[paragraph, [829.0, 425.0, 585.0, 36.0], EGgmY-8N6Z, 5736058]
[paragraph, [829.0, 461.0, 585.0, 36.0], EGgmY-8N6Z, 5736058]
[paragraph, [829.0, 497.0, 585.0, 36.0], EGgmY-8N6Z, 5736058]
[paragraph, [829.0, 533.0, 585.0, 36.0], EGgmY-8N6Z, 5736058]
[paragraph, [829.0, 569.0, 585.0, 36.0], EGgmY-8N6Z, 5736058]
[paragraph, [829.0, 605.0, 585.0, 36.0], EGgmY-8N6Z, 5736058]
[paragraph, [829.0, 641.0, 585.0, 36.0], EGgmY-8N6Z, 5736058]
[paragraph, [829.0, 677.0, 585.0, 36.0], EGgmY-8N6Z, 5736058]
[paragraph, [829.0, 713.0, 585.0, 36.0], EGgmY-8N6Z, 5736058]
[paragraph, [829.0, 749.0, 585.0, 36.0], EGgmY-8N6Z, 5736058]
[paragraph, [829.0, 785.0, 585.0, 36.0], EGgmY-8N6Z, 5736058]
[paragraph, [829.0, 821.0, 585.0, 36.0], EGgmY-8N6Z, 5736058]
[paragraph, [829.0, 857.0, 585.0, 36.0], EGgmY-8N6Z, 5736058]
[paragraph, [829.0, 893.0, 585.0, 36.0], EGgmY-8N6Z, 5736058]
[paragraph, [829.0, 929.0, 585.0, 36.0], EGgmY-8N6Z, 5736058]
[paragraph, [829.0, 965.0, 585.0, 36.0], EGgmY-8N6Z, 5736058]
[paragraph, [829.0, 1001.0, 585.0, 36.0], EGgmY-8N6Z, 5736058]
[paragraph, [829.0, 1037.0, 585.0, 36.0], EGgmY-8N6Z, 5736058]
[paragraph, [829.0, 1073.0, 585.0, 36.0], EGgmY-8N6Z, 5736058]
[paragraph, [829.0, 1109.0, 585.0, 36.0], EGgmY-8N6Z, 5736058]
[paragraph, [829.0, 1145.0, 585.0, 36.0], EGgmY-8N6Z, 5736058]
[paragraph, [237.0, 390.0, 580.0, 36.0], shoonya_0sMANGG3EME6G6, 5736058]
[paragraph, [237.0, 426.0, 580.0, 36.0], shoonya_0sMANGG3EME6G6, 5736058]
[paragraph, [237.0, 462.0, 580.0, 36.0], shoonya_0sMANGG3EME6G6, 5736058]
[paragraph, [237.0, 498.0, 580.0, 36.0], shoonya_0sMANGG3EME6G6, 5736058]
[paragraph, [237.0, 534.0, 580.0, 36.0], shoonya_0sMANGG3EME6G6, 5736058]
[paragraph, [237.0, 570.0, 580.0, 36.0], shoonya_0sMANGG3EME6G6, 5736058]
[paragraph, [237.0, 606.0, 580.0, 36.0], shoonya_0sMANGG3EME6G6, 5736058]
[sidebar, [66.0, 438.0, 134.0, 36.0], CrgoOckZfp, 5736058]
[paragraph, [232.0, 654.0, 581.0, 36.0], shoonya_3sMQXT8X9K1DJ4, 5736058]
[paragraph, [232.0, 690.0, 581.0, 36.0], shoonya_3sMQXT8X9K1DJ4, 5736058]
[paragraph, [232.0, 726.0, 581.0, 36.0], shoonya_3sMQXT8X9K1DJ4, 5736058]
[paragraph, [232.0, 762.0, 581.0, 36.0], shoonya_3sMQXT8X9K1DJ4, 5736058]
