[1492, 1000]
[folio, [409.0, 156.0, 203.0, 18.0], shoonya_2s6ZZ0IKULZGXK, 5720870]
[paragraph, [149.0, 209.0, 732.0, 18.0], shoonya_0sUL20G49QFM9W, 5720870]
[paragraph, [149.0, 227.0, 732.0, 18.0], shoonya_0sUL20G49QFM9W, 5720870]
[paragraph, [149.0, 245.0, 732.0, 18.0], shoonya_0sUL20G49QFM9W, 5720870]
[paragraph, [149.0, 263.0, 732.0, 18.0], shoonya_0sUL20G49QFM9W, 5720870]
[paragraph, [149.0, 281.0, 732.0, 18.0], shoonya_0sUL20G49QFM9W, 5720870]
[paragraph, [149.0, 299.0, 732.0, 18.0], shoonya_0sUL20G49QFM9W, 5720870]
[paragraph, [149.0, 317.0, 732.0, 18.0], shoonya_0sUL20G49QFM9W, 5720870]
[paragraph, [149.0, 335.0, 732.0, 18.0], shoonya_0sUL20G49QFM9W, 5720870]
[paragraph, [149.0, 353.0, 732.0, 18.0], shoonya_0sUL20G49QFM9W, 5720870]
[paragraph, [149.0, 371.0, 732.0, 18.0], shoonya_0sUL20G49QFM9W, 5720870]
[paragraph, [149.0, 389.0, 732.0, 18.0], shoonya_0sUL20G49QFM9W, 5720870]
[paragraph, [149.0, 407.0, 732.0, 18.0], shoonya_0sUL20G49QFM9W, 5720870]
[paragraph, [149.0, 425.0, 732.0, 18.0], shoonya_0sUL20G49QFM9W, 5720870]
[paragraph, [149.0, 443.0, 732.0, 18.0], shoonya_0sUL20G49QFM9W, 5720870]
[paragraph, [149.0, 461.0, 732.0, 18.0], shoonya_0sUL20G49QFM9W, 5720870]
[paragraph, [149.0, 479.0, 732.0, 18.0], shoonya_0sUL20G49QFM9W, 5720870]
[paragraph, [149.0, 497.0, 732.0, 18.0], shoonya_0sUL20G49QFM9W, 5720870]
[paragraph, [149.0, 515.0, 732.0, 18.0], shoonya_0sUL20G49QFM9W, 5720870]
[paragraph, [149.0, 533.0, 732.0, 18.0], shoonya_0sUL20G49QFM9W, 5720870]
[paragraph, [149.0, 551.0, 732.0, 18.0], shoonya_0sUL20G49QFM9W, 5720870]
[paragraph, [149.0, 569.0, 732.0, 18.0], shoonya_0sUL20G49QFM9W, 5720870]
[paragraph, [149.0, 587.0, 732.0, 18.0], shoonya_0sUL20G49QFM9W, 5720870]
[paragraph, [149.0, 605.0, 732.0, 18.0], shoonya_0sUL20G49QFM9W, 5720870]
[paragraph, [149.0, 623.0, 732.0, 18.0], shoonya_0sUL20G49QFM9W, 5720870]
[paragraph, [149.0, 641.0, 732.0, 18.0], shoonya_0sUL20G49QFM9W, 5720870]
[paragraph, [149.0, 659.0, 732.0, 18.0], shoonya_0sUL20G49QFM9W, 5720870]
[paragraph, [149.0, 677.0, 732.0, 18.0], shoonya_0sUL20G49QFM9W, 5720870]
[paragraph, [149.0, 695.0, 732.0, 18.0], shoonya_0sUL20G49QFM9W, 5720870]
[paragraph, [149.0, 713.0, 732.0, 18.0], shoonya_0sUL20G49QFM9W, 5720870]
[paragraph, [149.0, 731.0, 732.0, 18.0], shoonya_0sUL20G49QFM9W, 5720870]
[paragraph, [149.0, 749.0, 732.0, 18.0], shoonya_0sUL20G49QFM9W, 5720870]
[paragraph, [149.0, 767.0, 732.0, 18.0], shoonya_0sUL20G49QFM9W, 5720870]
[paragraph, [149.0, 785.0, 732.0, 18.0], shoonya_0sUL20G49QFM9W, 5720870]
[paragraph, [149.0, 803.0, 732.0, 18.0], shoonya_0sUL20G49QFM9W, 5720870]
[paragraph, [149.0, 821.0, 732.0, 18.0], shoonya_0sUL20G49QFM9W, 5720870]
