[2339, 1653]
[folio, [233.0, 332.0, 369.0, 36.0], myh-6_03K8, 5735424]
[folio, [1267.0, 332.0, 148.0, 36.0], _AlUrN36vF, 5735424]
[sidebar, [61.0, 881.0, 134.0, 36.0], 3wRSEk92K7, 5735424]
[author, [442.0, 1425.0, 765.0, 36.0], shoonya_9sSX7KG7M59C4E, 5735424]
[paragraph, [837.0, 1504.0, 580.0, 36.0], shoonya_1sU32ZQU2HAYKN, 5735424]
[paragraph, [837.0, 1540.0, 580.0, 36.0], shoonya_1sU32ZQU2HAYKN, 5735424]
[paragraph, [837.0, 1576.0, 580.0, 36.0], shoonya_1sU32ZQU2HAYKN, 5735424]
[paragraph, [837.0, 1612.0, 580.0, 36.0], shoonya_1sU32ZQU2HAYKN, 5735424]
[paragraph, [837.0, 1648.0, 580.0, 36.0], shoonya_1sU32ZQU2HAYKN, 5735424]
[paragraph, [837.0, 1684.0, 580.0, 36.0], shoonya_1sU32ZQU2HAYKN, 5735424]
[paragraph, [837.0, 1720.0, 580.0, 36.0], shoonya_1sU32ZQU2HAYKN, 5735424]
[paragraph, [837.0, 1756.0, 580.0, 36.0], shoonya_1sU32ZQU2HAYKN, 5735424]
[paragraph, [837.0, 1792.0, 580.0, 36.0], shoonya_1sU32ZQU2HAYKN, 5735424]
[paragraph, [837.0, 1828.0, 580.0, 36.0], shoonya_1sU32ZQU2HAYKN, 5735424]
[paragraph, [837.0, 1864.0, 580.0, 36.0], shoonya_1sU32ZQU2HAYKN, 5735424]
[paragraph, [234.0, 1506.0, 581.0, 36.0], shoonya_5sSY53EA2WTFNP, 5735424]
[paragraph, [234.0, 1542.0, 581.0, 36.0], shoonya_5sSY53EA2WTFNP, 5735424]
[paragraph, [236.0, 1594.0, 580.0, 36.0], shoonya_2sBTMQRD6Z5VHB, 5735424]
[paragraph, [236.0, 1630.0, 580.0, 36.0], shoonya_2sBTMQRD6Z5VHB, 5735424]
[paragraph, [236.0, 1666.0, 580.0, 36.0], shoonya_2sBTMQRD6Z5VHB, 5735424]
[paragraph, [236.0, 1702.0, 580.0, 36.0], shoonya_2sBTMQRD6Z5VHB, 5735424]
[paragraph, [236.0, 1738.0, 580.0, 36.0], shoonya_2sBTMQRD6Z5VHB, 5735424]
[paragraph, [236.0, 1774.0, 580.0, 36.0], shoonya_2sBTMQRD6Z5VHB, 5735424]
[paragraph, [236.0, 1810.0, 580.0, 36.0], shoonya_2sBTMQRD6Z5VHB, 5735424]
[paragraph, [236.0, 1846.0, 580.0, 36.0], shoonya_2sBTMQRD6Z5VHB, 5735424]
[paragraph, [266.0, 1904.0, 556.0, 36.0], shoonya_6s4LBDKD0QLUA8, 5735424]
[author, [1195.0, 1907.0, 221.0, 36.0], shoonya_4sPDMZI4WP3Z0Z, 5735424]
[folio, [1186.0, 1965.0, 228.0, 36.0], shoonya_7s29ZNG1SP5M0P, 5735424]
