[2339, 1654]
[paragraph, [180.0, 184.0, 1177.0, 36.0], shoonya_0sLZN1F4YGPK4B, 5754228]
[paragraph, [180.0, 220.0, 1177.0, 36.0], shoonya_0sLZN1F4YGPK4B, 5754228]
[paragraph, [180.0, 256.0, 1177.0, 36.0], shoonya_0sLZN1F4YGPK4B, 5754228]
[paragraph, [180.0, 292.0, 1177.0, 36.0], shoonya_0sLZN1F4YGPK4B, 5754228]
[paragraph, [180.0, 328.0, 1177.0, 36.0], shoonya_0sLZN1F4YGPK4B, 5754228]
[paragraph, [180.0, 364.0, 1177.0, 36.0], shoonya_0sLZN1F4YGPK4B, 5754228]
[paragraph, [180.0, 400.0, 1177.0, 36.0], shoonya_0sLZN1F4YGPK4B, 5754228]
[paragraph, [180.0, 436.0, 1177.0, 36.0], shoonya_0sLZN1F4YGPK4B, 5754228]
[paragraph, [180.0, 472.0, 1177.0, 36.0], shoonya_0sLZN1F4YGPK4B, 5754228]
[paragraph, [180.0, 508.0, 1177.0, 36.0], shoonya_0sLZN1F4YGPK4B, 5754228]
[paragraph, [180.0, 544.0, 1177.0, 36.0], shoonya_0sLZN1F4YGPK4B, 5754228]
[paragraph, [180.0, 580.0, 1177.0, 36.0], shoonya_0sLZN1F4YGPK4B, 5754228]
[paragraph, [180.0, 616.0, 1177.0, 36.0], shoonya_0sLZN1F4YGPK4B, 5754228]
[paragraph, [180.0, 652.0, 1177.0, 36.0], shoonya_0sLZN1F4YGPK4B, 5754228]
[paragraph, [180.0, 688.0, 1177.0, 36.0], shoonya_0sLZN1F4YGPK4B, 5754228]
[paragraph, [180.0, 724.0, 1177.0, 36.0], shoonya_0sLZN1F4YGPK4B, 5754228]
[paragraph, [180.0, 760.0, 1177.0, 36.0], shoonya_0sLZN1F4YGPK4B, 5754228]
[paragraph, [180.0, 796.0, 1177.0, 36.0], shoonya_0sLZN1F4YGPK4B, 5754228]
[paragraph, [180.0, 832.0, 1177.0, 36.0], shoonya_0sLZN1F4YGPK4B, 5754228]
[paragraph, [180.0, 868.0, 1177.0, 36.0], shoonya_0sLZN1F4YGPK4B, 5754228]
[paragraph, [180.0, 904.0, 1177.0, 36.0], shoonya_0sLZN1F4YGPK4B, 5754228]
[paragraph, [180.0, 940.0, 1177.0, 36.0], shoonya_0sLZN1F4YGPK4B, 5754228]
[paragraph, [180.0, 976.0, 1177.0, 36.0], shoonya_0sLZN1F4YGPK4B, 5754228]
[paragraph, [180.0, 1012.0, 1177.0, 36.0], shoonya_0sLZN1F4YGPK4B, 5754228]
[paragraph, [180.0, 1048.0, 1177.0, 36.0], shoonya_0sLZN1F4YGPK4B, 5754228]
[paragraph, [180.0, 1084.0, 1177.0, 36.0], shoonya_0sLZN1F4YGPK4B, 5754228]
[paragraph, [180.0, 1120.0, 1177.0, 36.0], shoonya_0sLZN1F4YGPK4B, 5754228]
[paragraph, [180.0, 1156.0, 1177.0, 36.0], shoonya_0sLZN1F4YGPK4B, 5754228]
[paragraph, [180.0, 1192.0, 1177.0, 36.0], shoonya_0sLZN1F4YGPK4B, 5754228]
[paragraph, [180.0, 1228.0, 1177.0, 36.0], shoonya_0sLZN1F4YGPK4B, 5754228]
[paragraph, [180.0, 1264.0, 1177.0, 36.0], shoonya_0sLZN1F4YGPK4B, 5754228]
[paragraph, [180.0, 1300.0, 1177.0, 36.0], shoonya_0sLZN1F4YGPK4B, 5754228]
[paragraph, [180.0, 1336.0, 1177.0, 36.0], shoonya_0sLZN1F4YGPK4B, 5754228]
[paragraph, [180.0, 1372.0, 1177.0, 36.0], shoonya_0sLZN1F4YGPK4B, 5754228]
[paragraph, [180.0, 1408.0, 1177.0, 36.0], shoonya_0sLZN1F4YGPK4B, 5754228]
[paragraph, [180.0, 1444.0, 1177.0, 36.0], shoonya_0sLZN1F4YGPK4B, 5754228]
[paragraph, [180.0, 1480.0, 1177.0, 36.0], shoonya_0sLZN1F4YGPK4B, 5754228]
[paragraph, [180.0, 1516.0, 1177.0, 36.0], shoonya_0sLZN1F4YGPK4B, 5754228]
[paragraph, [180.0, 1552.0, 1177.0, 36.0], shoonya_0sLZN1F4YGPK4B, 5754228]
[paragraph, [180.0, 1588.0, 1177.0, 36.0], shoonya_0sLZN1F4YGPK4B, 5754228]
[paragraph, [180.0, 1624.0, 1177.0, 36.0], shoonya_0sLZN1F4YGPK4B, 5754228]
[paragraph, [180.0, 1660.0, 1177.0, 36.0], shoonya_0sLZN1F4YGPK4B, 5754228]
[paragraph, [180.0, 1696.0, 1177.0, 36.0], shoonya_0sLZN1F4YGPK4B, 5754228]
[paragraph, [180.0, 1732.0, 1177.0, 36.0], shoonya_0sLZN1F4YGPK4B, 5754228]
[paragraph, [184.0, 1802.0, 1163.0, 36.0], shoonya_3sLJQO4COPKY60, 5754228]
[paragraph, [184.0, 1838.0, 1163.0, 36.0], shoonya_3sLJQO4COPKY60, 5754228]
[paragraph, [184.0, 1874.0, 1163.0, 36.0], shoonya_3sLJQO4COPKY60, 5754228]
[paragraph, [184.0, 1910.0, 1163.0, 36.0], shoonya_3sLJQO4COPKY60, 5754228]
[reference, [189.0, 2020.0, 593.0, 36.0], shoonya_1s185T0PQYZ9RV, 5754228]
