[1387, 987]
[paragraph, [63.0, 69.0, 843.0, 18.0], shoonya_0s7EZ5U1ZSLFAW, 5652935]
[paragraph, [63.0, 87.0, 843.0, 18.0], shoonya_0s7EZ5U1ZSLFAW, 5652935]
[paragraph, [63.0, 105.0, 843.0, 18.0], shoonya_0s7EZ5U1ZSLFAW, 5652935]
[paragraph, [63.0, 123.0, 843.0, 18.0], shoonya_0s7EZ5U1ZSLFAW, 5652935]
[paragraph, [63.0, 141.0, 843.0, 18.0], shoonya_0s7EZ5U1ZSLFAW, 5652935]
[paragraph, [63.0, 159.0, 843.0, 18.0], shoonya_0s7EZ5U1ZSLFAW, 5652935]
[paragraph, [63.0, 177.0, 843.0, 18.0], shoonya_0s7EZ5U1ZSLFAW, 5652935]
[paragraph, [63.0, 195.0, 843.0, 18.0], shoonya_0s7EZ5U1ZSLFAW, 5652935]
[paragraph, [59.0, 216.0, 856.0, 18.0], UY_Y3jNiGv, 5652935]
[paragraph, [59.0, 234.0, 856.0, 18.0], UY_Y3jNiGv, 5652935]
[paragraph, [59.0, 252.0, 856.0, 18.0], UY_Y3jNiGv, 5652935]
[paragraph, [59.0, 270.0, 856.0, 18.0], UY_Y3jNiGv, 5652935]
[paragraph, [59.0, 288.0, 856.0, 18.0], UY_Y3jNiGv, 5652935]
[paragraph, [59.0, 306.0, 856.0, 18.0], UY_Y3jNiGv, 5652935]
[paragraph, [59.0, 324.0, 856.0, 18.0], UY_Y3jNiGv, 5652935]
[paragraph, [51.0, 345.0, 847.0, 18.0], qSieSdmC3f, 5652935]
[paragraph, [51.0, 363.0, 847.0, 18.0], qSieSdmC3f, 5652935]
[paragraph, [51.0, 381.0, 847.0, 18.0], qSieSdmC3f, 5652935]
[paragraph, [51.0, 399.0, 847.0, 18.0], qSieSdmC3f, 5652935]
[paragraph, [51.0, 417.0, 847.0, 18.0], qSieSdmC3f, 5652935]
[paragraph, [51.0, 435.0, 847.0, 18.0], qSieSdmC3f, 5652935]
[paragraph, [51.0, 453.0, 847.0, 18.0], qSieSdmC3f, 5652935]
[paragraph, [51.0, 471.0, 847.0, 18.0], qSieSdmC3f, 5652935]
[paragraph, [51.0, 489.0, 847.0, 18.0], qSieSdmC3f, 5652935]
[paragraph, [51.0, 507.0, 847.0, 18.0], qSieSdmC3f, 5652935]
[paragraph, [51.0, 525.0, 847.0, 18.0], qSieSdmC3f, 5652935]
[paragraph, [51.0, 543.0, 847.0, 18.0], qSieSdmC3f, 5652935]
[paragraph, [51.0, 561.0, 847.0, 18.0], qSieSdmC3f, 5652935]
[paragraph, [51.0, 579.0, 847.0, 18.0], qSieSdmC3f, 5652935]
[paragraph, [51.0, 597.0, 847.0, 18.0], qSieSdmC3f, 5652935]
[paragraph, [41.0, 631.0, 863.0, 18.0], moat2WRkvr, 5652935]
[paragraph, [41.0, 649.0, 863.0, 18.0], moat2WRkvr, 5652935]
[paragraph, [41.0, 667.0, 863.0, 18.0], moat2WRkvr, 5652935]
[paragraph, [41.0, 685.0, 863.0, 18.0], moat2WRkvr, 5652935]
[paragraph, [41.0, 703.0, 863.0, 18.0], moat2WRkvr, 5652935]
[paragraph, [41.0, 721.0, 863.0, 18.0], moat2WRkvr, 5652935]
