[1650, 1275]
[folio, [1004.0, 64.0, 143.0, 36.0], 9djCZUL81W, 5722174]
[headline, [133.0, 111.0, 215.0, 37.5], 3vBXQixK_0, 5722174]
[headline, [133.0, 148.5, 215.0, 37.5], 3vBXQixK_0, 5722174]
[paragraph, [120.0, 203.0, 244.0, 36.0], shoonya_0sLA2MA4PPA3XF, 5722174]
[paragraph, [120.0, 239.0, 244.0, 36.0], shoonya_0sLA2MA4PPA3XF, 5722174]
[paragraph, [120.0, 275.0, 244.0, 36.0], shoonya_0sLA2MA4PPA3XF, 5722174]
[paragraph, [120.0, 311.0, 244.0, 36.0], shoonya_0sLA2MA4PPA3XF, 5722174]
[paragraph, [120.0, 347.0, 244.0, 36.0], shoonya_0sLA2MA4PPA3XF, 5722174]
[paragraph, [120.0, 383.0, 244.0, 36.0], shoonya_0sLA2MA4PPA3XF, 5722174]
[paragraph, [120.0, 419.0, 244.0, 36.0], shoonya_0sLA2MA4PPA3XF, 5722174]
[paragraph, [120.0, 455.0, 244.0, 36.0], shoonya_0sLA2MA4PPA3XF, 5722174]
[paragraph, [120.0, 491.0, 244.0, 36.0], shoonya_0sLA2MA4PPA3XF, 5722174]
[paragraph, [120.0, 527.0, 244.0, 36.0], shoonya_0sLA2MA4PPA3XF, 5722174]
[paragraph, [120.0, 563.0, 244.0, 36.0], shoonya_0sLA2MA4PPA3XF, 5722174]
[paragraph, [120.0, 599.0, 244.0, 36.0], shoonya_0sLA2MA4PPA3XF, 5722174]
[paragraph, [120.0, 635.0, 244.0, 36.0], shoonya_0sLA2MA4PPA3XF, 5722174]
[paragraph, [120.0, 671.0, 244.0, 36.0], shoonya_0sLA2MA4PPA3XF, 5722174]
[paragraph, [120.0, 707.0, 244.0, 36.0], shoonya_0sLA2MA4PPA3XF, 5722174]
[paragraph, [120.0, 743.0, 244.0, 36.0], shoonya_0sLA2MA4PPA3XF, 5722174]
[paragraph, [120.0, 779.0, 244.0, 36.0], shoonya_0sLA2MA4PPA3XF, 5722174]
[paragraph, [897.0, 334.0, 266.0, 36.0], 4Rs-ODpiOA, 5722174]
[paragraph, [897.0, 370.0, 266.0, 36.0], 4Rs-ODpiOA, 5722174]
[paragraph, [897.0, 406.0, 266.0, 36.0], 4Rs-ODpiOA, 5722174]
[paragraph, [897.0, 442.0, 266.0, 36.0], 4Rs-ODpiOA, 5722174]
[paragraph, [897.0, 478.0, 266.0, 36.0], 4Rs-ODpiOA, 5722174]
[paragraph, [897.0, 514.0, 266.0, 36.0], 4Rs-ODpiOA, 5722174]
[paragraph, [897.0, 550.0, 266.0, 36.0], 4Rs-ODpiOA, 5722174]
[paragraph, [897.0, 586.0, 266.0, 36.0], 4Rs-ODpiOA, 5722174]
[paragraph, [897.0, 622.0, 266.0, 36.0], 4Rs-ODpiOA, 5722174]
[paragraph, [897.0, 658.0, 266.0, 36.0], 4Rs-ODpiOA, 5722174]
[paragraph, [897.0, 694.0, 266.0, 36.0], 4Rs-ODpiOA, 5722174]
[paragraph, [897.0, 730.0, 266.0, 36.0], 4Rs-ODpiOA, 5722174]
[paragraph, [897.0, 766.0, 266.0, 36.0], 4Rs-ODpiOA, 5722174]
[paragraph, [376.0, 336.0, 251.0, 36.0], HZOCJtOPou, 5722174]
[paragraph, [376.0, 372.0, 251.0, 36.0], HZOCJtOPou, 5722174]
[paragraph, [376.0, 408.0, 251.0, 36.0], HZOCJtOPou, 5722174]
[paragraph, [376.0, 444.0, 251.0, 36.0], HZOCJtOPou, 5722174]
[paragraph, [376.0, 480.0, 251.0, 36.0], HZOCJtOPou, 5722174]
[paragraph, [376.0, 516.0, 251.0, 36.0], HZOCJtOPou, 5722174]
[paragraph, [376.0, 552.0, 251.0, 36.0], HZOCJtOPou, 5722174]
[paragraph, [639.0, 337.0, 251.0, 36.0], SxkCqGV5UP, 5722174]
[paragraph, [639.0, 373.0, 251.0, 36.0], SxkCqGV5UP, 5722174]
[paragraph, [639.0, 409.0, 251.0, 36.0], SxkCqGV5UP, 5722174]
[paragraph, [639.0, 445.0, 251.0, 36.0], SxkCqGV5UP, 5722174]
[paragraph, [639.0, 481.0, 251.0, 36.0], SxkCqGV5UP, 5722174]
[paragraph, [639.0, 517.0, 251.0, 36.0], SxkCqGV5UP, 5722174]
[paragraph, [639.0, 553.0, 251.0, 36.0], SxkCqGV5UP, 5722174]
[paragraph, [639.0, 589.0, 251.0, 36.0], SxkCqGV5UP, 5722174]
[paragraph, [639.0, 625.0, 251.0, 36.0], SxkCqGV5UP, 5722174]
[paragraph, [639.0, 661.0, 251.0, 36.0], SxkCqGV5UP, 5722174]
[paragraph, [639.0, 697.0, 251.0, 36.0], SxkCqGV5UP, 5722174]
[paragraph, [639.0, 733.0, 251.0, 36.0], SxkCqGV5UP, 5722174]
[paragraph, [639.0, 769.0, 251.0, 36.0], SxkCqGV5UP, 5722174]
[paragraph, [374.0, 618.0, 255.0, 36.0], 8vLlijxmlG, 5722174]
[paragraph, [374.0, 654.0, 255.0, 36.0], 8vLlijxmlG, 5722174]
[paragraph, [374.0, 690.0, 255.0, 36.0], 8vLlijxmlG, 5722174]
[paragraph, [374.0, 726.0, 255.0, 36.0], 8vLlijxmlG, 5722174]
[paragraph, [374.0, 762.0, 255.0, 36.0], 8vLlijxmlG, 5722174]
