[1275, 750]
[folio, [235.0, 92.0, 280.0, 18.0], shoonya_2sMUJ3X7AMZ5XR, 5766982]
[folio, [235.0, 110.0, 280.0, 18.0], shoonya_2sMUJ3X7AMZ5XR, 5766982]
[paragraph, [65.0, 149.0, 621.0, 18.0], TZjzApuOw5, 5766982]
[paragraph, [65.0, 167.0, 621.0, 18.0], TZjzApuOw5, 5766982]
[paragraph, [65.0, 185.0, 621.0, 18.0], TZjzApuOw5, 5766982]
[paragraph, [65.0, 203.0, 621.0, 18.0], TZjzApuOw5, 5766982]
[paragraph, [65.0, 221.0, 621.0, 18.0], TZjzApuOw5, 5766982]
[paragraph, [65.0, 239.0, 621.0, 18.0], TZjzApuOw5, 5766982]
[paragraph, [65.0, 257.0, 621.0, 18.0], TZjzApuOw5, 5766982]
[paragraph, [65.0, 275.0, 621.0, 18.0], TZjzApuOw5, 5766982]
[paragraph, [65.0, 293.0, 621.0, 18.0], TZjzApuOw5, 5766982]
[paragraph, [65.0, 311.0, 621.0, 18.0], TZjzApuOw5, 5766982]
[paragraph, [65.0, 329.0, 621.0, 18.0], TZjzApuOw5, 5766982]
[paragraph, [65.0, 347.0, 621.0, 18.0], TZjzApuOw5, 5766982]
[paragraph, [65.0, 365.0, 621.0, 18.0], TZjzApuOw5, 5766982]
[paragraph, [65.0, 383.0, 621.0, 18.0], TZjzApuOw5, 5766982]
[paragraph, [65.0, 401.0, 621.0, 18.0], TZjzApuOw5, 5766982]
[paragraph, [65.0, 419.0, 621.0, 18.0], TZjzApuOw5, 5766982]
[paragraph, [65.0, 437.0, 621.0, 18.0], TZjzApuOw5, 5766982]
[paragraph, [65.0, 455.0, 621.0, 18.0], TZjzApuOw5, 5766982]
[paragraph, [65.0, 473.0, 621.0, 18.0], TZjzApuOw5, 5766982]
[paragraph, [65.0, 491.0, 621.0, 18.0], TZjzApuOw5, 5766982]
[paragraph, [65.0, 509.0, 621.0, 18.0], TZjzApuOw5, 5766982]
[paragraph, [65.0, 527.0, 621.0, 18.0], TZjzApuOw5, 5766982]
[paragraph, [65.0, 545.0, 621.0, 18.0], TZjzApuOw5, 5766982]
[paragraph, [65.0, 563.0, 621.0, 18.0], TZjzApuOw5, 5766982]
[paragraph, [65.0, 581.0, 621.0, 18.0], TZjzApuOw5, 5766982]
[paragraph, [65.0, 599.0, 621.0, 18.0], TZjzApuOw5, 5766982]
[paragraph, [65.0, 617.0, 621.0, 18.0], TZjzApuOw5, 5766982]
[paragraph, [65.0, 635.0, 621.0, 18.0], TZjzApuOw5, 5766982]
[paragraph, [65.0, 653.0, 621.0, 18.0], TZjzApuOw5, 5766982]
[paragraph, [80.0, 687.0, 530.0, 18.0], WOllMOqmC4, 5766982]
[paragraph, [80.0, 705.0, 530.0, 18.0], WOllMOqmC4, 5766982]
[paragraph, [80.0, 723.0, 530.0, 18.0], WOllMOqmC4, 5766982]
[paragraph, [80.0, 741.0, 530.0, 18.0], WOllMOqmC4, 5766982]
[paragraph, [80.0, 759.0, 530.0, 18.0], WOllMOqmC4, 5766982]
[paragraph, [454.0, 788.0, 217.0, 18.0], shoonya_1sRZRUTJGYO2O1, 5766982]
[paragraph, [454.0, 806.0, 217.0, 18.0], shoonya_1sRZRUTJGYO2O1, 5766982]
[paragraph, [65.0, 831.0, 617.0, 18.0], shoonya_3sZG8Y4OTTV4OB, 5766982]
[paragraph, [65.0, 849.0, 617.0, 18.0], shoonya_3sZG8Y4OTTV4OB, 5766982]
[paragraph, [65.0, 867.0, 617.0, 18.0], shoonya_3sZG8Y4OTTV4OB, 5766982]
[paragraph, [65.0, 885.0, 617.0, 18.0], shoonya_3sZG8Y4OTTV4OB, 5766982]
[paragraph, [65.0, 903.0, 617.0, 18.0], shoonya_3sZG8Y4OTTV4OB, 5766982]
[paragraph, [65.0, 921.0, 617.0, 18.0], shoonya_3sZG8Y4OTTV4OB, 5766982]
[paragraph, [65.0, 939.0, 617.0, 18.0], shoonya_3sZG8Y4OTTV4OB, 5766982]
[paragraph, [65.0, 957.0, 617.0, 18.0], shoonya_3sZG8Y4OTTV4OB, 5766982]
[paragraph, [67.0, 998.0, 614.0, 18.0], mZ6a6xP_DQ, 5766982]
[paragraph, [67.0, 1016.0, 614.0, 18.0], mZ6a6xP_DQ, 5766982]
[paragraph, [67.0, 1034.0, 614.0, 18.0], mZ6a6xP_DQ, 5766982]
[paragraph, [67.0, 1052.0, 614.0, 18.0], mZ6a6xP_DQ, 5766982]
[paragraph, [67.0, 1070.0, 614.0, 18.0], mZ6a6xP_DQ, 5766982]
[paragraph, [67.0, 1088.0, 614.0, 18.0], mZ6a6xP_DQ, 5766982]
[paragraph, [67.0, 1106.0, 614.0, 18.0], mZ6a6xP_DQ, 5766982]
[paragraph, [67.0, 1124.0, 614.0, 18.0], mZ6a6xP_DQ, 5766982]
[paragraph, [67.0, 1142.0, 614.0, 18.0], mZ6a6xP_DQ, 5766982]
[paragraph, [67.0, 1160.0, 614.0, 18.0], mZ6a6xP_DQ, 5766982]
