[1875, 1200]
[folio, [425.0, 305.0, 376.0, 36.0], shoonya_2sRYR7OIKRAHGI, 5710625]
[section-title, [195.0, 416.0, 829.0, 49.5], kSoVS5gsif, 5710625]
[paragraph, [198.0, 528.0, 820.0, 36.0], shoonya_0sO0HL867DGT82, 5710625]
[paragraph, [198.0, 564.0, 820.0, 36.0], shoonya_0sO0HL867DGT82, 5710625]
[paragraph, [198.0, 600.0, 820.0, 36.0], shoonya_0sO0HL867DGT82, 5710625]
[paragraph, [198.0, 636.0, 820.0, 36.0], shoonya_0sO0HL867DGT82, 5710625]
[paragraph, [198.0, 672.0, 820.0, 36.0], shoonya_0sO0HL867DGT82, 5710625]
[paragraph, [198.0, 708.0, 820.0, 36.0], shoonya_0sO0HL867DGT82, 5710625]
[paragraph, [198.0, 744.0, 820.0, 36.0], shoonya_0sO0HL867DGT82, 5710625]
[paragraph, [198.0, 780.0, 820.0, 36.0], shoonya_0sO0HL867DGT82, 5710625]
[paragraph, [198.0, 816.0, 820.0, 36.0], shoonya_0sO0HL867DGT82, 5710625]
[paragraph, [198.0, 852.0, 820.0, 36.0], shoonya_0sO0HL867DGT82, 5710625]
[paragraph, [198.0, 888.0, 820.0, 36.0], shoonya_0sO0HL867DGT82, 5710625]
[paragraph, [198.0, 924.0, 820.0, 36.0], shoonya_0sO0HL867DGT82, 5710625]
[paragraph, [198.0, 960.0, 820.0, 36.0], shoonya_0sO0HL867DGT82, 5710625]
[paragraph, [198.0, 996.0, 820.0, 36.0], shoonya_0sO0HL867DGT82, 5710625]
[paragraph, [198.0, 1032.0, 820.0, 36.0], shoonya_0sO0HL867DGT82, 5710625]
[paragraph, [198.0, 1068.0, 820.0, 36.0], shoonya_0sO0HL867DGT82, 5710625]
[paragraph, [198.0, 1104.0, 820.0, 36.0], shoonya_0sO0HL867DGT82, 5710625]
[paragraph, [198.0, 1140.0, 820.0, 36.0], shoonya_0sO0HL867DGT82, 5710625]
[paragraph, [198.0, 1176.0, 820.0, 36.0], shoonya_0sO0HL867DGT82, 5710625]
[paragraph, [198.0, 1212.0, 820.0, 36.0], shoonya_0sO0HL867DGT82, 5710625]
[paragraph, [198.0, 1248.0, 820.0, 36.0], shoonya_0sO0HL867DGT82, 5710625]
[paragraph, [198.0, 1284.0, 820.0, 36.0], shoonya_0sO0HL867DGT82, 5710625]
[paragraph, [198.0, 1320.0, 820.0, 36.0], shoonya_0sO0HL867DGT82, 5710625]
[paragraph, [198.0, 1356.0, 820.0, 36.0], shoonya_0sO0HL867DGT82, 5710625]
[section-title, [193.0, 1395.0, 824.0, 49.5], 4XDLTMj54-, 5710625]
[paragraph, [190.0, 1482.0, 828.0, 36.0], shoonya_1s8G233YPNQF9Z, 5710625]
[paragraph, [190.0, 1518.0, 828.0, 36.0], shoonya_1s8G233YPNQF9Z, 5710625]
