[2200, 1700]
[paragraph, [370.0, 224.0, 1136.0, 36.0], shoonya_3sHI5Y3XV4EJWR, 5733666]
[paragraph, [370.0, 260.0, 1136.0, 36.0], shoonya_3sHI5Y3XV4EJWR, 5733666]
[paragraph, [370.0, 296.0, 1136.0, 36.0], shoonya_3sHI5Y3XV4EJWR, 5733666]
[paragraph, [370.0, 332.0, 1136.0, 36.0], shoonya_3sHI5Y3XV4EJWR, 5733666]
[paragraph, [370.0, 368.0, 1136.0, 36.0], shoonya_3sHI5Y3XV4EJWR, 5733666]
[paragraph, [370.0, 404.0, 1136.0, 36.0], shoonya_3sHI5Y3XV4EJWR, 5733666]
[paragraph, [370.0, 440.0, 1136.0, 36.0], shoonya_3sHI5Y3XV4EJWR, 5733666]
[paragraph, [370.0, 476.0, 1136.0, 36.0], shoonya_3sHI5Y3XV4EJWR, 5733666]
[paragraph, [370.0, 512.0, 1136.0, 36.0], shoonya_3sHI5Y3XV4EJWR, 5733666]
[paragraph, [370.0, 548.0, 1136.0, 36.0], shoonya_3sHI5Y3XV4EJWR, 5733666]
[paragraph, [370.0, 584.0, 1136.0, 36.0], shoonya_3sHI5Y3XV4EJWR, 5733666]
[paragraph, [370.0, 620.0, 1136.0, 36.0], shoonya_3sHI5Y3XV4EJWR, 5733666]
[paragraph, [373.0, 692.0, 1132.0, 36.0], shoonya_0sQ2RJR77MIRY5, 5733666]
[paragraph, [373.0, 728.0, 1132.0, 36.0], shoonya_0sQ2RJR77MIRY5, 5733666]
[paragraph, [373.0, 764.0, 1132.0, 36.0], shoonya_0sQ2RJR77MIRY5, 5733666]
[paragraph, [373.0, 800.0, 1132.0, 36.0], shoonya_0sQ2RJR77MIRY5, 5733666]
[paragraph, [373.0, 836.0, 1132.0, 36.0], shoonya_0sQ2RJR77MIRY5, 5733666]
[paragraph, [373.0, 872.0, 1132.0, 36.0], shoonya_0sQ2RJR77MIRY5, 5733666]
[paragraph, [373.0, 908.0, 1132.0, 36.0], shoonya_0sQ2RJR77MIRY5, 5733666]
[paragraph, [373.0, 944.0, 1132.0, 36.0], shoonya_0sQ2RJR77MIRY5, 5733666]
[paragraph, [373.0, 980.0, 1132.0, 36.0], shoonya_0sQ2RJR77MIRY5, 5733666]
[paragraph, [373.0, 1016.0, 1132.0, 36.0], shoonya_0sQ2RJR77MIRY5, 5733666]
[paragraph, [373.0, 1052.0, 1132.0, 36.0], shoonya_0sQ2RJR77MIRY5, 5733666]
[paragraph, [373.0, 1088.0, 1132.0, 36.0], shoonya_0sQ2RJR77MIRY5, 5733666]
[paragraph, [374.0, 1137.0, 1134.0, 36.0], shoonya_1sMWP1DLG0TUEO, 5733666]
[paragraph, [374.0, 1173.0, 1134.0, 36.0], shoonya_1sMWP1DLG0TUEO, 5733666]
[paragraph, [374.0, 1209.0, 1134.0, 36.0], shoonya_1sMWP1DLG0TUEO, 5733666]
[paragraph, [374.0, 1245.0, 1134.0, 36.0], shoonya_1sMWP1DLG0TUEO, 5733666]
[paragraph, [374.0, 1281.0, 1134.0, 36.0], shoonya_1sMWP1DLG0TUEO, 5733666]
[paragraph, [374.0, 1317.0, 1134.0, 36.0], shoonya_1sMWP1DLG0TUEO, 5733666]
[paragraph, [374.0, 1353.0, 1134.0, 36.0], shoonya_1sMWP1DLG0TUEO, 5733666]
[paragraph, [374.0, 1389.0, 1134.0, 36.0], shoonya_1sMWP1DLG0TUEO, 5733666]
[paragraph, [374.0, 1425.0, 1134.0, 36.0], shoonya_1sMWP1DLG0TUEO, 5733666]
[paragraph, [374.0, 1461.0, 1134.0, 36.0], shoonya_1sMWP1DLG0TUEO, 5733666]
[paragraph, [374.0, 1497.0, 1134.0, 36.0], shoonya_1sMWP1DLG0TUEO, 5733666]
[paragraph, [374.0, 1533.0, 1134.0, 36.0], shoonya_1sMWP1DLG0TUEO, 5733666]
[paragraph, [374.0, 1569.0, 1134.0, 36.0], shoonya_1sMWP1DLG0TUEO, 5733666]
[paragraph, [369.0, 1661.0, 1137.0, 36.0], shoonya_2sUTD1UY0V1T8X, 5733666]
[paragraph, [369.0, 1697.0, 1137.0, 36.0], shoonya_2sUTD1UY0V1T8X, 5733666]
[paragraph, [369.0, 1733.0, 1137.0, 36.0], shoonya_2sUTD1UY0V1T8X, 5733666]
[paragraph, [369.0, 1769.0, 1137.0, 36.0], shoonya_2sUTD1UY0V1T8X, 5733666]
[paragraph, [369.0, 1805.0, 1137.0, 36.0], shoonya_2sUTD1UY0V1T8X, 5733666]
[paragraph, [369.0, 1841.0, 1137.0, 36.0], shoonya_2sUTD1UY0V1T8X, 5733666]
[paragraph, [369.0, 1877.0, 1137.0, 36.0], shoonya_2sUTD1UY0V1T8X, 5733666]
[paragraph, [369.0, 1913.0, 1137.0, 36.0], shoonya_2sUTD1UY0V1T8X, 5733666]
[paragraph, [369.0, 1949.0, 1137.0, 36.0], shoonya_2sUTD1UY0V1T8X, 5733666]
