[2339, 1653]
[paragraph, [247.0, 246.0, 1154.0, 36.0], shoonya_4sA95A3MLJ8Q9T, 5685784]
[paragraph, [247.0, 282.0, 1154.0, 36.0], shoonya_4sA95A3MLJ8Q9T, 5685784]
[paragraph, [247.0, 318.0, 1154.0, 36.0], shoonya_4sA95A3MLJ8Q9T, 5685784]
[paragraph, [251.0, 375.0, 1153.0, 36.0], shoonya_0sG0S3S37L4155, 5685784]
[paragraph, [251.0, 411.0, 1153.0, 36.0], shoonya_0sG0S3S37L4155, 5685784]
[paragraph, [251.0, 447.0, 1153.0, 36.0], shoonya_0sG0S3S37L4155, 5685784]
[paragraph, [251.0, 483.0, 1153.0, 36.0], shoonya_0sG0S3S37L4155, 5685784]
[paragraph, [251.0, 519.0, 1153.0, 36.0], shoonya_0sG0S3S37L4155, 5685784]
[paragraph, [251.0, 555.0, 1153.0, 36.0], shoonya_0sG0S3S37L4155, 5685784]
[paragraph, [251.0, 591.0, 1153.0, 36.0], shoonya_0sG0S3S37L4155, 5685784]
[paragraph, [251.0, 627.0, 1153.0, 36.0], shoonya_0sG0S3S37L4155, 5685784]
[paragraph, [251.0, 663.0, 1153.0, 36.0], shoonya_0sG0S3S37L4155, 5685784]
[paragraph, [251.0, 699.0, 1153.0, 36.0], shoonya_0sG0S3S37L4155, 5685784]
[paragraph, [251.0, 735.0, 1153.0, 36.0], shoonya_0sG0S3S37L4155, 5685784]
[paragraph, [251.0, 771.0, 1153.0, 36.0], shoonya_0sG0S3S37L4155, 5685784]
[paragraph, [251.0, 807.0, 1153.0, 36.0], shoonya_0sG0S3S37L4155, 5685784]
[paragraph, [251.0, 843.0, 1153.0, 36.0], shoonya_0sG0S3S37L4155, 5685784]
[paragraph, [251.0, 879.0, 1153.0, 36.0], shoonya_0sG0S3S37L4155, 5685784]
[paragraph, [251.0, 915.0, 1153.0, 36.0], shoonya_0sG0S3S37L4155, 5685784]
[paragraph, [253.0, 976.0, 1150.0, 36.0], shoonya_2sP2TSK50T2VQ1, 5685784]
[paragraph, [253.0, 1012.0, 1150.0, 36.0], shoonya_2sP2TSK50T2VQ1, 5685784]
[paragraph, [253.0, 1048.0, 1150.0, 36.0], shoonya_2sP2TSK50T2VQ1, 5685784]
[paragraph, [253.0, 1084.0, 1150.0, 36.0], shoonya_2sP2TSK50T2VQ1, 5685784]
[paragraph, [253.0, 1120.0, 1150.0, 36.0], shoonya_2sP2TSK50T2VQ1, 5685784]
[paragraph, [250.0, 1180.0, 1153.0, 36.0], shoonya_1s56JNQ0LQRNZO, 5685784]
[paragraph, [250.0, 1216.0, 1153.0, 36.0], shoonya_1s56JNQ0LQRNZO, 5685784]
[paragraph, [250.0, 1252.0, 1153.0, 36.0], shoonya_1s56JNQ0LQRNZO, 5685784]
[paragraph, [250.0, 1288.0, 1153.0, 36.0], shoonya_1s56JNQ0LQRNZO, 5685784]
[paragraph, [250.0, 1324.0, 1153.0, 36.0], shoonya_1s56JNQ0LQRNZO, 5685784]
[paragraph, [250.0, 1360.0, 1153.0, 36.0], shoonya_1s56JNQ0LQRNZO, 5685784]
[paragraph, [250.0, 1396.0, 1153.0, 36.0], shoonya_1s56JNQ0LQRNZO, 5685784]
[paragraph, [250.0, 1432.0, 1153.0, 36.0], shoonya_1s56JNQ0LQRNZO, 5685784]
[paragraph, [250.0, 1468.0, 1153.0, 36.0], shoonya_1s56JNQ0LQRNZO, 5685784]
[paragraph, [250.0, 1504.0, 1153.0, 36.0], shoonya_1s56JNQ0LQRNZO, 5685784]
[paragraph, [250.0, 1540.0, 1153.0, 36.0], shoonya_1s56JNQ0LQRNZO, 5685784]
[paragraph, [250.0, 1576.0, 1153.0, 36.0], shoonya_1s56JNQ0LQRNZO, 5685784]
[paragraph, [245.0, 1777.0, 1160.0, 36.0], shoonya_3sO3MW56ADCS7X, 5685784]
[paragraph, [245.0, 1813.0, 1160.0, 36.0], shoonya_3sO3MW56ADCS7X, 5685784]
[paragraph, [245.0, 1849.0, 1160.0, 36.0], shoonya_3sO3MW56ADCS7X, 5685784]
[paragraph, [245.0, 1885.0, 1160.0, 36.0], shoonya_3sO3MW56ADCS7X, 5685784]
[paragraph, [245.0, 1921.0, 1160.0, 36.0], shoonya_3sO3MW56ADCS7X, 5685784]
[paragraph, [245.0, 1957.0, 1160.0, 36.0], shoonya_3sO3MW56ADCS7X, 5685784]
[paragraph, [245.0, 1993.0, 1160.0, 36.0], shoonya_3sO3MW56ADCS7X, 5685784]
[paragraph, [245.0, 2029.0, 1160.0, 36.0], shoonya_3sO3MW56ADCS7X, 5685784]
[paragraph, [245.0, 2065.0, 1160.0, 36.0], shoonya_3sO3MW56ADCS7X, 5685784]
