[515, 727]
[paragraph, [419.0, 54.0, 259.0, 18.0], pp-EIcdmkY, 6533280]
[paragraph, [419.0, 72.0, 259.0, 18.0], pp-EIcdmkY, 6533280]
[paragraph, [419.0, 90.0, 259.0, 18.0], pp-EIcdmkY, 6533280]
[paragraph, [123.0, 69.0, 264.0, 18.0], gfii_94y76, 6533280]
[paragraph, [123.0, 87.0, 264.0, 18.0], gfii_94y76, 6533280]
[paragraph, [123.0, 105.0, 264.0, 18.0], gfii_94y76, 6533280]
[paragraph, [123.0, 123.0, 264.0, 18.0], gfii_94y76, 6533280]
[paragraph, [123.0, 141.0, 264.0, 18.0], gfii_94y76, 6533280]
[paragraph, [123.0, 159.0, 264.0, 18.0], gfii_94y76, 6533280]
[paragraph, [123.0, 177.0, 264.0, 18.0], gfii_94y76, 6533280]
[paragraph, [416.0, 128.0, 269.0, 18.0], shoonya_0s5DV75UT3XHUU, 6533280]
[paragraph, [416.0, 146.0, 269.0, 18.0], shoonya_0s5DV75UT3XHUU, 6533280]
[paragraph, [416.0, 164.0, 269.0, 18.0], shoonya_0s5DV75UT3XHUU, 6533280]
[paragraph, [416.0, 182.0, 269.0, 18.0], shoonya_0s5DV75UT3XHUU, 6533280]
[paragraph, [416.0, 200.0, 269.0, 18.0], shoonya_0s5DV75UT3XHUU, 6533280]
[paragraph, [416.0, 218.0, 269.0, 18.0], shoonya_0s5DV75UT3XHUU, 6533280]
[paragraph, [416.0, 236.0, 269.0, 18.0], shoonya_0s5DV75UT3XHUU, 6533280]
[paragraph, [416.0, 254.0, 269.0, 18.0], shoonya_0s5DV75UT3XHUU, 6533280]
[paragraph, [416.0, 272.0, 269.0, 18.0], shoonya_0s5DV75UT3XHUU, 6533280]
[paragraph, [416.0, 290.0, 269.0, 18.0], shoonya_0s5DV75UT3XHUU, 6533280]
[paragraph, [416.0, 308.0, 269.0, 18.0], shoonya_0s5DV75UT3XHUU, 6533280]
[paragraph, [416.0, 326.0, 269.0, 18.0], shoonya_0s5DV75UT3XHUU, 6533280]
[paragraph, [122.0, 213.0, 268.0, 18.0], lLfOXhi328, 6533280]
[paragraph, [122.0, 231.0, 268.0, 18.0], lLfOXhi328, 6533280]
[paragraph, [122.0, 249.0, 268.0, 18.0], lLfOXhi328, 6533280]
[paragraph, [122.0, 267.0, 268.0, 18.0], lLfOXhi328, 6533280]
[paragraph, [122.0, 285.0, 268.0, 18.0], lLfOXhi328, 6533280]
[paragraph, [122.0, 303.0, 268.0, 18.0], lLfOXhi328, 6533280]
[paragraph, [122.0, 321.0, 268.0, 18.0], lLfOXhi328, 6533280]
[paragraph, [122.0, 339.0, 268.0, 18.0], lLfOXhi328, 6533280]
[paragraph, [122.0, 357.0, 268.0, 18.0], lLfOXhi328, 6533280]
[paragraph, [122.0, 375.0, 268.0, 18.0], lLfOXhi328, 6533280]
[paragraph, [421.0, 388.0, 268.0, 18.0], 1F6-p_j6tC, 6533280]
[paragraph, [421.0, 406.0, 268.0, 18.0], 1F6-p_j6tC, 6533280]
[paragraph, [421.0, 424.0, 268.0, 18.0], 1F6-p_j6tC, 6533280]
[paragraph, [421.0, 442.0, 268.0, 18.0], 1F6-p_j6tC, 6533280]
[paragraph, [421.0, 460.0, 268.0, 18.0], 1F6-p_j6tC, 6533280]
[paragraph, [122.0, 398.0, 264.0, 18.0], vu5eXWkM2i, 6533280]
[paragraph, [122.0, 416.0, 264.0, 18.0], vu5eXWkM2i, 6533280]
[paragraph, [122.0, 434.0, 264.0, 18.0], vu5eXWkM2i, 6533280]
[paragraph, [122.0, 452.0, 264.0, 18.0], vu5eXWkM2i, 6533280]
