[2339, 1653]
[paragraph, [289.0, 194.0, 1010.0, 36.0], jxtv_qCTHy, 5686856]
[reference, [692.0, 278.0, 655.0, 36.0], oCUTuNoaR3, 5686856]
[paragraph, [219.0, 366.0, 1209.0, 36.0], shoonya_2sRXJWS8A68O7F, 5686856]
[paragraph, [219.0, 402.0, 1209.0, 36.0], shoonya_2sRXJWS8A68O7F, 5686856]
[paragraph, [219.0, 438.0, 1209.0, 36.0], shoonya_2sRXJWS8A68O7F, 5686856]
[paragraph, [219.0, 474.0, 1209.0, 36.0], shoonya_2sRXJWS8A68O7F, 5686856]
[paragraph, [219.0, 510.0, 1209.0, 36.0], shoonya_2sRXJWS8A68O7F, 5686856]
[paragraph, [219.0, 546.0, 1209.0, 36.0], shoonya_2sRXJWS8A68O7F, 5686856]
[paragraph, [219.0, 582.0, 1209.0, 36.0], shoonya_2sRXJWS8A68O7F, 5686856]
[paragraph, [219.0, 618.0, 1209.0, 36.0], shoonya_2sRXJWS8A68O7F, 5686856]
[paragraph, [219.0, 654.0, 1209.0, 36.0], shoonya_2sRXJWS8A68O7F, 5686856]
[paragraph, [219.0, 690.0, 1209.0, 36.0], shoonya_2sRXJWS8A68O7F, 5686856]
[paragraph, [219.0, 726.0, 1209.0, 36.0], shoonya_2sRXJWS8A68O7F, 5686856]
[paragraph, [301.0, 828.0, 1051.0, 36.0], 6OyhQ9ZBFb, 5686856]
[paragraph, [301.0, 864.0, 1051.0, 36.0], 6OyhQ9ZBFb, 5686856]
[paragraph, [301.0, 900.0, 1051.0, 36.0], 6OyhQ9ZBFb, 5686856]
[reference, [766.0, 976.0, 575.0, 36.0], shoonya_3s0T177OHVKM8U, 5686856]
[paragraph, [220.0, 1044.0, 1211.0, 36.0], shoonya_0sH5OL56A37TUD, 5686856]
[paragraph, [220.0, 1080.0, 1211.0, 36.0], shoonya_0sH5OL56A37TUD, 5686856]
[paragraph, [220.0, 1116.0, 1211.0, 36.0], shoonya_0sH5OL56A37TUD, 5686856]
[paragraph, [220.0, 1152.0, 1211.0, 36.0], shoonya_0sH5OL56A37TUD, 5686856]
[paragraph, [220.0, 1188.0, 1211.0, 36.0], shoonya_0sH5OL56A37TUD, 5686856]
[paragraph, [220.0, 1224.0, 1211.0, 36.0], shoonya_0sH5OL56A37TUD, 5686856]
[paragraph, [220.0, 1260.0, 1211.0, 36.0], shoonya_0sH5OL56A37TUD, 5686856]
[paragraph, [220.0, 1296.0, 1211.0, 36.0], shoonya_0sH5OL56A37TUD, 5686856]
[paragraph, [220.0, 1332.0, 1211.0, 36.0], shoonya_0sH5OL56A37TUD, 5686856]
[paragraph, [220.0, 1368.0, 1211.0, 36.0], shoonya_0sH5OL56A37TUD, 5686856]
[paragraph, [220.0, 1404.0, 1211.0, 36.0], shoonya_0sH5OL56A37TUD, 5686856]
[paragraph, [220.0, 1440.0, 1211.0, 36.0], shoonya_0sH5OL56A37TUD, 5686856]
[paragraph, [220.0, 1476.0, 1211.0, 36.0], shoonya_0sH5OL56A37TUD, 5686856]
[paragraph, [220.0, 1512.0, 1211.0, 36.0], shoonya_0sH5OL56A37TUD, 5686856]
[paragraph, [220.0, 1548.0, 1211.0, 36.0], shoonya_0sH5OL56A37TUD, 5686856]
[paragraph, [220.0, 1584.0, 1211.0, 36.0], shoonya_0sH5OL56A37TUD, 5686856]
[paragraph, [220.0, 1620.0, 1211.0, 36.0], shoonya_0sH5OL56A37TUD, 5686856]
[paragraph, [322.0, 1696.0, 1039.0, 36.0], 6z76TbB2Ey, 5686856]
[paragraph, [322.0, 1732.0, 1039.0, 36.0], 6z76TbB2Ey, 5686856]
[paragraph, [322.0, 1768.0, 1039.0, 36.0], 6z76TbB2Ey, 5686856]
[reference, [762.0, 1845.0, 586.0, 36.0], frOMcollch, 5686856]
[paragraph, [225.0, 1925.0, 1210.0, 36.0], PejTRy0w2u, 5686856]
[paragraph, [225.0, 1961.0, 1210.0, 36.0], PejTRy0w2u, 5686856]
[paragraph, [225.0, 1997.0, 1210.0, 36.0], PejTRy0w2u, 5686856]
[paragraph, [225.0, 2033.0, 1210.0, 36.0], PejTRy0w2u, 5686856]
[paragraph, [225.0, 2069.0, 1210.0, 36.0], PejTRy0w2u, 5686856]
