[2339, 1654]
[folio, [1324.0, 70.0, 246.0, 36.0], dT-vTxK4_z, 5751233]
[paragraph, [135.0, 139.0, 1440.0, 36.0], shoonya_2sFQEQ6HWBAW5A, 5751233]
[paragraph, [135.0, 175.0, 1440.0, 36.0], shoonya_2sFQEQ6HWBAW5A, 5751233]
[paragraph, [135.0, 211.0, 1440.0, 36.0], shoonya_2sFQEQ6HWBAW5A, 5751233]
[paragraph, [135.0, 247.0, 1440.0, 36.0], shoonya_2sFQEQ6HWBAW5A, 5751233]
[paragraph, [135.0, 283.0, 1440.0, 36.0], shoonya_2sFQEQ6HWBAW5A, 5751233]
[paragraph, [135.0, 319.0, 1440.0, 36.0], shoonya_2sFQEQ6HWBAW5A, 5751233]
[paragraph, [135.0, 355.0, 1440.0, 36.0], shoonya_2sFQEQ6HWBAW5A, 5751233]
[paragraph, [135.0, 391.0, 1440.0, 36.0], shoonya_2sFQEQ6HWBAW5A, 5751233]
[paragraph, [135.0, 427.0, 1440.0, 36.0], shoonya_2sFQEQ6HWBAW5A, 5751233]
[paragraph, [135.0, 463.0, 1440.0, 36.0], shoonya_2sFQEQ6HWBAW5A, 5751233]
[paragraph, [135.0, 499.0, 1440.0, 36.0], shoonya_2sFQEQ6HWBAW5A, 5751233]
[paragraph, [135.0, 535.0, 1440.0, 36.0], shoonya_2sFQEQ6HWBAW5A, 5751233]
[paragraph, [135.0, 571.0, 1440.0, 36.0], shoonya_2sFQEQ6HWBAW5A, 5751233]
[paragraph, [135.0, 607.0, 1440.0, 36.0], shoonya_2sFQEQ6HWBAW5A, 5751233]
[paragraph, [283.0, 655.0, 1166.0, 36.0], shoonya_4sCUVF28MTHT38, 5751233]
[paragraph, [283.0, 691.0, 1166.0, 36.0], shoonya_4sCUVF28MTHT38, 5751233]
[paragraph, [283.0, 727.0, 1166.0, 36.0], shoonya_4sCUVF28MTHT38, 5751233]
[paragraph, [283.0, 763.0, 1166.0, 36.0], shoonya_4sCUVF28MTHT38, 5751233]
[paragraph, [283.0, 799.0, 1166.0, 36.0], shoonya_4sCUVF28MTHT38, 5751233]
[paragraph, [283.0, 835.0, 1166.0, 36.0], shoonya_4sCUVF28MTHT38, 5751233]
[paragraph, [283.0, 871.0, 1166.0, 36.0], shoonya_4sCUVF28MTHT38, 5751233]
[paragraph, [283.0, 907.0, 1166.0, 36.0], shoonya_4sCUVF28MTHT38, 5751233]
[paragraph, [283.0, 943.0, 1166.0, 36.0], shoonya_4sCUVF28MTHT38, 5751233]
[paragraph, [283.0, 979.0, 1166.0, 36.0], shoonya_4sCUVF28MTHT38, 5751233]
[reference, [987.0, 1039.0, 427.0, 36.0], shoonya_1sI205HML4LUNF, 5751233]
[paragraph, [133.0, 1101.0, 1448.0, 36.0], shoonya_0sIX42AKFCKPLU, 5751233]
[paragraph, [133.0, 1137.0, 1448.0, 36.0], shoonya_0sIX42AKFCKPLU, 5751233]
[paragraph, [133.0, 1173.0, 1448.0, 36.0], shoonya_0sIX42AKFCKPLU, 5751233]
[paragraph, [133.0, 1209.0, 1448.0, 36.0], shoonya_0sIX42AKFCKPLU, 5751233]
[paragraph, [133.0, 1245.0, 1448.0, 36.0], shoonya_0sIX42AKFCKPLU, 5751233]
[paragraph, [133.0, 1281.0, 1448.0, 36.0], shoonya_0sIX42AKFCKPLU, 5751233]
[paragraph, [133.0, 1317.0, 1448.0, 36.0], shoonya_0sIX42AKFCKPLU, 5751233]
[paragraph, [133.0, 1353.0, 1448.0, 36.0], shoonya_0sIX42AKFCKPLU, 5751233]
[paragraph, [133.0, 1389.0, 1448.0, 36.0], shoonya_0sIX42AKFCKPLU, 5751233]
[paragraph, [133.0, 1425.0, 1448.0, 36.0], shoonya_0sIX42AKFCKPLU, 5751233]
[paragraph, [133.0, 1461.0, 1448.0, 36.0], shoonya_0sIX42AKFCKPLU, 5751233]
[paragraph, [133.0, 1497.0, 1448.0, 36.0], shoonya_0sIX42AKFCKPLU, 5751233]
[paragraph, [133.0, 1533.0, 1448.0, 36.0], shoonya_0sIX42AKFCKPLU, 5751233]
[paragraph, [133.0, 1569.0, 1448.0, 36.0], shoonya_0sIX42AKFCKPLU, 5751233]
[paragraph, [133.0, 1605.0, 1448.0, 36.0], shoonya_0sIX42AKFCKPLU, 5751233]
