[1425, 1088]
[paragraph, [173.0, 143.0, 725.0, 18.0], shoonya_1sFPAUYDVNKPED, 5759407]
[paragraph, [173.0, 161.0, 725.0, 18.0], shoonya_1sFPAUYDVNKPED, 5759407]
[paragraph, [173.0, 179.0, 725.0, 18.0], shoonya_1sFPAUYDVNKPED, 5759407]
[paragraph, [173.0, 197.0, 725.0, 18.0], shoonya_1sFPAUYDVNKPED, 5759407]
[paragraph, [173.0, 215.0, 725.0, 18.0], shoonya_1sFPAUYDVNKPED, 5759407]
[sidebar, [618.0, 235.0, 158.0, 18.0], shoonya_3s3IFDS89DE82I, 5759407]
[paragraph, [102.0, 296.0, 842.0, 18.0], shoonya_0sHW1KDCWEUPN1, 5759407]
[paragraph, [102.0, 314.0, 842.0, 18.0], shoonya_0sHW1KDCWEUPN1, 5759407]
[paragraph, [102.0, 332.0, 842.0, 18.0], shoonya_0sHW1KDCWEUPN1, 5759407]
[paragraph, [102.0, 350.0, 842.0, 18.0], shoonya_0sHW1KDCWEUPN1, 5759407]
[paragraph, [102.0, 368.0, 842.0, 18.0], shoonya_0sHW1KDCWEUPN1, 5759407]
[paragraph, [102.0, 386.0, 842.0, 18.0], shoonya_0sHW1KDCWEUPN1, 5759407]
[paragraph, [102.0, 404.0, 842.0, 18.0], shoonya_0sHW1KDCWEUPN1, 5759407]
[paragraph, [102.0, 422.0, 842.0, 18.0], shoonya_0sHW1KDCWEUPN1, 5759407]
[paragraph, [102.0, 440.0, 842.0, 18.0], shoonya_0sHW1KDCWEUPN1, 5759407]
[paragraph, [102.0, 458.0, 842.0, 18.0], shoonya_0sHW1KDCWEUPN1, 5759407]
[paragraph, [102.0, 476.0, 842.0, 18.0], shoonya_0sHW1KDCWEUPN1, 5759407]
[paragraph, [102.0, 494.0, 842.0, 18.0], shoonya_0sHW1KDCWEUPN1, 5759407]
[paragraph, [102.0, 512.0, 842.0, 18.0], shoonya_0sHW1KDCWEUPN1, 5759407]
[paragraph, [189.0, 598.0, 684.0, 18.0], shoonya_5s0O9SR9BD0YW4, 5759407]
[paragraph, [189.0, 616.0, 684.0, 18.0], shoonya_5s0O9SR9BD0YW4, 5759407]
[paragraph, [189.0, 634.0, 684.0, 18.0], shoonya_5s0O9SR9BD0YW4, 5759407]
[paragraph, [189.0, 652.0, 684.0, 18.0], shoonya_5s0O9SR9BD0YW4, 5759407]
[paragraph, [189.0, 670.0, 684.0, 18.0], shoonya_5s0O9SR9BD0YW4, 5759407]
[paragraph, [189.0, 688.0, 684.0, 18.0], shoonya_5s0O9SR9BD0YW4, 5759407]
[paragraph, [189.0, 706.0, 684.0, 18.0], shoonya_5s0O9SR9BD0YW4, 5759407]
[paragraph, [189.0, 724.0, 684.0, 18.0], shoonya_5s0O9SR9BD0YW4, 5759407]
[sidebar, [642.0, 748.0, 168.0, 18.0], shoonya_4sEFCT4N2WUHE6, 5759407]
[paragraph, [104.0, 841.0, 841.0, 18.0], shoonya_7sOR83TCAMO4NO, 5759407]
[paragraph, [104.0, 859.0, 841.0, 18.0], shoonya_7sOR83TCAMO4NO, 5759407]
[paragraph, [104.0, 877.0, 841.0, 18.0], shoonya_7sOR83TCAMO4NO, 5759407]
[paragraph, [104.0, 895.0, 841.0, 18.0], shoonya_7sOR83TCAMO4NO, 5759407]
[paragraph, [104.0, 913.0, 841.0, 18.0], shoonya_7sOR83TCAMO4NO, 5759407]
[paragraph, [104.0, 931.0, 841.0, 18.0], shoonya_7sOR83TCAMO4NO, 5759407]
[paragraph, [104.0, 949.0, 841.0, 18.0], shoonya_7sOR83TCAMO4NO, 5759407]
[paragraph, [104.0, 993.0, 848.0, 18.0], GxW80uDnTy, 5759407]
[paragraph, [104.0, 1011.0, 848.0, 18.0], GxW80uDnTy, 5759407]
[paragraph, [104.0, 1029.0, 848.0, 18.0], GxW80uDnTy, 5759407]
[paragraph, [104.0, 1047.0, 848.0, 18.0], GxW80uDnTy, 5759407]
[paragraph, [104.0, 1065.0, 848.0, 18.0], GxW80uDnTy, 5759407]
[paragraph, [104.0, 1083.0, 848.0, 18.0], GxW80uDnTy, 5759407]
[paragraph, [104.0, 1101.0, 848.0, 18.0], GxW80uDnTy, 5759407]
[paragraph, [104.0, 1119.0, 848.0, 18.0], GxW80uDnTy, 5759407]
[paragraph, [104.0, 1137.0, 848.0, 18.0], GxW80uDnTy, 5759407]
[paragraph, [104.0, 1155.0, 848.0, 18.0], GxW80uDnTy, 5759407]
[paragraph, [104.0, 1173.0, 848.0, 18.0], GxW80uDnTy, 5759407]
[paragraph, [104.0, 1191.0, 848.0, 18.0], GxW80uDnTy, 5759407]
[paragraph, [104.0, 1209.0, 848.0, 18.0], GxW80uDnTy, 5759407]
[paragraph, [104.0, 1227.0, 848.0, 18.0], GxW80uDnTy, 5759407]
[paragraph, [104.0, 1245.0, 848.0, 18.0], GxW80uDnTy, 5759407]
[paragraph, [104.0, 1263.0, 848.0, 18.0], GxW80uDnTy, 5759407]
[folio, [796.0, 1355.0, 149.0, 18.0], UdDHFaWUBt, 5759407]
