[1288, 832]
[sub-headline, [55.0, 73.0, 691.0, 25.5], lqq_9Ztt9u, 5774286]
[sub-headline, [55.0, 98.5, 691.0, 25.5], lqq_9Ztt9u, 5774286]
[sub-headline, [55.0, 124.0, 691.0, 25.5], lqq_9Ztt9u, 5774286]
[sub-headline, [55.0, 149.5, 691.0, 25.5], lqq_9Ztt9u, 5774286]
[sub-headline, [55.0, 175.0, 691.0, 25.5], lqq_9Ztt9u, 5774286]
[sub-headline, [55.0, 200.5, 691.0, 25.5], lqq_9Ztt9u, 5774286]
[sub-headline, [55.0, 226.0, 691.0, 25.5], lqq_9Ztt9u, 5774286]
[sub-headline, [55.0, 251.5, 691.0, 25.5], lqq_9Ztt9u, 5774286]
[folio, [640.0, 102.0, 103.0, 18.0], -ZlsrcTX8B, 5774286]
[folio, [640.0, 120.0, 103.0, 18.0], -ZlsrcTX8B, 5774286]
[headline, [78.0, 119.0, 159.0, 25.5], shoonya_0sIP51U15JV8NB, 5774286]
[sub-headline, [68.0, 166.0, 620.0, 25.5], hyMVVJBWRd, 5774286]
[sub-headline, [68.0, 191.5, 620.0, 25.5], hyMVVJBWRd, 5774286]
[sub-headline, [68.0, 217.0, 620.0, 25.5], hyMVVJBWRd, 5774286]
[sub-headline, [68.0, 242.5, 620.0, 25.5], hyMVVJBWRd, 5774286]
[paragraph, [104.0, 305.0, 647.0, 18.0], 1kzhFNhPQn, 5774286]
[paragraph, [104.0, 323.0, 647.0, 18.0], 1kzhFNhPQn, 5774286]
[paragraph, [104.0, 341.0, 647.0, 18.0], 1kzhFNhPQn, 5774286]
[paragraph, [104.0, 359.0, 647.0, 18.0], 1kzhFNhPQn, 5774286]
[ordered-list, [75.0, 400.0, 679.0, 18.0], jRJmiGzF-P, 5774286]
[ordered-list, [75.0, 418.0, 679.0, 18.0], jRJmiGzF-P, 5774286]
[ordered-list, [75.0, 436.0, 679.0, 18.0], jRJmiGzF-P, 5774286]
[ordered-list, [75.0, 454.0, 679.0, 18.0], jRJmiGzF-P, 5774286]
[ordered-list, [75.0, 472.0, 679.0, 18.0], jRJmiGzF-P, 5774286]
[ordered-list, [75.0, 490.0, 679.0, 18.0], jRJmiGzF-P, 5774286]
[ordered-list, [75.0, 508.0, 679.0, 18.0], jRJmiGzF-P, 5774286]
[ordered-list, [75.0, 526.0, 679.0, 18.0], jRJmiGzF-P, 5774286]
[ordered-list, [75.0, 544.0, 679.0, 18.0], jRJmiGzF-P, 5774286]
[ordered-list, [75.0, 562.0, 679.0, 18.0], jRJmiGzF-P, 5774286]
[ordered-list, [75.0, 580.0, 679.0, 18.0], jRJmiGzF-P, 5774286]
[ordered-list, [75.0, 598.0, 679.0, 18.0], jRJmiGzF-P, 5774286]
[ordered-list, [75.0, 616.0, 679.0, 18.0], jRJmiGzF-P, 5774286]
[ordered-list, [75.0, 634.0, 679.0, 18.0], jRJmiGzF-P, 5774286]
[ordered-list, [75.0, 652.0, 679.0, 18.0], jRJmiGzF-P, 5774286]
[ordered-list, [75.0, 670.0, 679.0, 18.0], jRJmiGzF-P, 5774286]
[ordered-list, [75.0, 688.0, 679.0, 18.0], jRJmiGzF-P, 5774286]
[ordered-list, [75.0, 706.0, 679.0, 18.0], jRJmiGzF-P, 5774286]
[ordered-list, [75.0, 724.0, 679.0, 18.0], jRJmiGzF-P, 5774286]
[ordered-list, [75.0, 742.0, 679.0, 18.0], jRJmiGzF-P, 5774286]
[ordered-list, [75.0, 760.0, 679.0, 18.0], jRJmiGzF-P, 5774286]
[ordered-list, [75.0, 778.0, 679.0, 18.0], jRJmiGzF-P, 5774286]
[ordered-list, [75.0, 796.0, 679.0, 18.0], jRJmiGzF-P, 5774286]
[ordered-list, [75.0, 814.0, 679.0, 18.0], jRJmiGzF-P, 5774286]
[ordered-list, [75.0, 832.0, 679.0, 18.0], jRJmiGzF-P, 5774286]
[ordered-list, [75.0, 850.0, 679.0, 18.0], jRJmiGzF-P, 5774286]
[ordered-list, [75.0, 868.0, 679.0, 18.0], jRJmiGzF-P, 5774286]
[ordered-list, [75.0, 886.0, 679.0, 18.0], jRJmiGzF-P, 5774286]
[ordered-list, [75.0, 904.0, 679.0, 18.0], jRJmiGzF-P, 5774286]
[ordered-list, [75.0, 922.0, 679.0, 18.0], jRJmiGzF-P, 5774286]
[ordered-list, [75.0, 940.0, 679.0, 18.0], jRJmiGzF-P, 5774286]
[ordered-list, [75.0, 958.0, 679.0, 18.0], jRJmiGzF-P, 5774286]
[ordered-list, [75.0, 976.0, 679.0, 18.0], jRJmiGzF-P, 5774286]
[ordered-list, [75.0, 994.0, 679.0, 18.0], jRJmiGzF-P, 5774286]
[ordered-list, [75.0, 1012.0, 679.0, 18.0], jRJmiGzF-P, 5774286]
[ordered-list, [75.0, 1030.0, 679.0, 18.0], jRJmiGzF-P, 5774286]
[ordered-list, [75.0, 1048.0, 679.0, 18.0], jRJmiGzF-P, 5774286]
[ordered-list, [75.0, 1066.0, 679.0, 18.0], jRJmiGzF-P, 5774286]
[ordered-list, [75.0, 1084.0, 679.0, 18.0], jRJmiGzF-P, 5774286]
[ordered-list, [75.0, 1102.0, 679.0, 18.0], jRJmiGzF-P, 5774286]
[placeholder-text, [117.0, 1121.0, 281.0, 18.0], Iu7ml07Cyh, 5774286]
[placeholder-text, [532.0, 1127.0, 206.0, 18.0], OUAPbTLo-O, 5774286]
[placeholder-text, [118.0, 1153.0, 270.0, 18.0], 2c3OQjKMvS, 5774286]
