[1447, 1063]
[folio, [423.0, 51.0, 211.0, 18.0], q6zONNSNjU, 5762755]
[paragraph, [93.0, 690.0, 433.0, 18.0], shoonya_3sGYG5NVZVSUB7, 5762755]
[paragraph, [93.0, 708.0, 433.0, 18.0], shoonya_3sGYG5NVZVSUB7, 5762755]
[paragraph, [93.0, 726.0, 433.0, 18.0], shoonya_3sGYG5NVZVSUB7, 5762755]
[paragraph, [93.0, 744.0, 433.0, 18.0], shoonya_3sGYG5NVZVSUB7, 5762755]
[paragraph, [93.0, 762.0, 433.0, 18.0], shoonya_3sGYG5NVZVSUB7, 5762755]
[paragraph, [93.0, 780.0, 433.0, 18.0], shoonya_3sGYG5NVZVSUB7, 5762755]
[paragraph, [93.0, 798.0, 433.0, 18.0], shoonya_3sGYG5NVZVSUB7, 5762755]
[paragraph, [93.0, 816.0, 433.0, 18.0], shoonya_3sGYG5NVZVSUB7, 5762755]
[paragraph, [93.0, 834.0, 433.0, 18.0], shoonya_3sGYG5NVZVSUB7, 5762755]
[section-title, [531.0, 690.0, 433.0, 30.0], fOmqckAMdw, 5762755]
[section-title, [531.0, 720.0, 433.0, 30.0], fOmqckAMdw, 5762755]
[paragraph, [531.0, 759.0, 435.0, 18.0], shoonya_2s1JTTWC9CTJ3A, 5762755]
[paragraph, [531.0, 777.0, 435.0, 18.0], shoonya_2s1JTTWC9CTJ3A, 5762755]
[paragraph, [531.0, 795.0, 435.0, 18.0], shoonya_2s1JTTWC9CTJ3A, 5762755]
[paragraph, [531.0, 813.0, 435.0, 18.0], shoonya_2s1JTTWC9CTJ3A, 5762755]
[paragraph, [531.0, 831.0, 435.0, 18.0], shoonya_2s1JTTWC9CTJ3A, 5762755]
[paragraph, [531.0, 849.0, 435.0, 18.0], shoonya_2s1JTTWC9CTJ3A, 5762755]
[paragraph, [531.0, 867.0, 435.0, 18.0], shoonya_2s1JTTWC9CTJ3A, 5762755]
[paragraph, [531.0, 885.0, 435.0, 18.0], shoonya_2s1JTTWC9CTJ3A, 5762755]
[paragraph, [531.0, 903.0, 435.0, 18.0], shoonya_2s1JTTWC9CTJ3A, 5762755]
[paragraph, [531.0, 921.0, 435.0, 18.0], shoonya_2s1JTTWC9CTJ3A, 5762755]
[paragraph, [531.0, 939.0, 435.0, 18.0], shoonya_2s1JTTWC9CTJ3A, 5762755]
[paragraph, [531.0, 957.0, 435.0, 18.0], shoonya_2s1JTTWC9CTJ3A, 5762755]
[paragraph, [531.0, 975.0, 435.0, 18.0], shoonya_2s1JTTWC9CTJ3A, 5762755]
[paragraph, [531.0, 993.0, 435.0, 18.0], shoonya_2s1JTTWC9CTJ3A, 5762755]
[paragraph, [90.0, 872.0, 436.0, 18.0], shoonya_1s176Q9395B0V5, 5762755]
[paragraph, [90.0, 890.0, 436.0, 18.0], shoonya_1s176Q9395B0V5, 5762755]
[paragraph, [90.0, 908.0, 436.0, 18.0], shoonya_1s176Q9395B0V5, 5762755]
[paragraph, [90.0, 926.0, 436.0, 18.0], shoonya_1s176Q9395B0V5, 5762755]
[paragraph, [90.0, 944.0, 436.0, 18.0], shoonya_1s176Q9395B0V5, 5762755]
[paragraph, [90.0, 962.0, 436.0, 18.0], shoonya_1s176Q9395B0V5, 5762755]
[paragraph, [90.0, 980.0, 436.0, 18.0], shoonya_1s176Q9395B0V5, 5762755]
[paragraph, [90.0, 998.0, 436.0, 18.0], shoonya_1s176Q9395B0V5, 5762755]
[paragraph, [90.0, 1016.0, 436.0, 18.0], shoonya_1s176Q9395B0V5, 5762755]
[paragraph, [90.0, 1034.0, 436.0, 18.0], shoonya_1s176Q9395B0V5, 5762755]
[paragraph, [90.0, 1052.0, 436.0, 18.0], shoonya_1s176Q9395B0V5, 5762755]
[paragraph, [90.0, 1070.0, 436.0, 18.0], shoonya_1s176Q9395B0V5, 5762755]
[paragraph, [90.0, 1088.0, 436.0, 18.0], shoonya_1s176Q9395B0V5, 5762755]
[paragraph, [90.0, 1106.0, 436.0, 18.0], shoonya_1s176Q9395B0V5, 5762755]
[paragraph, [90.0, 1124.0, 436.0, 18.0], shoonya_1s176Q9395B0V5, 5762755]
[paragraph, [90.0, 1142.0, 436.0, 18.0], shoonya_1s176Q9395B0V5, 5762755]
[paragraph, [90.0, 1160.0, 436.0, 18.0], shoonya_1s176Q9395B0V5, 5762755]
[paragraph, [90.0, 1178.0, 436.0, 18.0], shoonya_1s176Q9395B0V5, 5762755]
[paragraph, [90.0, 1196.0, 436.0, 18.0], shoonya_1s176Q9395B0V5, 5762755]
[paragraph, [90.0, 1214.0, 436.0, 18.0], shoonya_1s176Q9395B0V5, 5762755]
[paragraph, [90.0, 1232.0, 436.0, 18.0], shoonya_1s176Q9395B0V5, 5762755]
[paragraph, [90.0, 1250.0, 436.0, 18.0], shoonya_1s176Q9395B0V5, 5762755]
[paragraph, [90.0, 1268.0, 436.0, 18.0], shoonya_1s176Q9395B0V5, 5762755]
[paragraph, [90.0, 1286.0, 436.0, 18.0], shoonya_1s176Q9395B0V5, 5762755]
[paragraph, [536.0, 1031.0, 435.0, 18.0], shoonya_6sWS9B12MOI3D4, 5762755]
[paragraph, [536.0, 1049.0, 435.0, 18.0], shoonya_6sWS9B12MOI3D4, 5762755]
[paragraph, [536.0, 1067.0, 435.0, 18.0], shoonya_6sWS9B12MOI3D4, 5762755]
[paragraph, [536.0, 1085.0, 435.0, 18.0], shoonya_6sWS9B12MOI3D4, 5762755]
[paragraph, [536.0, 1103.0, 435.0, 18.0], shoonya_6sWS9B12MOI3D4, 5762755]
[paragraph, [536.0, 1121.0, 435.0, 18.0], shoonya_6sWS9B12MOI3D4, 5762755]
[paragraph, [536.0, 1139.0, 435.0, 18.0], shoonya_6sWS9B12MOI3D4, 5762755]
[paragraph, [536.0, 1157.0, 435.0, 18.0], shoonya_6sWS9B12MOI3D4, 5762755]
[paragraph, [536.0, 1175.0, 435.0, 18.0], shoonya_6sWS9B12MOI3D4, 5762755]
[paragraph, [536.0, 1193.0, 435.0, 18.0], shoonya_6sWS9B12MOI3D4, 5762755]
[paragraph, [536.0, 1211.0, 435.0, 18.0], shoonya_6sWS9B12MOI3D4, 5762755]
[paragraph, [536.0, 1229.0, 435.0, 18.0], shoonya_6sWS9B12MOI3D4, 5762755]
[paragraph, [536.0, 1247.0, 435.0, 18.0], shoonya_6sWS9B12MOI3D4, 5762755]
[paragraph, [537.0, 1272.0, 432.0, 18.0], shoonya_10sYLUZK4KVAHC, 5762755]
[paragraph, [537.0, 1290.0, 432.0, 18.0], shoonya_10sYLUZK4KVAHC, 5762755]
[paragraph, [537.0, 1308.0, 432.0, 18.0], shoonya_10sYLUZK4KVAHC, 5762755]
[section-title, [90.0, 1320.0, 442.0, 30.0], IMcL_EF-Vf, 5762755]
