[2339, 1654]
[folio, [1289.0, 37.0, 218.0, 36.0], shoonya_2sXVP8H7PH3O72, 5750873]
[paragraph, [68.0, 80.0, 1467.0, 36.0], LL-EGkFOq4, 5750873]
[paragraph, [68.0, 116.0, 1467.0, 36.0], LL-EGkFOq4, 5750873]
[paragraph, [68.0, 152.0, 1467.0, 36.0], LL-EGkFOq4, 5750873]
[paragraph, [68.0, 188.0, 1467.0, 36.0], LL-EGkFOq4, 5750873]
[paragraph, [68.0, 224.0, 1467.0, 36.0], LL-EGkFOq4, 5750873]
[paragraph, [68.0, 260.0, 1467.0, 36.0], LL-EGkFOq4, 5750873]
[paragraph, [68.0, 296.0, 1467.0, 36.0], LL-EGkFOq4, 5750873]
[paragraph, [68.0, 332.0, 1467.0, 36.0], LL-EGkFOq4, 5750873]
[paragraph, [68.0, 368.0, 1467.0, 36.0], LL-EGkFOq4, 5750873]
[paragraph, [68.0, 404.0, 1467.0, 36.0], LL-EGkFOq4, 5750873]
[paragraph, [68.0, 440.0, 1467.0, 36.0], LL-EGkFOq4, 5750873]
[paragraph, [68.0, 476.0, 1467.0, 36.0], LL-EGkFOq4, 5750873]
[paragraph, [68.0, 512.0, 1467.0, 36.0], LL-EGkFOq4, 5750873]
[paragraph, [68.0, 548.0, 1467.0, 36.0], LL-EGkFOq4, 5750873]
[paragraph, [68.0, 584.0, 1467.0, 36.0], LL-EGkFOq4, 5750873]
[paragraph, [68.0, 620.0, 1467.0, 36.0], LL-EGkFOq4, 5750873]
[paragraph, [68.0, 656.0, 1467.0, 36.0], LL-EGkFOq4, 5750873]
[paragraph, [68.0, 692.0, 1467.0, 36.0], LL-EGkFOq4, 5750873]
[paragraph, [230.0, 737.0, 1150.0, 36.0], shoonya_3sB76287CTR6A2, 5750873]
[paragraph, [230.0, 773.0, 1150.0, 36.0], shoonya_3sB76287CTR6A2, 5750873]
[paragraph, [230.0, 809.0, 1150.0, 36.0], shoonya_3sB76287CTR6A2, 5750873]
[paragraph, [230.0, 845.0, 1150.0, 36.0], shoonya_3sB76287CTR6A2, 5750873]
[paragraph, [230.0, 881.0, 1150.0, 36.0], shoonya_3sB76287CTR6A2, 5750873]
[paragraph, [230.0, 917.0, 1150.0, 36.0], shoonya_3sB76287CTR6A2, 5750873]
[paragraph, [230.0, 953.0, 1150.0, 36.0], shoonya_3sB76287CTR6A2, 5750873]
[paragraph, [230.0, 989.0, 1150.0, 36.0], shoonya_3sB76287CTR6A2, 5750873]
[paragraph, [230.0, 1025.0, 1150.0, 36.0], shoonya_3sB76287CTR6A2, 5750873]
[paragraph, [230.0, 1061.0, 1150.0, 36.0], shoonya_3sB76287CTR6A2, 5750873]
[paragraph, [230.0, 1097.0, 1150.0, 36.0], shoonya_3sB76287CTR6A2, 5750873]
[paragraph, [230.0, 1133.0, 1150.0, 36.0], shoonya_3sB76287CTR6A2, 5750873]
[reference, [1164.0, 1201.0, 198.0, 36.0], nlz9d-m4vX, 5750873]
[paragraph, [85.0, 1261.0, 1435.0, 36.0], shoonya_1sHGBEWJKRZN94, 5750873]
[paragraph, [85.0, 1297.0, 1435.0, 36.0], shoonya_1sHGBEWJKRZN94, 5750873]
[paragraph, [85.0, 1333.0, 1435.0, 36.0], shoonya_1sHGBEWJKRZN94, 5750873]
[paragraph, [85.0, 1369.0, 1435.0, 36.0], shoonya_1sHGBEWJKRZN94, 5750873]
[paragraph, [85.0, 1405.0, 1435.0, 36.0], shoonya_1sHGBEWJKRZN94, 5750873]
[paragraph, [85.0, 1441.0, 1435.0, 36.0], shoonya_1sHGBEWJKRZN94, 5750873]
[paragraph, [85.0, 1477.0, 1435.0, 36.0], shoonya_1sHGBEWJKRZN94, 5750873]
[paragraph, [84.0, 1527.0, 1465.0, 36.0], shoonya_0sUUPWJRH0YQKZ, 5750873]
[paragraph, [84.0, 1563.0, 1465.0, 36.0], shoonya_0sUUPWJRH0YQKZ, 5750873]
[paragraph, [84.0, 1599.0, 1465.0, 36.0], shoonya_0sUUPWJRH0YQKZ, 5750873]
[paragraph, [84.0, 1635.0, 1465.0, 36.0], shoonya_0sUUPWJRH0YQKZ, 5750873]
[paragraph, [84.0, 1671.0, 1465.0, 36.0], shoonya_0sUUPWJRH0YQKZ, 5750873]
[paragraph, [84.0, 1707.0, 1465.0, 36.0], shoonya_0sUUPWJRH0YQKZ, 5750873]
[paragraph, [84.0, 1743.0, 1465.0, 36.0], shoonya_0sUUPWJRH0YQKZ, 5750873]
[paragraph, [84.0, 1779.0, 1465.0, 36.0], shoonya_0sUUPWJRH0YQKZ, 5750873]
[paragraph, [84.0, 1815.0, 1465.0, 36.0], shoonya_0sUUPWJRH0YQKZ, 5750873]
[paragraph, [84.0, 1851.0, 1465.0, 36.0], shoonya_0sUUPWJRH0YQKZ, 5750873]
[paragraph, [84.0, 1887.0, 1465.0, 36.0], shoonya_0sUUPWJRH0YQKZ, 5750873]
[paragraph, [84.0, 1923.0, 1465.0, 36.0], shoonya_0sUUPWJRH0YQKZ, 5750873]
[paragraph, [84.0, 1959.0, 1465.0, 36.0], shoonya_0sUUPWJRH0YQKZ, 5750873]
[paragraph, [84.0, 1995.0, 1465.0, 36.0], shoonya_0sUUPWJRH0YQKZ, 5750873]
[paragraph, [84.0, 2031.0, 1465.0, 36.0], shoonya_0sUUPWJRH0YQKZ, 5750873]
[paragraph, [84.0, 2067.0, 1465.0, 36.0], shoonya_0sUUPWJRH0YQKZ, 5750873]
[paragraph, [84.0, 2103.0, 1465.0, 36.0], shoonya_0sUUPWJRH0YQKZ, 5750873]
[paragraph, [84.0, 2139.0, 1465.0, 36.0], shoonya_0sUUPWJRH0YQKZ, 5750873]
[paragraph, [84.0, 2175.0, 1465.0, 36.0], shoonya_0sUUPWJRH0YQKZ, 5750873]
