[1518, 1075]
[folio, [864.0, 64.0, 104.0, 36.0], 1IvHx9ncjl, 5722188]
[folio, [864.0, 100.0, 104.0, 36.0], 1IvHx9ncjl, 5722188]
[paragraph, [89.0, 146.0, 427.0, 36.0], shoonya_5s8AKKRHX1Z90N, 5722188]
[paragraph, [89.0, 182.0, 427.0, 36.0], shoonya_5s8AKKRHX1Z90N, 5722188]
[paragraph, [89.0, 218.0, 427.0, 36.0], shoonya_5s8AKKRHX1Z90N, 5722188]
[paragraph, [89.0, 254.0, 427.0, 36.0], shoonya_5s8AKKRHX1Z90N, 5722188]
[paragraph, [89.0, 290.0, 427.0, 36.0], shoonya_5s8AKKRHX1Z90N, 5722188]
[paragraph, [89.0, 326.0, 427.0, 36.0], shoonya_5s8AKKRHX1Z90N, 5722188]
[paragraph, [89.0, 362.0, 427.0, 36.0], shoonya_5s8AKKRHX1Z90N, 5722188]
[paragraph, [89.0, 398.0, 427.0, 36.0], shoonya_5s8AKKRHX1Z90N, 5722188]
[paragraph, [89.0, 434.0, 427.0, 36.0], shoonya_5s8AKKRHX1Z90N, 5722188]
[paragraph, [89.0, 470.0, 427.0, 36.0], shoonya_5s8AKKRHX1Z90N, 5722188]
[paragraph, [530.0, 148.0, 429.0, 36.0], shoonya_4s3T772H67M56P, 5722188]
[paragraph, [530.0, 184.0, 429.0, 36.0], shoonya_4s3T772H67M56P, 5722188]
[paragraph, [530.0, 220.0, 429.0, 36.0], shoonya_4s3T772H67M56P, 5722188]
[paragraph, [530.0, 256.0, 429.0, 36.0], shoonya_4s3T772H67M56P, 5722188]
[paragraph, [530.0, 292.0, 429.0, 36.0], shoonya_4s3T772H67M56P, 5722188]
[paragraph, [535.0, 341.0, 426.0, 36.0], shoonya_1s4CZ6X28PSTEH, 5722188]
[paragraph, [535.0, 377.0, 426.0, 36.0], shoonya_1s4CZ6X28PSTEH, 5722188]
[paragraph, [535.0, 413.0, 426.0, 36.0], shoonya_1s4CZ6X28PSTEH, 5722188]
[paragraph, [535.0, 449.0, 426.0, 36.0], shoonya_1s4CZ6X28PSTEH, 5722188]
[paragraph, [535.0, 485.0, 426.0, 36.0], shoonya_1s4CZ6X28PSTEH, 5722188]
[paragraph, [535.0, 521.0, 426.0, 36.0], shoonya_1s4CZ6X28PSTEH, 5722188]
[paragraph, [535.0, 557.0, 426.0, 36.0], shoonya_1s4CZ6X28PSTEH, 5722188]
[paragraph, [535.0, 593.0, 426.0, 36.0], shoonya_1s4CZ6X28PSTEH, 5722188]
[paragraph, [535.0, 629.0, 426.0, 36.0], shoonya_1s4CZ6X28PSTEH, 5722188]
[paragraph, [535.0, 665.0, 426.0, 36.0], shoonya_1s4CZ6X28PSTEH, 5722188]
[paragraph, [535.0, 701.0, 426.0, 36.0], shoonya_1s4CZ6X28PSTEH, 5722188]
[paragraph, [535.0, 737.0, 426.0, 36.0], shoonya_1s4CZ6X28PSTEH, 5722188]
[paragraph, [535.0, 773.0, 426.0, 36.0], shoonya_1s4CZ6X28PSTEH, 5722188]
[paragraph, [89.0, 520.0, 428.0, 36.0], shoonya_3sXKLJMCMAFSZP, 5722188]
[paragraph, [89.0, 556.0, 428.0, 36.0], shoonya_3sXKLJMCMAFSZP, 5722188]
[paragraph, [89.0, 592.0, 428.0, 36.0], shoonya_3sXKLJMCMAFSZP, 5722188]
[paragraph, [89.0, 628.0, 428.0, 36.0], shoonya_3sXKLJMCMAFSZP, 5722188]
[paragraph, [89.0, 664.0, 428.0, 36.0], shoonya_3sXKLJMCMAFSZP, 5722188]
[paragraph, [89.0, 700.0, 428.0, 36.0], shoonya_3sXKLJMCMAFSZP, 5722188]
[paragraph, [89.0, 736.0, 428.0, 36.0], shoonya_3sXKLJMCMAFSZP, 5722188]
[paragraph, [89.0, 772.0, 428.0, 36.0], shoonya_3sXKLJMCMAFSZP, 5722188]
[paragraph, [89.0, 808.0, 428.0, 36.0], shoonya_3sXKLJMCMAFSZP, 5722188]
[paragraph, [89.0, 844.0, 428.0, 36.0], shoonya_3sXKLJMCMAFSZP, 5722188]
[paragraph, [89.0, 880.0, 428.0, 36.0], shoonya_3sXKLJMCMAFSZP, 5722188]
[paragraph, [89.0, 916.0, 428.0, 36.0], shoonya_3sXKLJMCMAFSZP, 5722188]
[paragraph, [89.0, 952.0, 428.0, 36.0], shoonya_3sXKLJMCMAFSZP, 5722188]
[paragraph, [534.0, 851.0, 429.0, 36.0], shoonya_2sTMAYNSBYGTCF, 5722188]
[paragraph, [534.0, 887.0, 429.0, 36.0], shoonya_2sTMAYNSBYGTCF, 5722188]
[paragraph, [534.0, 923.0, 429.0, 36.0], shoonya_2sTMAYNSBYGTCF, 5722188]
[paragraph, [534.0, 959.0, 429.0, 36.0], shoonya_2sTMAYNSBYGTCF, 5722188]
[paragraph, [534.0, 995.0, 429.0, 36.0], shoonya_2sTMAYNSBYGTCF, 5722188]
[paragraph, [534.0, 1031.0, 429.0, 36.0], shoonya_2sTMAYNSBYGTCF, 5722188]
[paragraph, [534.0, 1067.0, 429.0, 36.0], shoonya_2sTMAYNSBYGTCF, 5722188]
[paragraph, [534.0, 1103.0, 429.0, 36.0], shoonya_2sTMAYNSBYGTCF, 5722188]
[paragraph, [534.0, 1139.0, 429.0, 36.0], shoonya_2sTMAYNSBYGTCF, 5722188]
[paragraph, [534.0, 1175.0, 429.0, 36.0], shoonya_2sTMAYNSBYGTCF, 5722188]
[paragraph, [534.0, 1211.0, 429.0, 36.0], shoonya_2sTMAYNSBYGTCF, 5722188]
[paragraph, [534.0, 1247.0, 429.0, 36.0], shoonya_2sTMAYNSBYGTCF, 5722188]
[paragraph, [534.0, 1283.0, 429.0, 36.0], shoonya_2sTMAYNSBYGTCF, 5722188]
[paragraph, [90.0, 1051.0, 426.0, 36.0], shoonya_0sGNYJ9I9CHM1G, 5722188]
[paragraph, [90.0, 1087.0, 426.0, 36.0], shoonya_0sGNYJ9I9CHM1G, 5722188]
[paragraph, [90.0, 1123.0, 426.0, 36.0], shoonya_0sGNYJ9I9CHM1G, 5722188]
[paragraph, [90.0, 1159.0, 426.0, 36.0], shoonya_0sGNYJ9I9CHM1G, 5722188]
