[1387, 987]
[paragraph, [63.0, 89.0, 833.0, 18.0], shoonya_0sXV9UCKNFD1TU, 5652394]
[paragraph, [63.0, 107.0, 833.0, 18.0], shoonya_0sXV9UCKNFD1TU, 5652394]
[paragraph, [63.0, 125.0, 833.0, 18.0], shoonya_0sXV9UCKNFD1TU, 5652394]
[paragraph, [63.0, 143.0, 833.0, 18.0], shoonya_0sXV9UCKNFD1TU, 5652394]
[paragraph, [63.0, 161.0, 833.0, 18.0], shoonya_0sXV9UCKNFD1TU, 5652394]
[paragraph, [63.0, 179.0, 833.0, 18.0], shoonya_0sXV9UCKNFD1TU, 5652394]
[paragraph, [63.0, 197.0, 833.0, 18.0], shoonya_0sXV9UCKNFD1TU, 5652394]
[paragraph, [63.0, 215.0, 833.0, 18.0], shoonya_0sXV9UCKNFD1TU, 5652394]
[paragraph, [63.0, 233.0, 833.0, 18.0], shoonya_0sXV9UCKNFD1TU, 5652394]
[paragraph, [63.0, 251.0, 833.0, 18.0], shoonya_0sXV9UCKNFD1TU, 5652394]
[paragraph, [63.0, 269.0, 833.0, 18.0], shoonya_0sXV9UCKNFD1TU, 5652394]
[paragraph, [63.0, 287.0, 833.0, 18.0], shoonya_0sXV9UCKNFD1TU, 5652394]
[paragraph, [63.0, 305.0, 833.0, 18.0], shoonya_0sXV9UCKNFD1TU, 5652394]
[paragraph, [63.0, 323.0, 833.0, 18.0], shoonya_0sXV9UCKNFD1TU, 5652394]
[paragraph, [63.0, 341.0, 833.0, 18.0], shoonya_0sXV9UCKNFD1TU, 5652394]
[paragraph, [63.0, 359.0, 833.0, 18.0], shoonya_0sXV9UCKNFD1TU, 5652394]
[paragraph, [63.0, 377.0, 833.0, 18.0], shoonya_0sXV9UCKNFD1TU, 5652394]
[paragraph, [63.0, 395.0, 833.0, 18.0], shoonya_0sXV9UCKNFD1TU, 5652394]
[paragraph, [63.0, 413.0, 833.0, 18.0], shoonya_0sXV9UCKNFD1TU, 5652394]
[paragraph, [63.0, 431.0, 833.0, 18.0], shoonya_0sXV9UCKNFD1TU, 5652394]
[paragraph, [63.0, 449.0, 833.0, 18.0], shoonya_0sXV9UCKNFD1TU, 5652394]
[paragraph, [63.0, 467.0, 833.0, 18.0], shoonya_0sXV9UCKNFD1TU, 5652394]
[paragraph, [63.0, 485.0, 833.0, 18.0], shoonya_0sXV9UCKNFD1TU, 5652394]
[paragraph, [63.0, 503.0, 833.0, 18.0], shoonya_0sXV9UCKNFD1TU, 5652394]
[paragraph, [63.0, 521.0, 833.0, 18.0], shoonya_0sXV9UCKNFD1TU, 5652394]
[paragraph, [63.0, 539.0, 833.0, 18.0], shoonya_0sXV9UCKNFD1TU, 5652394]
[paragraph, [63.0, 557.0, 833.0, 18.0], shoonya_0sXV9UCKNFD1TU, 5652394]
[paragraph, [63.0, 575.0, 833.0, 18.0], shoonya_0sXV9UCKNFD1TU, 5652394]
[paragraph, [63.0, 593.0, 833.0, 18.0], shoonya_0sXV9UCKNFD1TU, 5652394]
[paragraph, [63.0, 611.0, 833.0, 18.0], shoonya_0sXV9UCKNFD1TU, 5652394]
[paragraph, [63.0, 629.0, 833.0, 18.0], shoonya_0sXV9UCKNFD1TU, 5652394]
[paragraph, [63.0, 647.0, 833.0, 18.0], shoonya_0sXV9UCKNFD1TU, 5652394]
[paragraph, [63.0, 665.0, 833.0, 18.0], shoonya_0sXV9UCKNFD1TU, 5652394]
[paragraph, [63.0, 683.0, 833.0, 18.0], shoonya_0sXV9UCKNFD1TU, 5652394]
[paragraph, [63.0, 701.0, 833.0, 18.0], shoonya_0sXV9UCKNFD1TU, 5652394]
[paragraph, [63.0, 719.0, 833.0, 18.0], shoonya_0sXV9UCKNFD1TU, 5652394]
[paragraph, [63.0, 737.0, 833.0, 18.0], shoonya_0sXV9UCKNFD1TU, 5652394]
[paragraph, [63.0, 755.0, 833.0, 18.0], shoonya_0sXV9UCKNFD1TU, 5652394]
[paragraph, [63.0, 773.0, 833.0, 18.0], shoonya_0sXV9UCKNFD1TU, 5652394]
[paragraph, [63.0, 791.0, 833.0, 18.0], shoonya_0sXV9UCKNFD1TU, 5652394]
[paragraph, [63.0, 809.0, 833.0, 18.0], shoonya_0sXV9UCKNFD1TU, 5652394]
