[792, 612]
[paragraph, [118.0, 97.0, 409.0, 18.0], ctqx7SRM2t, 6492888]
[paragraph, [118.0, 115.0, 409.0, 18.0], ctqx7SRM2t, 6492888]
[paragraph, [118.0, 133.0, 409.0, 18.0], ctqx7SRM2t, 6492888]
[paragraph, [118.0, 151.0, 409.0, 18.0], ctqx7SRM2t, 6492888]
[paragraph, [118.0, 169.0, 409.0, 18.0], ctqx7SRM2t, 6492888]
[paragraph, [119.0, 201.0, 407.0, 18.0], YbqfMuHx66, 6492888]
[paragraph, [119.0, 219.0, 407.0, 18.0], YbqfMuHx66, 6492888]
[paragraph, [119.0, 237.0, 407.0, 18.0], YbqfMuHx66, 6492888]
[paragraph, [119.0, 273.0, 406.0, 18.0], NqV21Ff82e, 6492888]
[paragraph, [119.0, 291.0, 406.0, 18.0], NqV21Ff82e, 6492888]
[paragraph, [119.0, 309.0, 406.0, 18.0], NqV21Ff82e, 6492888]
[paragraph, [119.0, 327.0, 406.0, 18.0], NqV21Ff82e, 6492888]
[paragraph, [119.0, 345.0, 406.0, 18.0], NqV21Ff82e, 6492888]
[paragraph, [119.0, 371.0, 413.0, 18.0], shoonya_0s72TYL02KSHM5, 6492888]
[paragraph, [119.0, 389.0, 413.0, 18.0], shoonya_0s72TYL02KSHM5, 6492888]
[paragraph, [119.0, 407.0, 413.0, 18.0], shoonya_0s72TYL02KSHM5, 6492888]
[paragraph, [119.0, 425.0, 413.0, 18.0], shoonya_0s72TYL02KSHM5, 6492888]
[paragraph, [119.0, 443.0, 413.0, 18.0], shoonya_0s72TYL02KSHM5, 6492888]
[paragraph, [119.0, 461.0, 413.0, 18.0], shoonya_0s72TYL02KSHM5, 6492888]
[paragraph, [122.0, 492.0, 409.0, 18.0], j4nRhMUhzh, 6492888]
[paragraph, [122.0, 510.0, 409.0, 18.0], j4nRhMUhzh, 6492888]
[paragraph, [122.0, 528.0, 409.0, 18.0], j4nRhMUhzh, 6492888]
[paragraph, [122.0, 546.0, 409.0, 18.0], j4nRhMUhzh, 6492888]
[paragraph, [122.0, 564.0, 409.0, 18.0], j4nRhMUhzh, 6492888]
[paragraph, [122.0, 582.0, 409.0, 18.0], j4nRhMUhzh, 6492888]
[paragraph, [122.0, 600.0, 409.0, 18.0], j4nRhMUhzh, 6492888]
[paragraph, [122.0, 618.0, 409.0, 18.0], j4nRhMUhzh, 6492888]
[paragraph, [122.0, 636.0, 409.0, 18.0], j4nRhMUhzh, 6492888]
[paragraph, [122.0, 654.0, 409.0, 18.0], j4nRhMUhzh, 6492888]
[paragraph, [122.0, 672.0, 409.0, 18.0], j4nRhMUhzh, 6492888]
[paragraph, [122.0, 690.0, 409.0, 18.0], j4nRhMUhzh, 6492888]
[paragraph, [122.0, 708.0, 409.0, 18.0], j4nRhMUhzh, 6492888]
[paragraph, [122.0, 726.0, 409.0, 18.0], j4nRhMUhzh, 6492888]
[paragraph, [122.0, 744.0, 409.0, 18.0], j4nRhMUhzh, 6492888]
