[2200, 1700]
[paragraph, [333.0, 39.0, 1105.0, 36.0], shoonya_1s10YY0G6TJ06J, 5731119]
[paragraph, [333.0, 75.0, 1105.0, 36.0], shoonya_1s10YY0G6TJ06J, 5731119]
[paragraph, [333.0, 111.0, 1105.0, 36.0], shoonya_1s10YY0G6TJ06J, 5731119]
[paragraph, [333.0, 147.0, 1105.0, 36.0], shoonya_1s10YY0G6TJ06J, 5731119]
[paragraph, [333.0, 183.0, 1105.0, 36.0], shoonya_1s10YY0G6TJ06J, 5731119]
[paragraph, [333.0, 219.0, 1105.0, 36.0], shoonya_1s10YY0G6TJ06J, 5731119]
[paragraph, [333.0, 255.0, 1105.0, 36.0], shoonya_1s10YY0G6TJ06J, 5731119]
[paragraph, [333.0, 291.0, 1105.0, 36.0], shoonya_1s10YY0G6TJ06J, 5731119]
[paragraph, [333.0, 327.0, 1105.0, 36.0], shoonya_1s10YY0G6TJ06J, 5731119]
[paragraph, [333.0, 363.0, 1105.0, 36.0], shoonya_1s10YY0G6TJ06J, 5731119]
[paragraph, [333.0, 399.0, 1105.0, 36.0], shoonya_1s10YY0G6TJ06J, 5731119]
[paragraph, [333.0, 435.0, 1105.0, 36.0], shoonya_1s10YY0G6TJ06J, 5731119]
[paragraph, [333.0, 471.0, 1105.0, 36.0], shoonya_1s10YY0G6TJ06J, 5731119]
[paragraph, [333.0, 507.0, 1105.0, 36.0], shoonya_1s10YY0G6TJ06J, 5731119]
[paragraph, [333.0, 543.0, 1105.0, 36.0], shoonya_1s10YY0G6TJ06J, 5731119]
[paragraph, [333.0, 579.0, 1105.0, 36.0], shoonya_1s10YY0G6TJ06J, 5731119]
[paragraph, [333.0, 615.0, 1105.0, 36.0], shoonya_1s10YY0G6TJ06J, 5731119]
[paragraph, [333.0, 651.0, 1105.0, 36.0], shoonya_1s10YY0G6TJ06J, 5731119]
[paragraph, [333.0, 687.0, 1105.0, 36.0], shoonya_1s10YY0G6TJ06J, 5731119]
[paragraph, [333.0, 723.0, 1105.0, 36.0], shoonya_1s10YY0G6TJ06J, 5731119]
[paragraph, [333.0, 759.0, 1105.0, 36.0], shoonya_1s10YY0G6TJ06J, 5731119]
[paragraph, [333.0, 795.0, 1105.0, 36.0], shoonya_1s10YY0G6TJ06J, 5731119]
[paragraph, [333.0, 831.0, 1105.0, 36.0], shoonya_1s10YY0G6TJ06J, 5731119]
[paragraph, [333.0, 867.0, 1105.0, 36.0], shoonya_1s10YY0G6TJ06J, 5731119]
[paragraph, [333.0, 903.0, 1105.0, 36.0], shoonya_1s10YY0G6TJ06J, 5731119]
[paragraph, [333.0, 939.0, 1105.0, 36.0], shoonya_1s10YY0G6TJ06J, 5731119]
[paragraph, [333.0, 975.0, 1105.0, 36.0], shoonya_1s10YY0G6TJ06J, 5731119]
[paragraph, [333.0, 1011.0, 1105.0, 36.0], shoonya_1s10YY0G6TJ06J, 5731119]
[paragraph, [312.0, 1070.0, 1110.0, 36.0], shoonya_0sAJI67N3AY5YB, 5731119]
[paragraph, [312.0, 1106.0, 1110.0, 36.0], shoonya_0sAJI67N3AY5YB, 5731119]
[paragraph, [312.0, 1142.0, 1110.0, 36.0], shoonya_0sAJI67N3AY5YB, 5731119]
[paragraph, [312.0, 1178.0, 1110.0, 36.0], shoonya_0sAJI67N3AY5YB, 5731119]
[paragraph, [312.0, 1214.0, 1110.0, 36.0], shoonya_0sAJI67N3AY5YB, 5731119]
[paragraph, [312.0, 1250.0, 1110.0, 36.0], shoonya_0sAJI67N3AY5YB, 5731119]
[paragraph, [312.0, 1286.0, 1110.0, 36.0], shoonya_0sAJI67N3AY5YB, 5731119]
[paragraph, [312.0, 1322.0, 1110.0, 36.0], shoonya_0sAJI67N3AY5YB, 5731119]
[paragraph, [312.0, 1358.0, 1110.0, 36.0], shoonya_0sAJI67N3AY5YB, 5731119]
[paragraph, [312.0, 1394.0, 1110.0, 36.0], shoonya_0sAJI67N3AY5YB, 5731119]
[paragraph, [312.0, 1430.0, 1110.0, 36.0], shoonya_0sAJI67N3AY5YB, 5731119]
[paragraph, [312.0, 1466.0, 1110.0, 36.0], shoonya_0sAJI67N3AY5YB, 5731119]
[paragraph, [312.0, 1502.0, 1110.0, 36.0], shoonya_0sAJI67N3AY5YB, 5731119]
[paragraph, [312.0, 1538.0, 1110.0, 36.0], shoonya_0sAJI67N3AY5YB, 5731119]
[paragraph, [312.0, 1574.0, 1110.0, 36.0], shoonya_0sAJI67N3AY5YB, 5731119]
[paragraph, [312.0, 1610.0, 1110.0, 36.0], shoonya_0sAJI67N3AY5YB, 5731119]
[paragraph, [312.0, 1646.0, 1110.0, 36.0], shoonya_0sAJI67N3AY5YB, 5731119]
[paragraph, [312.0, 1682.0, 1110.0, 36.0], shoonya_0sAJI67N3AY5YB, 5731119]
[paragraph, [312.0, 1718.0, 1110.0, 36.0], shoonya_0sAJI67N3AY5YB, 5731119]
[paragraph, [312.0, 1754.0, 1110.0, 36.0], shoonya_0sAJI67N3AY5YB, 5731119]
[paragraph, [312.0, 1790.0, 1110.0, 36.0], shoonya_0sAJI67N3AY5YB, 5731119]
[paragraph, [411.0, 1863.0, 985.0, 36.0], shoonya_2sDH8E36SZNP6M, 5731119]
[folio, [428.0, 1979.0, 360.0, 36.0], 8YCrzLVLFh, 5731119]
