[872, 605]
[folio, [452.0, 32.0, 101.0, 18.0], 96IfLw5AlW, 6457480]
[folio, [452.0, 50.0, 101.0, 18.0], 96IfLw5AlW, 6457480]
[paragraph, [53.0, 73.0, 240.0, 18.0], suQdne3N_d, 6457480]
[paragraph, [53.0, 91.0, 240.0, 18.0], suQdne3N_d, 6457480]
[paragraph, [300.0, 74.0, 244.0, 18.0], _FD32vTSex, 6457480]
[paragraph, [300.0, 92.0, 244.0, 18.0], _FD32vTSex, 6457480]
[paragraph, [300.0, 110.0, 244.0, 18.0], _FD32vTSex, 6457480]
[paragraph, [300.0, 128.0, 244.0, 18.0], _FD32vTSex, 6457480]
[paragraph, [300.0, 146.0, 244.0, 18.0], _FD32vTSex, 6457480]
[paragraph, [54.0, 113.0, 245.0, 18.0], LSkBUeQkCM, 6457480]
[paragraph, [54.0, 131.0, 245.0, 18.0], LSkBUeQkCM, 6457480]
[paragraph, [53.0, 153.0, 250.0, 18.0], shoonya_0sYBJS973N2MUE, 6457480]
[paragraph, [53.0, 171.0, 250.0, 18.0], shoonya_0sYBJS973N2MUE, 6457480]
[paragraph, [53.0, 189.0, 250.0, 18.0], shoonya_0sYBJS973N2MUE, 6457480]
[paragraph, [53.0, 207.0, 250.0, 18.0], shoonya_0sYBJS973N2MUE, 6457480]
[paragraph, [53.0, 225.0, 250.0, 18.0], shoonya_0sYBJS973N2MUE, 6457480]
[paragraph, [53.0, 243.0, 250.0, 18.0], shoonya_0sYBJS973N2MUE, 6457480]
[paragraph, [53.0, 261.0, 250.0, 18.0], shoonya_0sYBJS973N2MUE, 6457480]
[paragraph, [315.0, 166.0, 223.0, 18.0], INMSbosR_B, 6457480]
[paragraph, [301.0, 187.0, 235.0, 18.0], xig6IBMX8H, 6457480]
[paragraph, [301.0, 205.0, 235.0, 18.0], xig6IBMX8H, 6457480]
[paragraph, [302.0, 226.0, 247.0, 18.0], USlpCXbRII, 6457480]
[paragraph, [302.0, 244.0, 247.0, 18.0], USlpCXbRII, 6457480]
[paragraph, [302.0, 262.0, 247.0, 18.0], USlpCXbRII, 6457480]
[paragraph, [311.0, 285.0, 153.0, 18.0], 5HOwLxeu_g, 6457480]
[paragraph, [50.0, 291.0, 236.0, 18.0], 1gCnOihXvv, 6457480]
[paragraph, [50.0, 309.0, 236.0, 18.0], 1gCnOihXvv, 6457480]
[paragraph, [301.0, 307.0, 248.0, 18.0], XjTCJxOMFK, 6457480]
[paragraph, [301.0, 325.0, 248.0, 18.0], XjTCJxOMFK, 6457480]
[paragraph, [54.0, 330.0, 245.0, 18.0], vdOiOemNx-, 6457480]
[paragraph, [54.0, 348.0, 245.0, 18.0], vdOiOemNx-, 6457480]
[paragraph, [302.0, 350.0, 249.0, 18.0], ElXClIEM8X, 6457480]
[paragraph, [302.0, 368.0, 249.0, 18.0], ElXClIEM8X, 6457480]
[paragraph, [302.0, 386.0, 249.0, 18.0], ElXClIEM8X, 6457480]
[paragraph, [302.0, 404.0, 249.0, 18.0], ElXClIEM8X, 6457480]
[paragraph, [302.0, 422.0, 249.0, 18.0], ElXClIEM8X, 6457480]
[paragraph, [302.0, 440.0, 249.0, 18.0], ElXClIEM8X, 6457480]
[paragraph, [53.0, 366.0, 190.0, 18.0], phrCFE2Xpw, 6457480]
[paragraph, [56.0, 385.0, 247.0, 18.0], dRbHTFwYdj, 6457480]
[paragraph, [56.0, 403.0, 247.0, 18.0], dRbHTFwYdj, 6457480]
[paragraph, [56.0, 421.0, 247.0, 18.0], dRbHTFwYdj, 6457480]
[paragraph, [56.0, 439.0, 247.0, 18.0], dRbHTFwYdj, 6457480]
[paragraph, [56.0, 457.0, 247.0, 18.0], dRbHTFwYdj, 6457480]
[paragraph, [56.0, 475.0, 247.0, 18.0], dRbHTFwYdj, 6457480]
[paragraph, [302.0, 456.0, 224.0, 18.0], NxnWD4YF8W, 6457480]
[paragraph, [302.0, 474.0, 224.0, 18.0], NxnWD4YF8W, 6457480]
[paragraph, [299.0, 492.0, 211.0, 18.0], jTSd5qx6Pr, 6457480]
[paragraph, [55.0, 507.0, 232.0, 18.0], 2ezGGNh6Sg, 6457480]
[paragraph, [302.0, 512.0, 251.0, 18.0], nQjEjcaf0Z, 6457480]
[paragraph, [302.0, 530.0, 251.0, 18.0], nQjEjcaf0Z, 6457480]
[paragraph, [302.0, 548.0, 251.0, 18.0], nQjEjcaf0Z, 6457480]
[paragraph, [302.0, 566.0, 251.0, 18.0], nQjEjcaf0Z, 6457480]
[paragraph, [50.0, 532.0, 251.0, 18.0], Taap1FYsH-, 6457480]
[paragraph, [50.0, 550.0, 251.0, 18.0], Taap1FYsH-, 6457480]
[paragraph, [56.0, 567.0, 244.0, 18.0], SipHWd1H5c, 6457480]
[paragraph, [56.0, 585.0, 244.0, 18.0], SipHWd1H5c, 6457480]
[paragraph, [299.0, 588.0, 236.0, 18.0], 44a6JjhX0A, 6457480]
[paragraph, [54.0, 606.0, 248.0, 18.0], BEM7ew8Fke, 6457480]
[paragraph, [54.0, 624.0, 248.0, 18.0], BEM7ew8Fke, 6457480]
[paragraph, [299.0, 608.0, 215.0, 18.0], jVDG3CeMmf, 6457480]
[paragraph, [301.0, 631.0, 249.0, 18.0], JOTuL_ZLKF, 6457480]
[paragraph, [301.0, 649.0, 249.0, 18.0], JOTuL_ZLKF, 6457480]
[paragraph, [57.0, 644.0, 246.0, 18.0], IIL4f-wVIV, 6457480]
[paragraph, [57.0, 662.0, 246.0, 18.0], IIL4f-wVIV, 6457480]
[reference, [301.0, 673.0, 248.0, 18.0], gutQQQ1KJV, 6457480]
[reference, [301.0, 691.0, 248.0, 18.0], gutQQQ1KJV, 6457480]
[reference, [301.0, 709.0, 248.0, 18.0], gutQQQ1KJV, 6457480]
[reference, [301.0, 727.0, 248.0, 18.0], gutQQQ1KJV, 6457480]
[reference, [301.0, 745.0, 248.0, 18.0], gutQQQ1KJV, 6457480]
[reference, [301.0, 763.0, 248.0, 18.0], gutQQQ1KJV, 6457480]
[reference, [301.0, 781.0, 248.0, 18.0], gutQQQ1KJV, 6457480]
[reference, [301.0, 799.0, 248.0, 18.0], gutQQQ1KJV, 6457480]
[reference, [301.0, 817.0, 248.0, 18.0], gutQQQ1KJV, 6457480]
[paragraph, [59.0, 682.0, 241.0, 18.0], Rs2qUoIqRZ, 6457480]
[paragraph, [59.0, 700.0, 241.0, 18.0], Rs2qUoIqRZ, 6457480]
[paragraph, [59.0, 718.0, 241.0, 18.0], Rs2qUoIqRZ, 6457480]
[paragraph, [59.0, 736.0, 241.0, 18.0], Rs2qUoIqRZ, 6457480]
[reference, [56.0, 756.0, 246.0, 18.0], F9T9WqHmZk, 6457480]
[reference, [56.0, 774.0, 246.0, 18.0], F9T9WqHmZk, 6457480]
[reference, [56.0, 792.0, 246.0, 18.0], F9T9WqHmZk, 6457480]
[reference, [56.0, 810.0, 246.0, 18.0], F9T9WqHmZk, 6457480]
