[2061, 1233]
[paragraph, [119.0, 110.0, 1006.0, 36.0], shoonya_3s2Y9Y6TA7VUCK, 5692418]
[paragraph, [119.0, 146.0, 1006.0, 36.0], shoonya_3s2Y9Y6TA7VUCK, 5692418]
[paragraph, [119.0, 182.0, 1006.0, 36.0], shoonya_3s2Y9Y6TA7VUCK, 5692418]
[paragraph, [119.0, 218.0, 1006.0, 36.0], shoonya_3s2Y9Y6TA7VUCK, 5692418]
[paragraph, [119.0, 254.0, 1006.0, 36.0], shoonya_3s2Y9Y6TA7VUCK, 5692418]
[paragraph, [119.0, 290.0, 1006.0, 36.0], shoonya_3s2Y9Y6TA7VUCK, 5692418]
[paragraph, [121.0, 356.0, 1009.0, 36.0], shoonya_2sTJNOTXECGMW8, 5692418]
[paragraph, [121.0, 392.0, 1009.0, 36.0], shoonya_2sTJNOTXECGMW8, 5692418]
[paragraph, [121.0, 428.0, 1009.0, 36.0], shoonya_2sTJNOTXECGMW8, 5692418]
[paragraph, [121.0, 464.0, 1009.0, 36.0], shoonya_2sTJNOTXECGMW8, 5692418]
[paragraph, [121.0, 500.0, 1009.0, 36.0], shoonya_2sTJNOTXECGMW8, 5692418]
[paragraph, [121.0, 536.0, 1009.0, 36.0], shoonya_2sTJNOTXECGMW8, 5692418]
[paragraph, [120.0, 577.0, 1003.0, 36.0], shoonya_4s913KST7JBO0C, 5692418]
[paragraph, [120.0, 613.0, 1003.0, 36.0], shoonya_4s913KST7JBO0C, 5692418]
[paragraph, [120.0, 649.0, 1003.0, 36.0], shoonya_4s913KST7JBO0C, 5692418]
[paragraph, [120.0, 685.0, 1003.0, 36.0], shoonya_4s913KST7JBO0C, 5692418]
[paragraph, [120.0, 721.0, 1003.0, 36.0], shoonya_4s913KST7JBO0C, 5692418]
[paragraph, [120.0, 757.0, 1003.0, 36.0], shoonya_4s913KST7JBO0C, 5692418]
[paragraph, [120.0, 793.0, 1003.0, 36.0], shoonya_4s913KST7JBO0C, 5692418]
[paragraph, [103.0, 860.0, 1026.0, 36.0], PpQ7OApWei, 5692418]
[paragraph, [103.0, 896.0, 1026.0, 36.0], PpQ7OApWei, 5692418]
[paragraph, [103.0, 932.0, 1026.0, 36.0], PpQ7OApWei, 5692418]
[paragraph, [103.0, 968.0, 1026.0, 36.0], PpQ7OApWei, 5692418]
[paragraph, [177.0, 1031.0, 675.0, 36.0], nnGPryXnSQ, 5692418]
[paragraph, [94.0, 1088.0, 1041.0, 36.0], 0XmBDPGAvD, 5692418]
[paragraph, [94.0, 1124.0, 1041.0, 36.0], 0XmBDPGAvD, 5692418]
[paragraph, [96.0, 1197.0, 1045.0, 36.0], shoonya_0sJ9GSNIA3KW2J, 5692418]
[paragraph, [96.0, 1233.0, 1045.0, 36.0], shoonya_0sJ9GSNIA3KW2J, 5692418]
[paragraph, [96.0, 1269.0, 1045.0, 36.0], shoonya_0sJ9GSNIA3KW2J, 5692418]
[paragraph, [96.0, 1305.0, 1045.0, 36.0], shoonya_0sJ9GSNIA3KW2J, 5692418]
[paragraph, [96.0, 1341.0, 1045.0, 36.0], shoonya_0sJ9GSNIA3KW2J, 5692418]
[paragraph, [96.0, 1377.0, 1045.0, 36.0], shoonya_0sJ9GSNIA3KW2J, 5692418]
[paragraph, [96.0, 1413.0, 1045.0, 36.0], shoonya_0sJ9GSNIA3KW2J, 5692418]
[paragraph, [96.0, 1449.0, 1045.0, 36.0], shoonya_0sJ9GSNIA3KW2J, 5692418]
[paragraph, [96.0, 1485.0, 1045.0, 36.0], shoonya_0sJ9GSNIA3KW2J, 5692418]
[paragraph, [154.0, 1535.0, 946.0, 36.0], X3SyQd1Crq, 5692418]
[paragraph, [107.0, 1593.0, 1038.0, 36.0], -EBck6snNy, 5692418]
[paragraph, [107.0, 1629.0, 1038.0, 36.0], -EBck6snNy, 5692418]
[paragraph, [107.0, 1665.0, 1038.0, 36.0], -EBck6snNy, 5692418]
[paragraph, [107.0, 1701.0, 1038.0, 36.0], -EBck6snNy, 5692418]
[paragraph, [95.0, 1763.0, 1083.0, 36.0], 5uHS4qq0s_, 5692418]
[paragraph, [95.0, 1799.0, 1083.0, 36.0], 5uHS4qq0s_, 5692418]
[paragraph, [95.0, 1835.0, 1083.0, 36.0], 5uHS4qq0s_, 5692418]
