[612, 396]
[contact-info, [36.0, 110.0, 165.0, 18.0], shoonya_0s0L6BGWRDPLU0, 6517037]
[contact-info, [36.0, 128.0, 165.0, 18.0], shoonya_0s0L6BGWRDPLU0, 6517037]
[contact-info, [36.0, 146.0, 165.0, 18.0], shoonya_0s0L6BGWRDPLU0, 6517037]
[contact-info, [36.0, 164.0, 165.0, 18.0], shoonya_0s0L6BGWRDPLU0, 6517037]
[contact-info, [36.0, 182.0, 165.0, 18.0], shoonya_0s0L6BGWRDPLU0, 6517037]
[contact-info, [52.0, 225.0, 193.0, 18.0], zcd7dCCGOt, 6517037]
[contact-info, [52.0, 243.0, 193.0, 18.0], zcd7dCCGOt, 6517037]
[contact-info, [52.0, 261.0, 193.0, 18.0], zcd7dCCGOt, 6517037]
[contact-info, [106.0, 354.0, 210.0, 18.0], bxrMpU-qJI, 6517037]
[contact-info, [106.0, 372.0, 210.0, 18.0], bxrMpU-qJI, 6517037]
[contact-info, [106.0, 390.0, 210.0, 18.0], bxrMpU-qJI, 6517037]
[contact-info, [106.0, 408.0, 210.0, 18.0], bxrMpU-qJI, 6517037]
[contact-info, [106.0, 426.0, 210.0, 18.0], bxrMpU-qJI, 6517037]
[contact-info, [106.0, 444.0, 210.0, 18.0], bxrMpU-qJI, 6517037]
[contact-info, [106.0, 462.0, 210.0, 18.0], bxrMpU-qJI, 6517037]
[contact-info, [106.0, 480.0, 210.0, 18.0], bxrMpU-qJI, 6517037]
[contact-info, [106.0, 498.0, 210.0, 18.0], bxrMpU-qJI, 6517037]
[contact-info, [106.0, 516.0, 210.0, 18.0], bxrMpU-qJI, 6517037]
