[1200, 825]
[paragraph, [141.0, 106.0, 542.0, 18.0], shoonya_2s4BT9SZZZFO3I, 5691409]
[paragraph, [141.0, 124.0, 542.0, 18.0], shoonya_2s4BT9SZZZFO3I, 5691409]
[paragraph, [141.0, 142.0, 542.0, 18.0], shoonya_2s4BT9SZZZFO3I, 5691409]
[paragraph, [139.0, 170.0, 545.0, 18.0], shoonya_0s2N6TXTK03H1C, 5691409]
[paragraph, [139.0, 188.0, 545.0, 18.0], shoonya_0s2N6TXTK03H1C, 5691409]
[paragraph, [139.0, 206.0, 545.0, 18.0], shoonya_0s2N6TXTK03H1C, 5691409]
[paragraph, [139.0, 224.0, 545.0, 18.0], shoonya_0s2N6TXTK03H1C, 5691409]
[paragraph, [139.0, 242.0, 545.0, 18.0], shoonya_0s2N6TXTK03H1C, 5691409]
[paragraph, [139.0, 260.0, 545.0, 18.0], shoonya_0s2N6TXTK03H1C, 5691409]
[paragraph, [139.0, 278.0, 545.0, 18.0], shoonya_0s2N6TXTK03H1C, 5691409]
[paragraph, [139.0, 296.0, 545.0, 18.0], shoonya_0s2N6TXTK03H1C, 5691409]
[paragraph, [139.0, 314.0, 545.0, 18.0], shoonya_0s2N6TXTK03H1C, 5691409]
[paragraph, [139.0, 332.0, 545.0, 18.0], shoonya_0s2N6TXTK03H1C, 5691409]
[paragraph, [139.0, 350.0, 545.0, 18.0], shoonya_0s2N6TXTK03H1C, 5691409]
[paragraph, [139.0, 368.0, 545.0, 18.0], shoonya_0s2N6TXTK03H1C, 5691409]
[paragraph, [139.0, 386.0, 545.0, 18.0], shoonya_0s2N6TXTK03H1C, 5691409]
[paragraph, [139.0, 404.0, 545.0, 18.0], shoonya_0s2N6TXTK03H1C, 5691409]
[paragraph, [139.0, 422.0, 545.0, 18.0], shoonya_0s2N6TXTK03H1C, 5691409]
[paragraph, [139.0, 440.0, 545.0, 18.0], shoonya_0s2N6TXTK03H1C, 5691409]
[paragraph, [139.0, 458.0, 545.0, 18.0], shoonya_0s2N6TXTK03H1C, 5691409]
[paragraph, [139.0, 476.0, 545.0, 18.0], shoonya_0s2N6TXTK03H1C, 5691409]
[paragraph, [139.0, 494.0, 545.0, 18.0], shoonya_0s2N6TXTK03H1C, 5691409]
[paragraph, [139.0, 512.0, 545.0, 18.0], shoonya_0s2N6TXTK03H1C, 5691409]
[paragraph, [135.0, 561.0, 552.0, 18.0], shoonya_1sRXYJIGD9S9UK, 5691409]
[paragraph, [135.0, 579.0, 552.0, 18.0], shoonya_1sRXYJIGD9S9UK, 5691409]
[paragraph, [135.0, 597.0, 552.0, 18.0], shoonya_1sRXYJIGD9S9UK, 5691409]
[paragraph, [135.0, 615.0, 552.0, 18.0], shoonya_1sRXYJIGD9S9UK, 5691409]
[paragraph, [135.0, 633.0, 552.0, 18.0], shoonya_1sRXYJIGD9S9UK, 5691409]
[paragraph, [135.0, 651.0, 552.0, 18.0], shoonya_1sRXYJIGD9S9UK, 5691409]
[paragraph, [135.0, 669.0, 552.0, 18.0], shoonya_1sRXYJIGD9S9UK, 5691409]
[paragraph, [135.0, 687.0, 552.0, 18.0], shoonya_1sRXYJIGD9S9UK, 5691409]
[paragraph, [135.0, 705.0, 552.0, 18.0], shoonya_1sRXYJIGD9S9UK, 5691409]
[paragraph, [135.0, 723.0, 552.0, 18.0], shoonya_1sRXYJIGD9S9UK, 5691409]
[paragraph, [135.0, 741.0, 552.0, 18.0], shoonya_1sRXYJIGD9S9UK, 5691409]
[paragraph, [135.0, 759.0, 552.0, 18.0], shoonya_1sRXYJIGD9S9UK, 5691409]
[paragraph, [135.0, 777.0, 552.0, 18.0], shoonya_1sRXYJIGD9S9UK, 5691409]
[paragraph, [135.0, 795.0, 552.0, 18.0], shoonya_1sRXYJIGD9S9UK, 5691409]
[paragraph, [135.0, 813.0, 552.0, 18.0], shoonya_1sRXYJIGD9S9UK, 5691409]
[paragraph, [135.0, 831.0, 552.0, 18.0], shoonya_1sRXYJIGD9S9UK, 5691409]
[paragraph, [135.0, 849.0, 552.0, 18.0], shoonya_1sRXYJIGD9S9UK, 5691409]
[paragraph, [135.0, 867.0, 552.0, 18.0], shoonya_1sRXYJIGD9S9UK, 5691409]
[paragraph, [135.0, 885.0, 552.0, 18.0], shoonya_1sRXYJIGD9S9UK, 5691409]
[paragraph, [135.0, 903.0, 552.0, 18.0], shoonya_1sRXYJIGD9S9UK, 5691409]
[paragraph, [135.0, 921.0, 552.0, 18.0], shoonya_1sRXYJIGD9S9UK, 5691409]
[paragraph, [135.0, 939.0, 552.0, 18.0], shoonya_1sRXYJIGD9S9UK, 5691409]
[paragraph, [135.0, 957.0, 552.0, 18.0], shoonya_1sRXYJIGD9S9UK, 5691409]
[paragraph, [135.0, 975.0, 552.0, 18.0], shoonya_1sRXYJIGD9S9UK, 5691409]
[paragraph, [135.0, 993.0, 552.0, 18.0], shoonya_1sRXYJIGD9S9UK, 5691409]
[paragraph, [135.0, 1011.0, 552.0, 18.0], shoonya_1sRXYJIGD9S9UK, 5691409]
[paragraph, [135.0, 1029.0, 552.0, 18.0], shoonya_1sRXYJIGD9S9UK, 5691409]
