[1650, 1275]
[paragraph, [270.0, 125.0, 814.0, 36.0], vhyAG4549R, 5714425]
[paragraph, [270.0, 161.0, 814.0, 36.0], vhyAG4549R, 5714425]
[paragraph, [274.0, 227.0, 813.0, 36.0], shoonya_0s645GCAXABGK0, 5714425]
[paragraph, [274.0, 263.0, 813.0, 36.0], shoonya_0s645GCAXABGK0, 5714425]
[paragraph, [274.0, 299.0, 813.0, 36.0], shoonya_0s645GCAXABGK0, 5714425]
[paragraph, [274.0, 335.0, 813.0, 36.0], shoonya_0s645GCAXABGK0, 5714425]
[paragraph, [274.0, 371.0, 813.0, 36.0], shoonya_0s645GCAXABGK0, 5714425]
[paragraph, [274.0, 407.0, 813.0, 36.0], shoonya_0s645GCAXABGK0, 5714425]
[paragraph, [274.0, 443.0, 813.0, 36.0], shoonya_0s645GCAXABGK0, 5714425]
[paragraph, [274.0, 479.0, 813.0, 36.0], shoonya_0s645GCAXABGK0, 5714425]
[paragraph, [274.0, 515.0, 813.0, 36.0], shoonya_0s645GCAXABGK0, 5714425]
[paragraph, [274.0, 551.0, 813.0, 36.0], shoonya_0s645GCAXABGK0, 5714425]
[paragraph, [274.0, 587.0, 813.0, 36.0], shoonya_0s645GCAXABGK0, 5714425]
[paragraph, [274.0, 623.0, 813.0, 36.0], shoonya_0s645GCAXABGK0, 5714425]
[paragraph, [274.0, 659.0, 813.0, 36.0], shoonya_0s645GCAXABGK0, 5714425]
[paragraph, [274.0, 695.0, 813.0, 36.0], shoonya_0s645GCAXABGK0, 5714425]
[paragraph, [274.0, 731.0, 813.0, 36.0], shoonya_0s645GCAXABGK0, 5714425]
[paragraph, [274.0, 767.0, 813.0, 36.0], shoonya_0s645GCAXABGK0, 5714425]
[paragraph, [274.0, 803.0, 813.0, 36.0], shoonya_0s645GCAXABGK0, 5714425]
[paragraph, [274.0, 839.0, 813.0, 36.0], shoonya_0s645GCAXABGK0, 5714425]
[paragraph, [274.0, 875.0, 813.0, 36.0], shoonya_0s645GCAXABGK0, 5714425]
[paragraph, [274.0, 911.0, 813.0, 36.0], shoonya_0s645GCAXABGK0, 5714425]
[paragraph, [274.0, 947.0, 813.0, 36.0], shoonya_0s645GCAXABGK0, 5714425]
[paragraph, [274.0, 983.0, 813.0, 36.0], shoonya_0s645GCAXABGK0, 5714425]
[paragraph, [274.0, 1019.0, 813.0, 36.0], shoonya_0s645GCAXABGK0, 5714425]
[paragraph, [274.0, 1055.0, 813.0, 36.0], shoonya_0s645GCAXABGK0, 5714425]
[paragraph, [274.0, 1091.0, 813.0, 36.0], shoonya_0s645GCAXABGK0, 5714425]
[paragraph, [277.0, 1155.0, 804.0, 36.0], SNAtZe29Il, 5714425]
[paragraph, [277.0, 1191.0, 804.0, 36.0], SNAtZe29Il, 5714425]
[paragraph, [277.0, 1227.0, 804.0, 36.0], SNAtZe29Il, 5714425]
[paragraph, [277.0, 1263.0, 804.0, 36.0], SNAtZe29Il, 5714425]
[paragraph, [277.0, 1299.0, 804.0, 36.0], SNAtZe29Il, 5714425]
[paragraph, [277.0, 1335.0, 804.0, 36.0], SNAtZe29Il, 5714425]
[paragraph, [277.0, 1371.0, 804.0, 36.0], SNAtZe29Il, 5714425]
[paragraph, [277.0, 1407.0, 804.0, 36.0], SNAtZe29Il, 5714425]
[paragraph, [277.0, 1443.0, 804.0, 36.0], SNAtZe29Il, 5714425]
