[991, 612]
[folio, [416.0, 157.0, 141.0, 18.0], 22-QhMXI8j, 5756423]
[ordered-list, [58.0, 198.0, 493.0, 18.0], quw1Rxncii, 5756423]
[ordered-list, [58.0, 216.0, 493.0, 18.0], quw1Rxncii, 5756423]
[ordered-list, [58.0, 234.0, 493.0, 18.0], quw1Rxncii, 5756423]
[ordered-list, [58.0, 252.0, 493.0, 18.0], quw1Rxncii, 5756423]
[ordered-list, [58.0, 270.0, 493.0, 18.0], quw1Rxncii, 5756423]
[paragraph, [67.0, 293.0, 482.0, 18.0], 0wQV5sPxlc, 5756423]
[paragraph, [67.0, 311.0, 482.0, 18.0], 0wQV5sPxlc, 5756423]
[paragraph, [67.0, 329.0, 482.0, 18.0], 0wQV5sPxlc, 5756423]
[paragraph, [67.0, 347.0, 482.0, 18.0], 0wQV5sPxlc, 5756423]
[paragraph, [67.0, 365.0, 482.0, 18.0], 0wQV5sPxlc, 5756423]
[ordered-list, [57.0, 389.0, 499.0, 18.0], nloxeu8bTx, 5756423]
[ordered-list, [57.0, 407.0, 499.0, 18.0], nloxeu8bTx, 5756423]
[ordered-list, [57.0, 425.0, 499.0, 18.0], nloxeu8bTx, 5756423]
[ordered-list, [57.0, 443.0, 499.0, 18.0], nloxeu8bTx, 5756423]
[ordered-list, [57.0, 461.0, 499.0, 18.0], nloxeu8bTx, 5756423]
[ordered-list, [57.0, 479.0, 499.0, 18.0], nloxeu8bTx, 5756423]
[ordered-list, [57.0, 497.0, 499.0, 18.0], nloxeu8bTx, 5756423]
[ordered-list, [57.0, 515.0, 499.0, 18.0], nloxeu8bTx, 5756423]
[ordered-list, [57.0, 533.0, 499.0, 18.0], nloxeu8bTx, 5756423]
[ordered-list, [57.0, 551.0, 499.0, 18.0], nloxeu8bTx, 5756423]
[ordered-list, [57.0, 569.0, 499.0, 18.0], nloxeu8bTx, 5756423]
[ordered-list, [57.0, 587.0, 499.0, 18.0], nloxeu8bTx, 5756423]
[ordered-list, [57.0, 605.0, 499.0, 18.0], nloxeu8bTx, 5756423]
[ordered-list, [57.0, 623.0, 499.0, 18.0], nloxeu8bTx, 5756423]
[ordered-list, [57.0, 641.0, 499.0, 18.0], nloxeu8bTx, 5756423]
[ordered-list, [57.0, 659.0, 499.0, 18.0], nloxeu8bTx, 5756423]
[ordered-list, [57.0, 677.0, 499.0, 18.0], nloxeu8bTx, 5756423]
[ordered-list, [57.0, 695.0, 499.0, 18.0], nloxeu8bTx, 5756423]
[ordered-list, [57.0, 713.0, 499.0, 18.0], nloxeu8bTx, 5756423]
[ordered-list, [57.0, 731.0, 499.0, 18.0], nloxeu8bTx, 5756423]
[ordered-list, [57.0, 749.0, 499.0, 18.0], nloxeu8bTx, 5756423]
[ordered-list, [57.0, 767.0, 499.0, 18.0], nloxeu8bTx, 5756423]
[ordered-list, [57.0, 785.0, 499.0, 18.0], nloxeu8bTx, 5756423]
[ordered-list, [57.0, 803.0, 499.0, 18.0], nloxeu8bTx, 5756423]
[ordered-list, [57.0, 821.0, 499.0, 18.0], nloxeu8bTx, 5756423]
[sub-ordered-list, [67.0, 392.0, 489.0, 18.0], MYOLUxxA1Q, 5756423]
[sub-ordered-list, [67.0, 410.0, 489.0, 18.0], MYOLUxxA1Q, 5756423]
[sub-ordered-list, [67.0, 428.0, 489.0, 18.0], MYOLUxxA1Q, 5756423]
[sub-ordered-list, [67.0, 446.0, 489.0, 18.0], MYOLUxxA1Q, 5756423]
[sub-ordered-list, [67.0, 464.0, 489.0, 18.0], MYOLUxxA1Q, 5756423]
[sub-ordered-list, [67.0, 482.0, 489.0, 18.0], MYOLUxxA1Q, 5756423]
[sub-ordered-list, [67.0, 500.0, 489.0, 18.0], MYOLUxxA1Q, 5756423]
[sub-ordered-list, [67.0, 518.0, 489.0, 18.0], MYOLUxxA1Q, 5756423]
[sub-ordered-list, [67.0, 536.0, 489.0, 18.0], MYOLUxxA1Q, 5756423]
[sub-ordered-list, [66.0, 633.0, 487.0, 18.0], hzIa3DBy-i, 5756423]
[sub-ordered-list, [66.0, 651.0, 487.0, 18.0], hzIa3DBy-i, 5756423]
[sub-ordered-list, [66.0, 669.0, 487.0, 18.0], hzIa3DBy-i, 5756423]
[sub-ordered-list, [66.0, 687.0, 487.0, 18.0], hzIa3DBy-i, 5756423]
[sub-ordered-list, [66.0, 705.0, 487.0, 18.0], hzIa3DBy-i, 5756423]
