[1806, 1262]
[folio, [617.0, 102.0, 479.0, 36.0], shoonya_0s9KZ4O6UJ3Y18, 5681215]
[paragraph, [96.0, 177.0, 508.0, 36.0], shoonya_3sFXKYSCQARNOY, 5681215]
[paragraph, [96.0, 213.0, 508.0, 36.0], shoonya_3sFXKYSCQARNOY, 5681215]
[paragraph, [96.0, 249.0, 508.0, 36.0], shoonya_3sFXKYSCQARNOY, 5681215]
[paragraph, [96.0, 285.0, 508.0, 36.0], shoonya_3sFXKYSCQARNOY, 5681215]
[paragraph, [96.0, 321.0, 508.0, 36.0], shoonya_3sFXKYSCQARNOY, 5681215]
[paragraph, [96.0, 357.0, 508.0, 36.0], shoonya_3sFXKYSCQARNOY, 5681215]
[paragraph, [96.0, 393.0, 508.0, 36.0], shoonya_3sFXKYSCQARNOY, 5681215]
[paragraph, [96.0, 429.0, 508.0, 36.0], shoonya_3sFXKYSCQARNOY, 5681215]
[paragraph, [96.0, 465.0, 508.0, 36.0], shoonya_3sFXKYSCQARNOY, 5681215]
[paragraph, [96.0, 501.0, 508.0, 36.0], shoonya_3sFXKYSCQARNOY, 5681215]
[paragraph, [96.0, 537.0, 508.0, 36.0], shoonya_3sFXKYSCQARNOY, 5681215]
[paragraph, [96.0, 573.0, 508.0, 36.0], shoonya_3sFXKYSCQARNOY, 5681215]
[paragraph, [96.0, 609.0, 508.0, 36.0], shoonya_3sFXKYSCQARNOY, 5681215]
[paragraph, [96.0, 645.0, 508.0, 36.0], shoonya_3sFXKYSCQARNOY, 5681215]
[paragraph, [96.0, 681.0, 508.0, 36.0], shoonya_3sFXKYSCQARNOY, 5681215]
[paragraph, [96.0, 717.0, 508.0, 36.0], shoonya_3sFXKYSCQARNOY, 5681215]
[paragraph, [96.0, 753.0, 508.0, 36.0], shoonya_3sFXKYSCQARNOY, 5681215]
[paragraph, [96.0, 789.0, 508.0, 36.0], shoonya_3sFXKYSCQARNOY, 5681215]
[paragraph, [96.0, 825.0, 508.0, 36.0], shoonya_3sFXKYSCQARNOY, 5681215]
[paragraph, [96.0, 861.0, 508.0, 36.0], shoonya_3sFXKYSCQARNOY, 5681215]
[paragraph, [656.0, 178.0, 509.0, 36.0], R_YcGjXhYc, 5681215]
[paragraph, [656.0, 214.0, 509.0, 36.0], R_YcGjXhYc, 5681215]
[paragraph, [656.0, 250.0, 509.0, 36.0], R_YcGjXhYc, 5681215]
[paragraph, [656.0, 286.0, 509.0, 36.0], R_YcGjXhYc, 5681215]
[paragraph, [656.0, 322.0, 509.0, 36.0], R_YcGjXhYc, 5681215]
[paragraph, [656.0, 358.0, 509.0, 36.0], R_YcGjXhYc, 5681215]
[paragraph, [656.0, 394.0, 509.0, 36.0], R_YcGjXhYc, 5681215]
[paragraph, [656.0, 430.0, 509.0, 36.0], R_YcGjXhYc, 5681215]
[paragraph, [656.0, 466.0, 509.0, 36.0], R_YcGjXhYc, 5681215]
[paragraph, [656.0, 502.0, 509.0, 36.0], R_YcGjXhYc, 5681215]
[paragraph, [656.0, 538.0, 509.0, 36.0], R_YcGjXhYc, 5681215]
