[1787, 1218]
[paragraph, [107.0, 104.0, 1004.0, 36.0], shoonya_4s9IEFBC0YM3X8, 5652344]
[paragraph, [107.0, 140.0, 1004.0, 36.0], shoonya_4s9IEFBC0YM3X8, 5652344]
[paragraph, [110.0, 180.0, 991.0, 36.0], shoonya_0sBW6JYX6FS8OI, 5652344]
[paragraph, [110.0, 216.0, 991.0, 36.0], shoonya_0sBW6JYX6FS8OI, 5652344]
[paragraph, [110.0, 252.0, 991.0, 36.0], shoonya_0sBW6JYX6FS8OI, 5652344]
[paragraph, [110.0, 288.0, 991.0, 36.0], shoonya_0sBW6JYX6FS8OI, 5652344]
[paragraph, [110.0, 324.0, 991.0, 36.0], shoonya_0sBW6JYX6FS8OI, 5652344]
[paragraph, [110.0, 360.0, 991.0, 36.0], shoonya_0sBW6JYX6FS8OI, 5652344]
[paragraph, [110.0, 396.0, 991.0, 36.0], shoonya_0sBW6JYX6FS8OI, 5652344]
[paragraph, [110.0, 432.0, 991.0, 36.0], shoonya_0sBW6JYX6FS8OI, 5652344]
[paragraph, [111.0, 481.0, 996.0, 36.0], shoonya_5sFVYFDC25U4Y7, 5652344]
[paragraph, [111.0, 517.0, 996.0, 36.0], shoonya_5sFVYFDC25U4Y7, 5652344]
[paragraph, [111.0, 553.0, 996.0, 36.0], shoonya_5sFVYFDC25U4Y7, 5652344]
[paragraph, [111.0, 589.0, 996.0, 36.0], shoonya_5sFVYFDC25U4Y7, 5652344]
[paragraph, [111.0, 625.0, 996.0, 36.0], shoonya_5sFVYFDC25U4Y7, 5652344]
[paragraph, [111.0, 661.0, 996.0, 36.0], shoonya_5sFVYFDC25U4Y7, 5652344]
[paragraph, [111.0, 697.0, 996.0, 36.0], shoonya_5sFVYFDC25U4Y7, 5652344]
[paragraph, [111.0, 733.0, 996.0, 36.0], shoonya_5sFVYFDC25U4Y7, 5652344]
[paragraph, [111.0, 769.0, 996.0, 36.0], shoonya_5sFVYFDC25U4Y7, 5652344]
[paragraph, [111.0, 805.0, 996.0, 36.0], shoonya_5sFVYFDC25U4Y7, 5652344]
[paragraph, [111.0, 841.0, 996.0, 36.0], shoonya_5sFVYFDC25U4Y7, 5652344]
[paragraph, [111.0, 877.0, 996.0, 36.0], shoonya_5sFVYFDC25U4Y7, 5652344]
[paragraph, [111.0, 913.0, 996.0, 36.0], shoonya_5sFVYFDC25U4Y7, 5652344]
[paragraph, [111.0, 949.0, 996.0, 36.0], shoonya_5sFVYFDC25U4Y7, 5652344]
[paragraph, [115.0, 990.0, 1003.0, 36.0], grbcH6mNZB, 5652344]
[paragraph, [115.0, 1026.0, 1003.0, 36.0], grbcH6mNZB, 5652344]
[paragraph, [115.0, 1062.0, 1003.0, 36.0], grbcH6mNZB, 5652344]
[paragraph, [115.0, 1098.0, 1003.0, 36.0], grbcH6mNZB, 5652344]
[paragraph, [115.0, 1134.0, 1003.0, 36.0], grbcH6mNZB, 5652344]
[paragraph, [115.0, 1170.0, 1003.0, 36.0], grbcH6mNZB, 5652344]
[paragraph, [122.0, 1207.0, 989.0, 36.0], shoonya_3sZNO9AF9TJQBO, 5652344]
[paragraph, [122.0, 1243.0, 989.0, 36.0], shoonya_3sZNO9AF9TJQBO, 5652344]
[paragraph, [122.0, 1279.0, 989.0, 36.0], shoonya_3sZNO9AF9TJQBO, 5652344]
[paragraph, [122.0, 1315.0, 989.0, 36.0], shoonya_3sZNO9AF9TJQBO, 5652344]
[paragraph, [122.0, 1351.0, 989.0, 36.0], shoonya_3sZNO9AF9TJQBO, 5652344]
[paragraph, [122.0, 1387.0, 989.0, 36.0], shoonya_3sZNO9AF9TJQBO, 5652344]
[paragraph, [122.0, 1423.0, 989.0, 36.0], shoonya_3sZNO9AF9TJQBO, 5652344]
[paragraph, [122.0, 1459.0, 989.0, 36.0], shoonya_3sZNO9AF9TJQBO, 5652344]
[paragraph, [122.0, 1495.0, 989.0, 36.0], shoonya_3sZNO9AF9TJQBO, 5652344]
[paragraph, [122.0, 1531.0, 989.0, 36.0], shoonya_3sZNO9AF9TJQBO, 5652344]
[footnote, [468.0, 1645.0, 229.0, 36.0], mx00rP6eZH, 5652344]
