[2806, 1983]
[paragraph, [221.0, 232.0, 1556.0, 46.5], shoonya_0s8IVMXOUCUWH1, 5682956]
[paragraph, [221.0, 278.5, 1556.0, 46.5], shoonya_0s8IVMXOUCUWH1, 5682956]
[paragraph, [221.0, 325.0, 1556.0, 46.5], shoonya_0s8IVMXOUCUWH1, 5682956]
[paragraph, [221.0, 371.5, 1556.0, 46.5], shoonya_0s8IVMXOUCUWH1, 5682956]
[paragraph, [221.0, 418.0, 1556.0, 46.5], shoonya_0s8IVMXOUCUWH1, 5682956]
[paragraph, [221.0, 464.5, 1556.0, 46.5], shoonya_0s8IVMXOUCUWH1, 5682956]
[paragraph, [221.0, 511.0, 1556.0, 46.5], shoonya_0s8IVMXOUCUWH1, 5682956]
[paragraph, [221.0, 557.5, 1556.0, 46.5], shoonya_0s8IVMXOUCUWH1, 5682956]
[paragraph, [221.0, 604.0, 1556.0, 46.5], shoonya_0s8IVMXOUCUWH1, 5682956]
[paragraph, [221.0, 650.5, 1556.0, 46.5], shoonya_0s8IVMXOUCUWH1, 5682956]
[paragraph, [221.0, 697.0, 1556.0, 46.5], shoonya_0s8IVMXOUCUWH1, 5682956]
[paragraph, [221.0, 743.5, 1556.0, 46.5], shoonya_0s8IVMXOUCUWH1, 5682956]
[paragraph, [221.0, 790.0, 1556.0, 46.5], shoonya_0s8IVMXOUCUWH1, 5682956]
[paragraph, [221.0, 836.5, 1556.0, 46.5], shoonya_0s8IVMXOUCUWH1, 5682956]
[paragraph, [221.0, 883.0, 1556.0, 46.5], shoonya_0s8IVMXOUCUWH1, 5682956]
[paragraph, [221.0, 929.5, 1556.0, 46.5], shoonya_0s8IVMXOUCUWH1, 5682956]
[paragraph, [221.0, 976.0, 1556.0, 46.5], shoonya_0s8IVMXOUCUWH1, 5682956]
[paragraph, [221.0, 1022.5, 1556.0, 46.5], shoonya_0s8IVMXOUCUWH1, 5682956]
[paragraph, [221.0, 1069.0, 1556.0, 46.5], shoonya_0s8IVMXOUCUWH1, 5682956]
[paragraph, [221.0, 1115.5, 1556.0, 46.5], shoonya_0s8IVMXOUCUWH1, 5682956]
[paragraph, [218.0, 1305.0, 1549.0, 46.5], v9bQ82kYrr, 5682956]
[paragraph, [218.0, 1351.5, 1549.0, 46.5], v9bQ82kYrr, 5682956]
[paragraph, [218.0, 1398.0, 1549.0, 46.5], v9bQ82kYrr, 5682956]
[paragraph, [218.0, 1444.5, 1549.0, 46.5], v9bQ82kYrr, 5682956]
[paragraph, [218.0, 1491.0, 1549.0, 46.5], v9bQ82kYrr, 5682956]
[paragraph, [218.0, 1537.5, 1549.0, 46.5], v9bQ82kYrr, 5682956]
[paragraph, [218.0, 1584.0, 1549.0, 46.5], v9bQ82kYrr, 5682956]
[paragraph, [205.0, 1771.0, 1559.0, 46.5], 3FCJTs0TEs, 5682956]
[paragraph, [205.0, 1817.5, 1559.0, 46.5], 3FCJTs0TEs, 5682956]
[paragraph, [205.0, 1864.0, 1559.0, 46.5], 3FCJTs0TEs, 5682956]
[paragraph, [205.0, 1910.5, 1559.0, 46.5], 3FCJTs0TEs, 5682956]
[paragraph, [205.0, 1957.0, 1559.0, 46.5], 3FCJTs0TEs, 5682956]
[paragraph, [205.0, 2003.5, 1559.0, 46.5], 3FCJTs0TEs, 5682956]
[paragraph, [205.0, 2050.0, 1559.0, 46.5], 3FCJTs0TEs, 5682956]
[paragraph, [205.0, 2096.5, 1559.0, 46.5], 3FCJTs0TEs, 5682956]
[paragraph, [205.0, 2143.0, 1559.0, 46.5], 3FCJTs0TEs, 5682956]
