[1211, 798]
[folio, [341.0, 41.0, 103.0, 18.0], eSYwjLtoJH, 5740644]
[folio, [341.0, 59.0, 103.0, 18.0], eSYwjLtoJH, 5740644]
[paragraph, [43.0, 101.0, 697.0, 18.0], shoonya_1sWG1JWD246AKI, 5740644]
[paragraph, [43.0, 119.0, 697.0, 18.0], shoonya_1sWG1JWD246AKI, 5740644]
[paragraph, [43.0, 137.0, 697.0, 18.0], shoonya_1sWG1JWD246AKI, 5740644]
[paragraph, [43.0, 155.0, 697.0, 18.0], shoonya_1sWG1JWD246AKI, 5740644]
[paragraph, [43.0, 173.0, 697.0, 18.0], shoonya_1sWG1JWD246AKI, 5740644]
[paragraph, [43.0, 191.0, 697.0, 18.0], shoonya_1sWG1JWD246AKI, 5740644]
[paragraph, [43.0, 209.0, 697.0, 18.0], shoonya_1sWG1JWD246AKI, 5740644]
[paragraph, [43.0, 227.0, 697.0, 18.0], shoonya_1sWG1JWD246AKI, 5740644]
[paragraph, [43.0, 245.0, 697.0, 18.0], shoonya_1sWG1JWD246AKI, 5740644]
[paragraph, [43.0, 263.0, 697.0, 18.0], shoonya_1sWG1JWD246AKI, 5740644]
[paragraph, [43.0, 281.0, 697.0, 18.0], shoonya_1sWG1JWD246AKI, 5740644]
[paragraph, [43.0, 299.0, 697.0, 18.0], shoonya_1sWG1JWD246AKI, 5740644]
[paragraph, [43.0, 317.0, 697.0, 18.0], shoonya_1sWG1JWD246AKI, 5740644]
[paragraph, [51.0, 347.0, 693.0, 18.0], OyAg5grAAW, 5740644]
[paragraph, [51.0, 365.0, 693.0, 18.0], OyAg5grAAW, 5740644]
[paragraph, [51.0, 383.0, 693.0, 18.0], OyAg5grAAW, 5740644]
[paragraph, [51.0, 401.0, 693.0, 18.0], OyAg5grAAW, 5740644]
[paragraph, [51.0, 419.0, 693.0, 18.0], OyAg5grAAW, 5740644]
[paragraph, [51.0, 437.0, 693.0, 18.0], OyAg5grAAW, 5740644]
[paragraph, [51.0, 455.0, 693.0, 18.0], OyAg5grAAW, 5740644]
[paragraph, [51.0, 473.0, 693.0, 18.0], OyAg5grAAW, 5740644]
[paragraph, [51.0, 491.0, 693.0, 18.0], OyAg5grAAW, 5740644]
[paragraph, [51.0, 509.0, 693.0, 18.0], OyAg5grAAW, 5740644]
[paragraph, [51.0, 527.0, 693.0, 18.0], OyAg5grAAW, 5740644]
[paragraph, [51.0, 545.0, 693.0, 18.0], OyAg5grAAW, 5740644]
[paragraph, [51.0, 563.0, 693.0, 18.0], OyAg5grAAW, 5740644]
[paragraph, [51.0, 581.0, 693.0, 18.0], OyAg5grAAW, 5740644]
[paragraph, [51.0, 599.0, 693.0, 18.0], OyAg5grAAW, 5740644]
[paragraph, [51.0, 617.0, 693.0, 18.0], OyAg5grAAW, 5740644]
[paragraph, [51.0, 635.0, 693.0, 18.0], OyAg5grAAW, 5740644]
[paragraph, [51.0, 653.0, 693.0, 18.0], OyAg5grAAW, 5740644]
[paragraph, [51.0, 671.0, 693.0, 18.0], OyAg5grAAW, 5740644]
[paragraph, [48.0, 706.0, 694.0, 18.0], LTRVnQ8sLK, 5740644]
[paragraph, [48.0, 724.0, 694.0, 18.0], LTRVnQ8sLK, 5740644]
[paragraph, [48.0, 742.0, 694.0, 18.0], LTRVnQ8sLK, 5740644]
[paragraph, [48.0, 760.0, 694.0, 18.0], LTRVnQ8sLK, 5740644]
[paragraph, [48.0, 778.0, 694.0, 18.0], LTRVnQ8sLK, 5740644]
[paragraph, [48.0, 796.0, 694.0, 18.0], LTRVnQ8sLK, 5740644]
[paragraph, [48.0, 814.0, 694.0, 18.0], LTRVnQ8sLK, 5740644]
[paragraph, [48.0, 832.0, 694.0, 18.0], LTRVnQ8sLK, 5740644]
[paragraph, [48.0, 850.0, 694.0, 18.0], LTRVnQ8sLK, 5740644]
[paragraph, [48.0, 868.0, 694.0, 18.0], LTRVnQ8sLK, 5740644]
[paragraph, [48.0, 886.0, 694.0, 18.0], LTRVnQ8sLK, 5740644]
[paragraph, [48.0, 904.0, 694.0, 18.0], LTRVnQ8sLK, 5740644]
[paragraph, [48.0, 922.0, 694.0, 18.0], LTRVnQ8sLK, 5740644]
[paragraph, [48.0, 940.0, 694.0, 18.0], LTRVnQ8sLK, 5740644]
[paragraph, [48.0, 958.0, 694.0, 18.0], LTRVnQ8sLK, 5740644]
[paragraph, [48.0, 976.0, 694.0, 18.0], LTRVnQ8sLK, 5740644]
[paragraph, [50.0, 1021.0, 690.0, 18.0], wquI4IXast, 5740644]
[paragraph, [50.0, 1039.0, 690.0, 18.0], wquI4IXast, 5740644]
[paragraph, [50.0, 1057.0, 690.0, 18.0], wquI4IXast, 5740644]
[paragraph, [50.0, 1075.0, 690.0, 18.0], wquI4IXast, 5740644]
[paragraph, [50.0, 1093.0, 690.0, 18.0], wquI4IXast, 5740644]
[paragraph, [50.0, 1111.0, 690.0, 18.0], wquI4IXast, 5740644]
[paragraph, [50.0, 1129.0, 690.0, 18.0], wquI4IXast, 5740644]
[paragraph, [50.0, 1147.0, 690.0, 18.0], wquI4IXast, 5740644]
[footnote, [419.0, 1173.0, 321.0, 18.0], shoonya_0sXHIXNLJHZRWK, 5740644]
