[1004, 650]
[paragraph, [48.0, 101.0, 557.0, 18.0], AOg-5SxE0e, 5740681]
[paragraph, [48.0, 119.0, 557.0, 18.0], AOg-5SxE0e, 5740681]
[paragraph, [48.0, 137.0, 557.0, 18.0], AOg-5SxE0e, 5740681]
[paragraph, [48.0, 155.0, 557.0, 18.0], AOg-5SxE0e, 5740681]
[paragraph, [48.0, 173.0, 557.0, 18.0], AOg-5SxE0e, 5740681]
[paragraph, [48.0, 191.0, 557.0, 18.0], AOg-5SxE0e, 5740681]
[paragraph, [48.0, 209.0, 557.0, 18.0], AOg-5SxE0e, 5740681]
[paragraph, [48.0, 227.0, 557.0, 18.0], AOg-5SxE0e, 5740681]
[paragraph, [48.0, 245.0, 557.0, 18.0], AOg-5SxE0e, 5740681]
[paragraph, [39.0, 278.0, 574.0, 18.0], 7_GGwT8Cop, 5740681]
[paragraph, [39.0, 296.0, 574.0, 18.0], 7_GGwT8Cop, 5740681]
[paragraph, [39.0, 314.0, 574.0, 18.0], 7_GGwT8Cop, 5740681]
[paragraph, [39.0, 332.0, 574.0, 18.0], 7_GGwT8Cop, 5740681]
[paragraph, [39.0, 350.0, 574.0, 18.0], 7_GGwT8Cop, 5740681]
[paragraph, [39.0, 368.0, 574.0, 18.0], 7_GGwT8Cop, 5740681]
[paragraph, [39.0, 386.0, 574.0, 18.0], 7_GGwT8Cop, 5740681]
[paragraph, [39.0, 404.0, 574.0, 18.0], 7_GGwT8Cop, 5740681]
[paragraph, [39.0, 422.0, 574.0, 18.0], 7_GGwT8Cop, 5740681]
[paragraph, [39.0, 440.0, 574.0, 18.0], 7_GGwT8Cop, 5740681]
[paragraph, [39.0, 458.0, 574.0, 18.0], 7_GGwT8Cop, 5740681]
[paragraph, [44.0, 489.0, 563.0, 18.0], Rzf98mrUkQ, 5740681]
[paragraph, [44.0, 507.0, 563.0, 18.0], Rzf98mrUkQ, 5740681]
[paragraph, [44.0, 525.0, 563.0, 18.0], Rzf98mrUkQ, 5740681]
[paragraph, [44.0, 543.0, 563.0, 18.0], Rzf98mrUkQ, 5740681]
[paragraph, [44.0, 561.0, 563.0, 18.0], Rzf98mrUkQ, 5740681]
[paragraph, [44.0, 579.0, 563.0, 18.0], Rzf98mrUkQ, 5740681]
[paragraph, [44.0, 597.0, 563.0, 18.0], Rzf98mrUkQ, 5740681]
[paragraph, [48.0, 621.0, 559.0, 18.0], 4K3Z6PIm4f, 5740681]
[paragraph, [48.0, 639.0, 559.0, 18.0], 4K3Z6PIm4f, 5740681]
[paragraph, [48.0, 657.0, 559.0, 18.0], 4K3Z6PIm4f, 5740681]
[paragraph, [48.0, 675.0, 559.0, 18.0], 4K3Z6PIm4f, 5740681]
[paragraph, [48.0, 693.0, 559.0, 18.0], 4K3Z6PIm4f, 5740681]
[paragraph, [55.0, 728.0, 553.0, 18.0], 5-_k3Y8k-v, 5740681]
[paragraph, [55.0, 746.0, 553.0, 18.0], 5-_k3Y8k-v, 5740681]
[paragraph, [55.0, 764.0, 553.0, 18.0], 5-_k3Y8k-v, 5740681]
[footnote, [357.0, 969.0, 232.0, 18.0], PloAw8bWKl, 5740681]
