[1571, 1128]
[headline, [125.0, 173.0, 900.0, 37.5], shoonya_6sJGR1GA041G3I, 6472355]
[headline, [125.0, 210.5, 900.0, 37.5], shoonya_6sJGR1GA041G3I, 6472355]
[paragraph, [124.0, 272.0, 439.0, 36.0], shoonya_0sM331NA38R467, 6472355]
[paragraph, [124.0, 308.0, 439.0, 36.0], shoonya_0sM331NA38R467, 6472355]
[paragraph, [124.0, 344.0, 439.0, 36.0], shoonya_0sM331NA38R467, 6472355]
[paragraph, [124.0, 380.0, 439.0, 36.0], shoonya_0sM331NA38R467, 6472355]
[paragraph, [124.0, 416.0, 439.0, 36.0], shoonya_0sM331NA38R467, 6472355]
[paragraph, [124.0, 452.0, 439.0, 36.0], shoonya_0sM331NA38R467, 6472355]
[paragraph, [124.0, 488.0, 439.0, 36.0], shoonya_0sM331NA38R467, 6472355]
[paragraph, [588.0, 326.0, 442.0, 36.0], shoonya_1sHKWK99BS7ACS, 6472355]
[paragraph, [588.0, 362.0, 442.0, 36.0], shoonya_1sHKWK99BS7ACS, 6472355]
[paragraph, [588.0, 398.0, 442.0, 36.0], shoonya_1sHKWK99BS7ACS, 6472355]
[paragraph, [588.0, 434.0, 442.0, 36.0], shoonya_1sHKWK99BS7ACS, 6472355]
[paragraph, [588.0, 470.0, 442.0, 36.0], shoonya_1sHKWK99BS7ACS, 6472355]
[paragraph, [588.0, 506.0, 442.0, 36.0], shoonya_1sHKWK99BS7ACS, 6472355]
[paragraph, [588.0, 542.0, 442.0, 36.0], shoonya_1sHKWK99BS7ACS, 6472355]
[paragraph, [588.0, 578.0, 442.0, 36.0], shoonya_1sHKWK99BS7ACS, 6472355]
[paragraph, [128.0, 553.0, 426.0, 36.0], shoonya_2sO1BFZYLVSBZS, 6472355]
[paragraph, [128.0, 589.0, 426.0, 36.0], shoonya_2sO1BFZYLVSBZS, 6472355]
[paragraph, [128.0, 625.0, 426.0, 36.0], shoonya_2sO1BFZYLVSBZS, 6472355]
[paragraph, [128.0, 661.0, 426.0, 36.0], shoonya_2sO1BFZYLVSBZS, 6472355]
[paragraph, [128.0, 697.0, 426.0, 36.0], shoonya_2sO1BFZYLVSBZS, 6472355]
[paragraph, [577.0, 631.0, 453.0, 36.0], LDn0OPlEry, 6472355]
[paragraph, [577.0, 667.0, 453.0, 36.0], LDn0OPlEry, 6472355]
[paragraph, [577.0, 703.0, 453.0, 36.0], LDn0OPlEry, 6472355]
[paragraph, [577.0, 739.0, 453.0, 36.0], LDn0OPlEry, 6472355]
[paragraph, [577.0, 775.0, 453.0, 36.0], LDn0OPlEry, 6472355]
[paragraph, [577.0, 811.0, 453.0, 36.0], LDn0OPlEry, 6472355]
[paragraph, [577.0, 847.0, 453.0, 36.0], LDn0OPlEry, 6472355]
[paragraph, [577.0, 883.0, 453.0, 36.0], LDn0OPlEry, 6472355]
[paragraph, [577.0, 919.0, 453.0, 36.0], LDn0OPlEry, 6472355]
[paragraph, [577.0, 955.0, 453.0, 36.0], LDn0OPlEry, 6472355]
[paragraph, [577.0, 991.0, 453.0, 36.0], LDn0OPlEry, 6472355]
[paragraph, [577.0, 1027.0, 453.0, 36.0], LDn0OPlEry, 6472355]
[paragraph, [577.0, 1063.0, 453.0, 36.0], LDn0OPlEry, 6472355]
[paragraph, [577.0, 1099.0, 453.0, 36.0], LDn0OPlEry, 6472355]
[paragraph, [577.0, 1135.0, 453.0, 36.0], LDn0OPlEry, 6472355]
[paragraph, [126.0, 755.0, 446.0, 36.0], shoonya_5s7X0E0NJC2K12, 6472355]
[paragraph, [126.0, 791.0, 446.0, 36.0], shoonya_5s7X0E0NJC2K12, 6472355]
[paragraph, [126.0, 827.0, 446.0, 36.0], shoonya_5s7X0E0NJC2K12, 6472355]
[paragraph, [126.0, 863.0, 446.0, 36.0], shoonya_5s7X0E0NJC2K12, 6472355]
[paragraph, [126.0, 899.0, 446.0, 36.0], shoonya_5s7X0E0NJC2K12, 6472355]
[paragraph, [126.0, 935.0, 446.0, 36.0], shoonya_5s7X0E0NJC2K12, 6472355]
[paragraph, [126.0, 971.0, 446.0, 36.0], shoonya_5s7X0E0NJC2K12, 6472355]
[paragraph, [126.0, 1007.0, 446.0, 36.0], shoonya_5s7X0E0NJC2K12, 6472355]
[paragraph, [126.0, 1043.0, 446.0, 36.0], shoonya_5s7X0E0NJC2K12, 6472355]
[paragraph, [126.0, 1079.0, 446.0, 36.0], shoonya_5s7X0E0NJC2K12, 6472355]
[paragraph, [126.0, 1115.0, 446.0, 36.0], shoonya_5s7X0E0NJC2K12, 6472355]
[paragraph, [126.0, 1151.0, 446.0, 36.0], shoonya_5s7X0E0NJC2K12, 6472355]
[paragraph, [126.0, 1187.0, 446.0, 36.0], shoonya_5s7X0E0NJC2K12, 6472355]
[paragraph, [584.0, 1200.0, 436.0, 36.0], NabhIHWDCz, 6472355]
[paragraph, [584.0, 1236.0, 436.0, 36.0], NabhIHWDCz, 6472355]
[paragraph, [584.0, 1272.0, 436.0, 36.0], NabhIHWDCz, 6472355]
[paragraph, [584.0, 1308.0, 436.0, 36.0], NabhIHWDCz, 6472355]
[paragraph, [584.0, 1344.0, 436.0, 36.0], NabhIHWDCz, 6472355]
[paragraph, [125.0, 1226.0, 443.0, 36.0], shoonya_4sP5MAAR1U4K3U, 6472355]
[paragraph, [125.0, 1262.0, 443.0, 36.0], shoonya_4sP5MAAR1U4K3U, 6472355]
[paragraph, [125.0, 1298.0, 443.0, 36.0], shoonya_4sP5MAAR1U4K3U, 6472355]
[paragraph, [125.0, 1334.0, 443.0, 36.0], shoonya_4sP5MAAR1U4K3U, 6472355]
[paragraph, [125.0, 1370.0, 443.0, 36.0], shoonya_4sP5MAAR1U4K3U, 6472355]
[paragraph, [125.0, 1406.0, 443.0, 36.0], shoonya_4sP5MAAR1U4K3U, 6472355]
[contact-info, [885.0, 1395.0, 156.0, 36.0], shoonya_12sTPEL4VX0D8F, 6472355]
