[1238, 769]
[paragraph, [76.0, 74.0, 625.0, 18.0], xuNiMB-ajb, 6470111]
[paragraph, [76.0, 92.0, 625.0, 18.0], xuNiMB-ajb, 6470111]
[paragraph, [76.0, 110.0, 625.0, 18.0], xuNiMB-ajb, 6470111]
[paragraph, [78.0, 133.0, 623.0, 18.0], 4EPnAYZg3g, 6470111]
[paragraph, [78.0, 151.0, 623.0, 18.0], 4EPnAYZg3g, 6470111]
[paragraph, [78.0, 169.0, 623.0, 18.0], 4EPnAYZg3g, 6470111]
[paragraph, [78.0, 187.0, 623.0, 18.0], 4EPnAYZg3g, 6470111]
[paragraph, [78.0, 205.0, 623.0, 18.0], 4EPnAYZg3g, 6470111]
[paragraph, [78.0, 223.0, 623.0, 18.0], 4EPnAYZg3g, 6470111]
[paragraph, [78.0, 241.0, 623.0, 18.0], 4EPnAYZg3g, 6470111]
[paragraph, [78.0, 259.0, 623.0, 18.0], 4EPnAYZg3g, 6470111]
[paragraph, [78.0, 277.0, 623.0, 18.0], 4EPnAYZg3g, 6470111]
[paragraph, [78.0, 295.0, 623.0, 18.0], 4EPnAYZg3g, 6470111]
[paragraph, [78.0, 313.0, 623.0, 18.0], 4EPnAYZg3g, 6470111]
[paragraph, [78.0, 331.0, 623.0, 18.0], 4EPnAYZg3g, 6470111]
[paragraph, [78.0, 349.0, 623.0, 18.0], 4EPnAYZg3g, 6470111]
[paragraph, [78.0, 367.0, 623.0, 18.0], 4EPnAYZg3g, 6470111]
[paragraph, [78.0, 405.0, 623.0, 18.0], qGw6xSwmm1, 6470111]
[paragraph, [78.0, 423.0, 623.0, 18.0], qGw6xSwmm1, 6470111]
[paragraph, [78.0, 441.0, 623.0, 18.0], qGw6xSwmm1, 6470111]
[paragraph, [78.0, 459.0, 623.0, 18.0], qGw6xSwmm1, 6470111]
[paragraph, [76.0, 495.0, 622.0, 18.0], csONdSrEF_, 6470111]
[paragraph, [76.0, 513.0, 622.0, 18.0], csONdSrEF_, 6470111]
[paragraph, [76.0, 531.0, 622.0, 18.0], csONdSrEF_, 6470111]
[paragraph, [77.0, 553.0, 623.0, 18.0], fg73Vvc6iT, 6470111]
[paragraph, [77.0, 571.0, 623.0, 18.0], fg73Vvc6iT, 6470111]
[paragraph, [77.0, 589.0, 623.0, 18.0], fg73Vvc6iT, 6470111]
[paragraph, [77.0, 612.0, 621.0, 18.0], K_DIVB1F8j, 6470111]
[paragraph, [77.0, 630.0, 621.0, 18.0], K_DIVB1F8j, 6470111]
[paragraph, [77.0, 648.0, 621.0, 18.0], K_DIVB1F8j, 6470111]
[paragraph, [77.0, 666.0, 621.0, 18.0], K_DIVB1F8j, 6470111]
[paragraph, [77.0, 684.0, 621.0, 18.0], K_DIVB1F8j, 6470111]
[paragraph, [77.0, 702.0, 621.0, 18.0], K_DIVB1F8j, 6470111]
[paragraph, [77.0, 720.0, 621.0, 18.0], K_DIVB1F8j, 6470111]
[paragraph, [77.0, 738.0, 621.0, 18.0], K_DIVB1F8j, 6470111]
[paragraph, [77.0, 756.0, 621.0, 18.0], K_DIVB1F8j, 6470111]
[paragraph, [77.0, 774.0, 621.0, 18.0], K_DIVB1F8j, 6470111]
[paragraph, [77.0, 792.0, 621.0, 18.0], K_DIVB1F8j, 6470111]
[paragraph, [77.0, 810.0, 621.0, 18.0], K_DIVB1F8j, 6470111]
[paragraph, [77.0, 828.0, 621.0, 18.0], K_DIVB1F8j, 6470111]
[paragraph, [77.0, 846.0, 621.0, 18.0], K_DIVB1F8j, 6470111]
[paragraph, [76.0, 879.0, 623.0, 18.0], PBw_jnz9KO, 6470111]
[paragraph, [76.0, 897.0, 623.0, 18.0], PBw_jnz9KO, 6470111]
[paragraph, [76.0, 915.0, 623.0, 18.0], PBw_jnz9KO, 6470111]
[paragraph, [76.0, 933.0, 623.0, 18.0], PBw_jnz9KO, 6470111]
[paragraph, [76.0, 951.0, 623.0, 18.0], PBw_jnz9KO, 6470111]
[paragraph, [75.0, 968.0, 623.0, 18.0], 9EifKsYST4, 6470111]
[paragraph, [75.0, 986.0, 623.0, 18.0], 9EifKsYST4, 6470111]
[paragraph, [75.0, 1004.0, 623.0, 18.0], 9EifKsYST4, 6470111]
[paragraph, [74.0, 1031.0, 625.0, 18.0], 8ADVi9vKwZ, 6470111]
[paragraph, [74.0, 1049.0, 625.0, 18.0], 8ADVi9vKwZ, 6470111]
[paragraph, [74.0, 1067.0, 625.0, 18.0], 8ADVi9vKwZ, 6470111]
[folio, [103.0, 1099.0, 198.0, 18.0], 8CF-DtEhxw, 6470111]
