[842, 596]
[ordered-list, [71.0, 52.0, 473.0, 18.0], shoonya_8sVM383A3IG3CI, 5658155]
[ordered-list, [71.0, 70.0, 473.0, 18.0], shoonya_8sVM383A3IG3CI, 5658155]
[ordered-list, [71.0, 88.0, 473.0, 18.0], shoonya_8sVM383A3IG3CI, 5658155]
[ordered-list, [71.0, 106.0, 473.0, 18.0], shoonya_8sVM383A3IG3CI, 5658155]
[ordered-list, [71.0, 124.0, 473.0, 18.0], shoonya_8sVM383A3IG3CI, 5658155]
[ordered-list, [71.0, 142.0, 473.0, 18.0], shoonya_8sVM383A3IG3CI, 5658155]
[ordered-list, [71.0, 160.0, 473.0, 18.0], shoonya_8sVM383A3IG3CI, 5658155]
[ordered-list, [71.0, 178.0, 473.0, 18.0], shoonya_8sVM383A3IG3CI, 5658155]
[ordered-list, [71.0, 196.0, 473.0, 18.0], shoonya_8sVM383A3IG3CI, 5658155]
[ordered-list, [71.0, 214.0, 473.0, 18.0], shoonya_8sVM383A3IG3CI, 5658155]
[ordered-list, [71.0, 232.0, 473.0, 18.0], shoonya_8sVM383A3IG3CI, 5658155]
[ordered-list, [71.0, 250.0, 473.0, 18.0], shoonya_8sVM383A3IG3CI, 5658155]
[ordered-list, [71.0, 268.0, 473.0, 18.0], shoonya_8sVM383A3IG3CI, 5658155]
[ordered-list, [71.0, 286.0, 473.0, 18.0], shoonya_8sVM383A3IG3CI, 5658155]
[ordered-list, [71.0, 304.0, 473.0, 18.0], shoonya_8sVM383A3IG3CI, 5658155]
[ordered-list, [71.0, 322.0, 473.0, 18.0], shoonya_8sVM383A3IG3CI, 5658155]
[ordered-list, [71.0, 340.0, 473.0, 18.0], shoonya_8sVM383A3IG3CI, 5658155]
[ordered-list, [71.0, 358.0, 473.0, 18.0], shoonya_8sVM383A3IG3CI, 5658155]
[ordered-list, [71.0, 376.0, 473.0, 18.0], shoonya_8sVM383A3IG3CI, 5658155]
[ordered-list, [71.0, 394.0, 473.0, 18.0], shoonya_8sVM383A3IG3CI, 5658155]
[ordered-list, [71.0, 412.0, 473.0, 18.0], shoonya_8sVM383A3IG3CI, 5658155]
[ordered-list, [71.0, 430.0, 473.0, 18.0], shoonya_8sVM383A3IG3CI, 5658155]
[ordered-list, [71.0, 448.0, 473.0, 18.0], shoonya_8sVM383A3IG3CI, 5658155]
[ordered-list, [71.0, 466.0, 473.0, 18.0], shoonya_8sVM383A3IG3CI, 5658155]
[ordered-list, [71.0, 484.0, 473.0, 18.0], shoonya_8sVM383A3IG3CI, 5658155]
[ordered-list, [71.0, 502.0, 473.0, 18.0], shoonya_8sVM383A3IG3CI, 5658155]
[ordered-list, [71.0, 520.0, 473.0, 18.0], shoonya_8sVM383A3IG3CI, 5658155]
[ordered-list, [71.0, 538.0, 473.0, 18.0], shoonya_8sVM383A3IG3CI, 5658155]
[ordered-list, [71.0, 556.0, 473.0, 18.0], shoonya_8sVM383A3IG3CI, 5658155]
[ordered-list, [71.0, 574.0, 473.0, 18.0], shoonya_8sVM383A3IG3CI, 5658155]
[ordered-list, [71.0, 592.0, 473.0, 18.0], shoonya_8sVM383A3IG3CI, 5658155]
[ordered-list, [71.0, 610.0, 473.0, 18.0], shoonya_8sVM383A3IG3CI, 5658155]
[ordered-list, [76.0, 709.0, 328.0, 18.0], shoonya_6sQFV0SBH4QW98, 5658155]
[ordered-list, [76.0, 727.0, 328.0, 18.0], shoonya_6sQFV0SBH4QW98, 5658155]
[footnote, [79.0, 778.0, 463.0, 18.0], shoonya_7sQRGNI367SUHE, 5658155]
