[2200, 1700]
[folio, [774.0, 393.0, 144.0, 36.0], shoonya_4sJHYGAG44CUSM, 5732838]
[paragraph, [468.0, 487.0, 770.0, 36.0], shoonya_3sUG75KWWUPG5D, 5732838]
[paragraph, [468.0, 523.0, 770.0, 36.0], shoonya_3sUG75KWWUPG5D, 5732838]
[paragraph, [468.0, 559.0, 770.0, 36.0], shoonya_3sUG75KWWUPG5D, 5732838]
[paragraph, [455.0, 605.0, 792.0, 36.0], shoonya_0sA7LFNXIXBF22, 5732838]
[paragraph, [455.0, 641.0, 792.0, 36.0], shoonya_0sA7LFNXIXBF22, 5732838]
[paragraph, [455.0, 677.0, 792.0, 36.0], shoonya_0sA7LFNXIXBF22, 5732838]
[paragraph, [455.0, 713.0, 792.0, 36.0], shoonya_0sA7LFNXIXBF22, 5732838]
[paragraph, [455.0, 749.0, 792.0, 36.0], shoonya_0sA7LFNXIXBF22, 5732838]
[paragraph, [455.0, 785.0, 792.0, 36.0], shoonya_0sA7LFNXIXBF22, 5732838]
[paragraph, [455.0, 821.0, 792.0, 36.0], shoonya_0sA7LFNXIXBF22, 5732838]
[paragraph, [455.0, 857.0, 792.0, 36.0], shoonya_0sA7LFNXIXBF22, 5732838]
[paragraph, [455.0, 893.0, 792.0, 36.0], shoonya_0sA7LFNXIXBF22, 5732838]
[paragraph, [455.0, 929.0, 792.0, 36.0], shoonya_0sA7LFNXIXBF22, 5732838]
[paragraph, [455.0, 965.0, 792.0, 36.0], shoonya_0sA7LFNXIXBF22, 5732838]
[paragraph, [455.0, 1001.0, 792.0, 36.0], shoonya_0sA7LFNXIXBF22, 5732838]
[paragraph, [455.0, 1037.0, 792.0, 36.0], shoonya_0sA7LFNXIXBF22, 5732838]
[paragraph, [455.0, 1073.0, 792.0, 36.0], shoonya_0sA7LFNXIXBF22, 5732838]
[paragraph, [455.0, 1109.0, 792.0, 36.0], shoonya_0sA7LFNXIXBF22, 5732838]
[paragraph, [455.0, 1145.0, 792.0, 36.0], shoonya_0sA7LFNXIXBF22, 5732838]
[paragraph, [455.0, 1181.0, 792.0, 36.0], shoonya_0sA7LFNXIXBF22, 5732838]
[paragraph, [455.0, 1217.0, 792.0, 36.0], shoonya_0sA7LFNXIXBF22, 5732838]
[paragraph, [455.0, 1253.0, 792.0, 36.0], shoonya_0sA7LFNXIXBF22, 5732838]
[paragraph, [455.0, 1289.0, 792.0, 36.0], shoonya_0sA7LFNXIXBF22, 5732838]
[paragraph, [455.0, 1325.0, 792.0, 36.0], shoonya_0sA7LFNXIXBF22, 5732838]
[paragraph, [455.0, 1361.0, 792.0, 36.0], shoonya_0sA7LFNXIXBF22, 5732838]
[paragraph, [455.0, 1397.0, 792.0, 36.0], shoonya_0sA7LFNXIXBF22, 5732838]
[paragraph, [455.0, 1433.0, 792.0, 36.0], shoonya_0sA7LFNXIXBF22, 5732838]
[paragraph, [455.0, 1469.0, 792.0, 36.0], shoonya_0sA7LFNXIXBF22, 5732838]
[paragraph, [455.0, 1505.0, 792.0, 36.0], shoonya_0sA7LFNXIXBF22, 5732838]
[paragraph, [455.0, 1541.0, 792.0, 36.0], shoonya_0sA7LFNXIXBF22, 5732838]
[paragraph, [498.0, 1591.0, 753.0, 36.0], Z2YRTVnBhV, 5732838]
[paragraph, [459.0, 1659.0, 793.0, 36.0], shoonya_1sDWBBBLD8ETX1, 5732838]
[paragraph, [459.0, 1695.0, 793.0, 36.0], shoonya_1sDWBBBLD8ETX1, 5732838]
[paragraph, [459.0, 1731.0, 793.0, 36.0], shoonya_1sDWBBBLD8ETX1, 5732838]
[footnote, [1293.0, 2021.0, 225.0, 36.0], m6MAzVnmCC, 5732838]
[footnote, [1293.0, 2057.0, 225.0, 36.0], m6MAzVnmCC, 5732838]
[folio, [800.0, 2106.0, 191.0, 36.0], ueB1f4MSoE, 5732838]
