[576, 360]
[folio, [62.0, 31.0, 76.0, 18.0], DnWGgpYrg0, 6517442]
[paragraph, [29.0, 59.0, 302.0, 18.0], shoonya_0sSJSDDTJEW4VX, 6517442]
[paragraph, [29.0, 77.0, 302.0, 18.0], shoonya_0sSJSDDTJEW4VX, 6517442]
[paragraph, [29.0, 95.0, 302.0, 18.0], shoonya_0sSJSDDTJEW4VX, 6517442]
[paragraph, [29.0, 113.0, 302.0, 18.0], shoonya_0sSJSDDTJEW4VX, 6517442]
[paragraph, [29.0, 131.0, 302.0, 18.0], shoonya_0sSJSDDTJEW4VX, 6517442]
[paragraph, [30.0, 165.0, 303.0, 18.0], shoonya_1sR68EGJPCCQ4R, 6517442]
[paragraph, [30.0, 183.0, 303.0, 18.0], shoonya_1sR68EGJPCCQ4R, 6517442]
[paragraph, [30.0, 201.0, 303.0, 18.0], shoonya_1sR68EGJPCCQ4R, 6517442]
[paragraph, [30.0, 219.0, 303.0, 18.0], shoonya_1sR68EGJPCCQ4R, 6517442]
[paragraph, [30.0, 237.0, 303.0, 18.0], shoonya_1sR68EGJPCCQ4R, 6517442]
[paragraph, [30.0, 255.0, 303.0, 18.0], shoonya_1sR68EGJPCCQ4R, 6517442]
[paragraph, [30.0, 273.0, 303.0, 18.0], shoonya_1sR68EGJPCCQ4R, 6517442]
[paragraph, [30.0, 291.0, 303.0, 18.0], shoonya_1sR68EGJPCCQ4R, 6517442]
[paragraph, [30.0, 309.0, 303.0, 18.0], shoonya_1sR68EGJPCCQ4R, 6517442]
[paragraph, [30.0, 327.0, 303.0, 18.0], shoonya_1sR68EGJPCCQ4R, 6517442]
[paragraph, [30.0, 345.0, 303.0, 18.0], shoonya_1sR68EGJPCCQ4R, 6517442]
[paragraph, [30.0, 363.0, 303.0, 18.0], shoonya_1sR68EGJPCCQ4R, 6517442]
[paragraph, [30.0, 381.0, 303.0, 18.0], shoonya_1sR68EGJPCCQ4R, 6517442]
[paragraph, [30.0, 399.0, 303.0, 18.0], shoonya_1sR68EGJPCCQ4R, 6517442]
[paragraph, [30.0, 417.0, 303.0, 18.0], shoonya_1sR68EGJPCCQ4R, 6517442]
[paragraph, [30.0, 435.0, 303.0, 18.0], shoonya_1sR68EGJPCCQ4R, 6517442]
[paragraph, [30.0, 453.0, 303.0, 18.0], shoonya_1sR68EGJPCCQ4R, 6517442]
[paragraph, [30.0, 471.0, 303.0, 18.0], shoonya_1sR68EGJPCCQ4R, 6517442]
[paragraph, [30.0, 489.0, 303.0, 18.0], shoonya_1sR68EGJPCCQ4R, 6517442]
[paragraph, [30.0, 507.0, 303.0, 18.0], shoonya_1sR68EGJPCCQ4R, 6517442]
