[1725, 1313]
[headline, [164.0, 149.0, 297.0, 37.5], GJ56NJVDul, 5771936]
[headline, [164.0, 186.5, 297.0, 37.5], GJ56NJVDul, 5771936]
[sub-headline, [265.0, 248.0, 781.0, 36.0], shoonya_4sTRDZN2AN3IE8, 5771936]
[sub-headline, [265.0, 284.0, 781.0, 36.0], shoonya_4sTRDZN2AN3IE8, 5771936]
[paragraph, [149.0, 322.0, 1015.0, 36.0], shoonya_2sVP128SXPLCU3, 5771936]
[paragraph, [149.0, 358.0, 1015.0, 36.0], shoonya_2sVP128SXPLCU3, 5771936]
[paragraph, [149.0, 394.0, 1015.0, 36.0], shoonya_2sVP128SXPLCU3, 5771936]
[paragraph, [149.0, 430.0, 1015.0, 36.0], shoonya_2sVP128SXPLCU3, 5771936]
[paragraph, [151.0, 486.0, 1013.0, 36.0], Mvo3Jlh3_t, 5771936]
[paragraph, [151.0, 522.0, 1013.0, 36.0], Mvo3Jlh3_t, 5771936]
[paragraph, [151.0, 558.0, 1013.0, 36.0], Mvo3Jlh3_t, 5771936]
[paragraph, [151.0, 594.0, 1013.0, 36.0], Mvo3Jlh3_t, 5771936]
[paragraph, [151.0, 630.0, 1013.0, 36.0], Mvo3Jlh3_t, 5771936]
[paragraph, [152.0, 683.0, 1012.0, 36.0], IqN_6iqS3L, 5771936]
[paragraph, [152.0, 719.0, 1012.0, 36.0], IqN_6iqS3L, 5771936]
[paragraph, [152.0, 755.0, 1012.0, 36.0], IqN_6iqS3L, 5771936]
[paragraph, [152.0, 791.0, 1012.0, 36.0], IqN_6iqS3L, 5771936]
[paragraph, [152.0, 827.0, 1012.0, 36.0], IqN_6iqS3L, 5771936]
[paragraph, [152.0, 863.0, 1012.0, 36.0], IqN_6iqS3L, 5771936]
[paragraph, [153.0, 914.0, 1011.0, 36.0], shoonya_0sBNI051WDAS65, 5771936]
[paragraph, [153.0, 950.0, 1011.0, 36.0], shoonya_0sBNI051WDAS65, 5771936]
[paragraph, [153.0, 986.0, 1011.0, 36.0], shoonya_0sBNI051WDAS65, 5771936]
[paragraph, [153.0, 1022.0, 1011.0, 36.0], shoonya_0sBNI051WDAS65, 5771936]
[paragraph, [151.0, 1068.0, 1014.0, 36.0], shoonya_1sAZ9XAZ3N5EY9, 5771936]
[paragraph, [151.0, 1104.0, 1014.0, 36.0], shoonya_1sAZ9XAZ3N5EY9, 5771936]
[paragraph, [151.0, 1140.0, 1014.0, 36.0], shoonya_1sAZ9XAZ3N5EY9, 5771936]
[paragraph, [151.0, 1176.0, 1014.0, 36.0], shoonya_1sAZ9XAZ3N5EY9, 5771936]
[paragraph, [151.0, 1212.0, 1014.0, 36.0], shoonya_1sAZ9XAZ3N5EY9, 5771936]
[paragraph, [151.0, 1248.0, 1014.0, 36.0], shoonya_1sAZ9XAZ3N5EY9, 5771936]
[paragraph, [151.0, 1284.0, 1014.0, 36.0], shoonya_1sAZ9XAZ3N5EY9, 5771936]
[paragraph, [151.0, 1320.0, 1014.0, 36.0], shoonya_1sAZ9XAZ3N5EY9, 5771936]
[paragraph, [151.0, 1356.0, 1014.0, 36.0], shoonya_1sAZ9XAZ3N5EY9, 5771936]
[paragraph, [152.0, 1411.0, 1014.0, 36.0], shoonya_3sYWJHEUPCXNFK, 5771936]
[paragraph, [151.0, 1447.0, 805.0, 36.0], 23CHOYfT9H, 5771936]
[author, [961.0, 1450.0, 207.0, 36.0], dqgvAnAnPz, 5771936]
[author, [961.0, 1486.0, 207.0, 36.0], dqgvAnAnPz, 5771936]
