[2084, 1289]
[paragraph, [126.0, 261.0, 1044.0, 36.0], shoonya_0sQXM5MHBGQ9FB, 5660908]
[paragraph, [126.0, 297.0, 1044.0, 36.0], shoonya_0sQXM5MHBGQ9FB, 5660908]
[paragraph, [126.0, 333.0, 1044.0, 36.0], shoonya_0sQXM5MHBGQ9FB, 5660908]
[paragraph, [126.0, 369.0, 1044.0, 36.0], shoonya_0sQXM5MHBGQ9FB, 5660908]
[paragraph, [126.0, 405.0, 1044.0, 36.0], shoonya_0sQXM5MHBGQ9FB, 5660908]
[paragraph, [126.0, 441.0, 1044.0, 36.0], shoonya_0sQXM5MHBGQ9FB, 5660908]
[paragraph, [126.0, 477.0, 1044.0, 36.0], shoonya_0sQXM5MHBGQ9FB, 5660908]
[paragraph, [126.0, 513.0, 1044.0, 36.0], shoonya_0sQXM5MHBGQ9FB, 5660908]
[paragraph, [126.0, 549.0, 1044.0, 36.0], shoonya_0sQXM5MHBGQ9FB, 5660908]
[paragraph, [126.0, 585.0, 1044.0, 36.0], shoonya_0sQXM5MHBGQ9FB, 5660908]
[paragraph, [126.0, 621.0, 1044.0, 36.0], shoonya_0sQXM5MHBGQ9FB, 5660908]
[paragraph, [126.0, 657.0, 1044.0, 36.0], shoonya_0sQXM5MHBGQ9FB, 5660908]
[paragraph, [126.0, 693.0, 1044.0, 36.0], shoonya_0sQXM5MHBGQ9FB, 5660908]
[paragraph, [126.0, 729.0, 1044.0, 36.0], shoonya_0sQXM5MHBGQ9FB, 5660908]
[paragraph, [126.0, 765.0, 1044.0, 36.0], shoonya_0sQXM5MHBGQ9FB, 5660908]
[paragraph, [126.0, 801.0, 1044.0, 36.0], shoonya_0sQXM5MHBGQ9FB, 5660908]
[paragraph, [126.0, 837.0, 1044.0, 36.0], shoonya_0sQXM5MHBGQ9FB, 5660908]
[paragraph, [126.0, 873.0, 1044.0, 36.0], shoonya_0sQXM5MHBGQ9FB, 5660908]
[paragraph, [112.0, 925.0, 1057.0, 36.0], shoonya_2s06WWHJHG6B2A, 5660908]
[paragraph, [112.0, 961.0, 1057.0, 36.0], shoonya_2s06WWHJHG6B2A, 5660908]
[paragraph, [112.0, 997.0, 1057.0, 36.0], shoonya_2s06WWHJHG6B2A, 5660908]
[paragraph, [112.0, 1033.0, 1057.0, 36.0], shoonya_2s06WWHJHG6B2A, 5660908]
[paragraph, [112.0, 1069.0, 1057.0, 36.0], shoonya_2s06WWHJHG6B2A, 5660908]
[paragraph, [102.0, 1118.0, 1062.0, 36.0], shoonya_1sN7GUTBL76BVK, 5660908]
[paragraph, [102.0, 1154.0, 1062.0, 36.0], shoonya_1sN7GUTBL76BVK, 5660908]
[paragraph, [102.0, 1190.0, 1062.0, 36.0], shoonya_1sN7GUTBL76BVK, 5660908]
[paragraph, [102.0, 1226.0, 1062.0, 36.0], shoonya_1sN7GUTBL76BVK, 5660908]
[paragraph, [102.0, 1262.0, 1062.0, 36.0], shoonya_1sN7GUTBL76BVK, 5660908]
[paragraph, [102.0, 1298.0, 1062.0, 36.0], shoonya_1sN7GUTBL76BVK, 5660908]
[paragraph, [102.0, 1334.0, 1062.0, 36.0], shoonya_1sN7GUTBL76BVK, 5660908]
[paragraph, [102.0, 1370.0, 1062.0, 36.0], shoonya_1sN7GUTBL76BVK, 5660908]
[paragraph, [102.0, 1406.0, 1062.0, 36.0], shoonya_1sN7GUTBL76BVK, 5660908]
[paragraph, [102.0, 1442.0, 1062.0, 36.0], shoonya_1sN7GUTBL76BVK, 5660908]
[paragraph, [102.0, 1478.0, 1062.0, 36.0], shoonya_1sN7GUTBL76BVK, 5660908]
[paragraph, [102.0, 1514.0, 1062.0, 36.0], shoonya_1sN7GUTBL76BVK, 5660908]
[paragraph, [102.0, 1550.0, 1062.0, 36.0], shoonya_1sN7GUTBL76BVK, 5660908]
[paragraph, [102.0, 1586.0, 1062.0, 36.0], shoonya_1sN7GUTBL76BVK, 5660908]
[paragraph, [102.0, 1622.0, 1062.0, 36.0], shoonya_1sN7GUTBL76BVK, 5660908]
[paragraph, [102.0, 1658.0, 1062.0, 36.0], shoonya_1sN7GUTBL76BVK, 5660908]
[paragraph, [102.0, 1694.0, 1062.0, 36.0], shoonya_1sN7GUTBL76BVK, 5660908]
[paragraph, [102.0, 1730.0, 1062.0, 36.0], shoonya_1sN7GUTBL76BVK, 5660908]
[paragraph, [102.0, 1766.0, 1062.0, 36.0], shoonya_1sN7GUTBL76BVK, 5660908]
[paragraph, [102.0, 1802.0, 1062.0, 36.0], shoonya_1sN7GUTBL76BVK, 5660908]
[paragraph, [102.0, 1838.0, 1062.0, 36.0], shoonya_1sN7GUTBL76BVK, 5660908]
[folio, [639.0, 1938.0, 648.0, 36.0], shoonya_3sVWHQND43MWI9, 5660908]
