[2339, 1653]
[paragraph, [298.0, 207.0, 1058.0, 36.0], shoonya_2sSQSXFET1ZPYI, 5685765]
[paragraph, [298.0, 243.0, 1058.0, 36.0], shoonya_2sSQSXFET1ZPYI, 5685765]
[paragraph, [298.0, 279.0, 1058.0, 36.0], shoonya_2sSQSXFET1ZPYI, 5685765]
[paragraph, [298.0, 315.0, 1058.0, 36.0], shoonya_2sSQSXFET1ZPYI, 5685765]
[paragraph, [298.0, 351.0, 1058.0, 36.0], shoonya_2sSQSXFET1ZPYI, 5685765]
[paragraph, [298.0, 387.0, 1058.0, 36.0], shoonya_2sSQSXFET1ZPYI, 5685765]
[paragraph, [298.0, 423.0, 1058.0, 36.0], shoonya_2sSQSXFET1ZPYI, 5685765]
[paragraph, [298.0, 459.0, 1058.0, 36.0], shoonya_2sSQSXFET1ZPYI, 5685765]
[paragraph, [298.0, 495.0, 1058.0, 36.0], shoonya_2sSQSXFET1ZPYI, 5685765]
[reference, [762.0, 547.0, 584.0, 36.0], PSZhlqNIE0, 5685765]
[paragraph, [229.0, 628.0, 1198.0, 36.0], VfWAZLv7_Z, 5685765]
[paragraph, [229.0, 664.0, 1198.0, 36.0], VfWAZLv7_Z, 5685765]
[paragraph, [229.0, 700.0, 1198.0, 36.0], VfWAZLv7_Z, 5685765]
[paragraph, [229.0, 736.0, 1198.0, 36.0], VfWAZLv7_Z, 5685765]
[paragraph, [229.0, 772.0, 1198.0, 36.0], VfWAZLv7_Z, 5685765]
[paragraph, [229.0, 808.0, 1198.0, 36.0], VfWAZLv7_Z, 5685765]
[paragraph, [295.0, 867.0, 1059.0, 36.0], vkaN0URnnz, 5685765]
[paragraph, [295.0, 903.0, 1059.0, 36.0], vkaN0URnnz, 5685765]
[paragraph, [295.0, 939.0, 1059.0, 36.0], vkaN0URnnz, 5685765]
[paragraph, [295.0, 975.0, 1059.0, 36.0], vkaN0URnnz, 5685765]
[paragraph, [295.0, 1011.0, 1059.0, 36.0], vkaN0URnnz, 5685765]
[paragraph, [295.0, 1047.0, 1059.0, 36.0], vkaN0URnnz, 5685765]
[paragraph, [295.0, 1083.0, 1059.0, 36.0], vkaN0URnnz, 5685765]
[paragraph, [295.0, 1119.0, 1059.0, 36.0], vkaN0URnnz, 5685765]
[paragraph, [295.0, 1155.0, 1059.0, 36.0], vkaN0URnnz, 5685765]
[paragraph, [295.0, 1191.0, 1059.0, 36.0], vkaN0URnnz, 5685765]
[paragraph, [295.0, 1227.0, 1059.0, 36.0], vkaN0URnnz, 5685765]
[paragraph, [295.0, 1263.0, 1059.0, 36.0], vkaN0URnnz, 5685765]
[reference, [762.0, 1353.0, 580.0, 36.0], uA0cjp72Cu, 5685765]
[paragraph, [220.0, 1432.0, 1210.0, 36.0], shoonya_0sFB1VAJFE51OL, 5685765]
[paragraph, [220.0, 1468.0, 1210.0, 36.0], shoonya_0sFB1VAJFE51OL, 5685765]
[paragraph, [220.0, 1504.0, 1210.0, 36.0], shoonya_0sFB1VAJFE51OL, 5685765]
[paragraph, [220.0, 1540.0, 1210.0, 36.0], shoonya_0sFB1VAJFE51OL, 5685765]
[paragraph, [220.0, 1576.0, 1210.0, 36.0], shoonya_0sFB1VAJFE51OL, 5685765]
[paragraph, [220.0, 1612.0, 1210.0, 36.0], shoonya_0sFB1VAJFE51OL, 5685765]
[paragraph, [220.0, 1648.0, 1210.0, 36.0], shoonya_0sFB1VAJFE51OL, 5685765]
[paragraph, [220.0, 1684.0, 1210.0, 36.0], shoonya_0sFB1VAJFE51OL, 5685765]
[paragraph, [220.0, 1720.0, 1210.0, 36.0], shoonya_0sFB1VAJFE51OL, 5685765]
[paragraph, [220.0, 1756.0, 1210.0, 36.0], shoonya_0sFB1VAJFE51OL, 5685765]
[paragraph, [220.0, 1792.0, 1210.0, 36.0], shoonya_0sFB1VAJFE51OL, 5685765]
[paragraph, [220.0, 1828.0, 1210.0, 36.0], shoonya_0sFB1VAJFE51OL, 5685765]
[paragraph, [220.0, 1864.0, 1210.0, 36.0], shoonya_0sFB1VAJFE51OL, 5685765]
[paragraph, [220.0, 1900.0, 1210.0, 36.0], shoonya_0sFB1VAJFE51OL, 5685765]
[paragraph, [220.0, 1936.0, 1210.0, 36.0], shoonya_0sFB1VAJFE51OL, 5685765]
[paragraph, [303.0, 1993.0, 1051.0, 36.0], H9j-PLaMUA, 5685765]
[paragraph, [303.0, 2029.0, 1051.0, 36.0], H9j-PLaMUA, 5685765]
[paragraph, [303.0, 2065.0, 1051.0, 36.0], H9j-PLaMUA, 5685765]
