[1320, 1176]
[folio, [947.0, 66.0, 133.0, 18.0], shoonya_2s9DNUSHGQ90JF, 5694211]
[folio, [947.0, 84.0, 133.0, 18.0], shoonya_2s9DNUSHGQ90JF, 5694211]
[folio, [947.0, 102.0, 133.0, 18.0], shoonya_2s9DNUSHGQ90JF, 5694211]
[folio, [947.0, 120.0, 133.0, 18.0], shoonya_2s9DNUSHGQ90JF, 5694211]
[folio, [947.0, 138.0, 133.0, 18.0], shoonya_2s9DNUSHGQ90JF, 5694211]
[paragraph, [101.0, 196.0, 317.0, 18.0], A7FNtNnO3E, 5694211]
[paragraph, [101.0, 214.0, 317.0, 18.0], A7FNtNnO3E, 5694211]
[chapter-title, [695.0, 226.0, 146.0, 30.0], mrboS_SEPh, 5694211]
[paragraph, [96.0, 280.0, 320.0, 18.0], hW7O2BOHx-, 5694211]
[paragraph, [96.0, 298.0, 320.0, 18.0], hW7O2BOHx-, 5694211]
[paragraph, [96.0, 316.0, 320.0, 18.0], hW7O2BOHx-, 5694211]
[paragraph, [96.0, 334.0, 320.0, 18.0], hW7O2BOHx-, 5694211]
[paragraph, [96.0, 352.0, 320.0, 18.0], hW7O2BOHx-, 5694211]
[paragraph, [96.0, 370.0, 320.0, 18.0], hW7O2BOHx-, 5694211]
[paragraph, [96.0, 388.0, 320.0, 18.0], hW7O2BOHx-, 5694211]
[paragraph, [96.0, 406.0, 320.0, 18.0], hW7O2BOHx-, 5694211]
[paragraph, [96.0, 424.0, 320.0, 18.0], hW7O2BOHx-, 5694211]
[paragraph, [96.0, 442.0, 320.0, 18.0], hW7O2BOHx-, 5694211]
[paragraph, [96.0, 460.0, 320.0, 18.0], hW7O2BOHx-, 5694211]
[paragraph, [96.0, 478.0, 320.0, 18.0], hW7O2BOHx-, 5694211]
[paragraph, [96.0, 496.0, 320.0, 18.0], hW7O2BOHx-, 5694211]
[author, [634.0, 280.0, 248.0, 18.0], ocHnLiYpC6, 5694211]
[paragraph, [537.0, 358.0, 458.0, 18.0], Wy7oWw97Kk, 5694211]
[paragraph, [537.0, 376.0, 458.0, 18.0], Wy7oWw97Kk, 5694211]
[paragraph, [537.0, 394.0, 458.0, 18.0], Wy7oWw97Kk, 5694211]
[paragraph, [537.0, 412.0, 458.0, 18.0], Wy7oWw97Kk, 5694211]
[paragraph, [537.0, 430.0, 458.0, 18.0], Wy7oWw97Kk, 5694211]
[paragraph, [537.0, 448.0, 458.0, 18.0], Wy7oWw97Kk, 5694211]
[paragraph, [537.0, 466.0, 458.0, 18.0], Wy7oWw97Kk, 5694211]
[paragraph, [537.0, 484.0, 458.0, 18.0], Wy7oWw97Kk, 5694211]
[paragraph, [537.0, 502.0, 458.0, 18.0], Wy7oWw97Kk, 5694211]
[paragraph, [537.0, 520.0, 458.0, 18.0], Wy7oWw97Kk, 5694211]
[paragraph, [537.0, 538.0, 458.0, 18.0], Wy7oWw97Kk, 5694211]
[paragraph, [537.0, 556.0, 458.0, 18.0], Wy7oWw97Kk, 5694211]
[paragraph, [537.0, 574.0, 458.0, 18.0], Wy7oWw97Kk, 5694211]
[paragraph, [537.0, 592.0, 458.0, 18.0], Wy7oWw97Kk, 5694211]
[paragraph, [537.0, 610.0, 458.0, 18.0], Wy7oWw97Kk, 5694211]
[paragraph, [537.0, 628.0, 458.0, 18.0], Wy7oWw97Kk, 5694211]
[paragraph, [537.0, 646.0, 458.0, 18.0], Wy7oWw97Kk, 5694211]
[paragraph, [537.0, 664.0, 458.0, 18.0], Wy7oWw97Kk, 5694211]
[paragraph, [537.0, 682.0, 458.0, 18.0], Wy7oWw97Kk, 5694211]
[paragraph, [537.0, 700.0, 458.0, 18.0], Wy7oWw97Kk, 5694211]
[paragraph, [537.0, 718.0, 458.0, 18.0], Wy7oWw97Kk, 5694211]
[paragraph, [537.0, 736.0, 458.0, 18.0], Wy7oWw97Kk, 5694211]
[paragraph, [537.0, 754.0, 458.0, 18.0], Wy7oWw97Kk, 5694211]
[paragraph, [537.0, 772.0, 458.0, 18.0], Wy7oWw97Kk, 5694211]
[paragraph, [91.0, 562.0, 318.0, 18.0], g1eAKD_D7O, 5694211]
[paragraph, [91.0, 580.0, 318.0, 18.0], g1eAKD_D7O, 5694211]
[paragraph, [91.0, 598.0, 318.0, 18.0], g1eAKD_D7O, 5694211]
[paragraph, [91.0, 616.0, 318.0, 18.0], g1eAKD_D7O, 5694211]
[paragraph, [91.0, 634.0, 318.0, 18.0], g1eAKD_D7O, 5694211]
[paragraph, [91.0, 652.0, 318.0, 18.0], g1eAKD_D7O, 5694211]
[paragraph, [91.0, 670.0, 318.0, 18.0], g1eAKD_D7O, 5694211]
[ordered-list, [117.0, 698.0, 211.0, 18.0], 714dBh0GP3, 5694211]
[ordered-list, [117.0, 716.0, 211.0, 18.0], 714dBh0GP3, 5694211]
[ordered-list, [117.0, 734.0, 211.0, 18.0], 714dBh0GP3, 5694211]
[ordered-list, [117.0, 752.0, 211.0, 18.0], 714dBh0GP3, 5694211]
[ordered-list, [117.0, 770.0, 211.0, 18.0], 714dBh0GP3, 5694211]
[ordered-list, [117.0, 788.0, 211.0, 18.0], 714dBh0GP3, 5694211]
[ordered-list, [117.0, 806.0, 211.0, 18.0], 714dBh0GP3, 5694211]
[ordered-list, [117.0, 824.0, 211.0, 18.0], 714dBh0GP3, 5694211]
[ordered-list, [117.0, 842.0, 211.0, 18.0], 714dBh0GP3, 5694211]
[ordered-list, [117.0, 860.0, 211.0, 18.0], 714dBh0GP3, 5694211]
