[792, 612]
[folio, [57.0, 55.0, 67.0, 18.0], 1s3OA2DCsl, 6514305]
[section-title, [230.0, 77.0, 151.0, 30.0], Qe3fZmQsPa, 6514305]
[author, [245.0, 140.0, 123.0, 18.0], gHhrRCHqVt, 6514305]
[paragraph, [60.0, 173.0, 160.0, 18.0], 9wt9U858bW, 6514305]
[paragraph, [60.0, 191.0, 160.0, 18.0], 9wt9U858bW, 6514305]
[paragraph, [60.0, 209.0, 160.0, 18.0], 9wt9U858bW, 6514305]
[paragraph, [60.0, 227.0, 160.0, 18.0], 9wt9U858bW, 6514305]
[paragraph, [60.0, 245.0, 160.0, 18.0], 9wt9U858bW, 6514305]
[paragraph, [60.0, 263.0, 160.0, 18.0], 9wt9U858bW, 6514305]
[paragraph, [60.0, 281.0, 160.0, 18.0], 9wt9U858bW, 6514305]
[paragraph, [60.0, 299.0, 160.0, 18.0], 9wt9U858bW, 6514305]
[paragraph, [60.0, 317.0, 160.0, 18.0], 9wt9U858bW, 6514305]
[paragraph, [60.0, 335.0, 160.0, 18.0], 9wt9U858bW, 6514305]
[paragraph, [60.0, 353.0, 160.0, 18.0], 9wt9U858bW, 6514305]
[paragraph, [60.0, 371.0, 160.0, 18.0], 9wt9U858bW, 6514305]
[paragraph, [225.0, 174.0, 127.0, 18.0], 6gGbxGVUFi, 6514305]
[paragraph, [225.0, 192.0, 127.0, 18.0], 6gGbxGVUFi, 6514305]
[paragraph, [225.0, 210.0, 127.0, 18.0], 6gGbxGVUFi, 6514305]
[paragraph, [225.0, 228.0, 127.0, 18.0], 6gGbxGVUFi, 6514305]
[paragraph, [225.0, 246.0, 127.0, 18.0], 6gGbxGVUFi, 6514305]
[paragraph, [225.0, 264.0, 127.0, 18.0], 6gGbxGVUFi, 6514305]
[paragraph, [225.0, 282.0, 127.0, 18.0], 6gGbxGVUFi, 6514305]
[paragraph, [225.0, 300.0, 127.0, 18.0], 6gGbxGVUFi, 6514305]
[paragraph, [225.0, 318.0, 127.0, 18.0], 6gGbxGVUFi, 6514305]
[paragraph, [225.0, 336.0, 127.0, 18.0], 6gGbxGVUFi, 6514305]
[paragraph, [225.0, 354.0, 127.0, 18.0], 6gGbxGVUFi, 6514305]
[paragraph, [226.0, 392.0, 127.0, 18.0], -eXV9mLjW5, 6514305]
[paragraph, [226.0, 410.0, 127.0, 18.0], -eXV9mLjW5, 6514305]
[paragraph, [226.0, 428.0, 127.0, 18.0], -eXV9mLjW5, 6514305]
[paragraph, [60.0, 406.0, 160.0, 18.0], eej2rZj_bv, 6514305]
[paragraph, [60.0, 424.0, 160.0, 18.0], eej2rZj_bv, 6514305]
[paragraph, [60.0, 442.0, 160.0, 18.0], eej2rZj_bv, 6514305]
[paragraph, [60.0, 460.0, 160.0, 18.0], eej2rZj_bv, 6514305]
[paragraph, [60.0, 478.0, 160.0, 18.0], eej2rZj_bv, 6514305]
