[1725, 1313]
[headline, [117.0, 791.0, 747.0, 37.5], shoonya_11s392ED3H6M8Z, 5771887]
[headline, [117.0, 828.5, 747.0, 37.5], shoonya_11s392ED3H6M8Z, 5771887]
[headline, [117.0, 866.0, 747.0, 37.5], shoonya_11s392ED3H6M8Z, 5771887]
[headline, [117.0, 903.5, 747.0, 37.5], shoonya_11s392ED3H6M8Z, 5771887]
[headline, [117.0, 941.0, 747.0, 37.5], shoonya_11s392ED3H6M8Z, 5771887]
[headline, [117.0, 978.5, 747.0, 37.5], shoonya_11s392ED3H6M8Z, 5771887]
[headline, [117.0, 1016.0, 747.0, 37.5], shoonya_11s392ED3H6M8Z, 5771887]
[headline, [117.0, 1053.5, 747.0, 37.5], shoonya_11s392ED3H6M8Z, 5771887]
[headline, [117.0, 1091.0, 747.0, 37.5], shoonya_11s392ED3H6M8Z, 5771887]
[paragraph, [115.0, 1162.0, 540.0, 36.0], shoonya_6s66C9I8OMCF08, 5771887]
[paragraph, [115.0, 1198.0, 540.0, 36.0], shoonya_6s66C9I8OMCF08, 5771887]
[paragraph, [115.0, 1234.0, 540.0, 36.0], shoonya_6s66C9I8OMCF08, 5771887]
[paragraph, [115.0, 1270.0, 540.0, 36.0], shoonya_6s66C9I8OMCF08, 5771887]
[paragraph, [115.0, 1306.0, 540.0, 36.0], shoonya_6s66C9I8OMCF08, 5771887]
[paragraph, [658.0, 1194.0, 531.0, 36.0], shoonya_4s7W0ZOHRYO7HQ, 5771887]
[paragraph, [658.0, 1230.0, 531.0, 36.0], shoonya_4s7W0ZOHRYO7HQ, 5771887]
[paragraph, [658.0, 1266.0, 531.0, 36.0], shoonya_4s7W0ZOHRYO7HQ, 5771887]
[paragraph, [665.0, 1320.0, 525.0, 36.0], shoonya_2sGNWJRHZYD2DA, 5771887]
[paragraph, [665.0, 1356.0, 525.0, 36.0], shoonya_2sGNWJRHZYD2DA, 5771887]
[paragraph, [665.0, 1392.0, 525.0, 36.0], shoonya_2sGNWJRHZYD2DA, 5771887]
[paragraph, [116.0, 1355.0, 541.0, 36.0], shoonya_1s4POVKI7EB1WW, 5771887]
[paragraph, [116.0, 1391.0, 541.0, 36.0], shoonya_1s4POVKI7EB1WW, 5771887]
[paragraph, [116.0, 1427.0, 541.0, 36.0], shoonya_1s4POVKI7EB1WW, 5771887]
[paragraph, [116.0, 1463.0, 541.0, 36.0], shoonya_1s4POVKI7EB1WW, 5771887]
[paragraph, [653.0, 1462.0, 540.0, 36.0], shoonya_3sO50DMCIJN079, 5771887]
[paragraph, [653.0, 1498.0, 540.0, 36.0], shoonya_3sO50DMCIJN079, 5771887]
[folio, [577.0, 1576.0, 146.0, 36.0], nLIaRafsbv, 5771887]
[folio, [75.0, 1678.0, 299.0, 36.0], Wxcvt6sNBy, 5771887]
