[1754, 1241]
[reference, [123.0, 122.0, 492.0, 36.0], shoonya_0sD9LQX9HJNTPK, 5778013]
[reference, [123.0, 158.0, 492.0, 36.0], shoonya_0sD9LQX9HJNTPK, 5778013]
[reference, [123.0, 194.0, 492.0, 36.0], shoonya_0sD9LQX9HJNTPK, 5778013]
[reference, [123.0, 230.0, 492.0, 36.0], shoonya_0sD9LQX9HJNTPK, 5778013]
[reference, [123.0, 266.0, 492.0, 36.0], shoonya_0sD9LQX9HJNTPK, 5778013]
[reference, [123.0, 302.0, 492.0, 36.0], shoonya_0sD9LQX9HJNTPK, 5778013]
[reference, [123.0, 338.0, 492.0, 36.0], shoonya_0sD9LQX9HJNTPK, 5778013]
[reference, [123.0, 374.0, 492.0, 36.0], shoonya_0sD9LQX9HJNTPK, 5778013]
[reference, [123.0, 410.0, 492.0, 36.0], shoonya_0sD9LQX9HJNTPK, 5778013]
[reference, [123.0, 446.0, 492.0, 36.0], shoonya_0sD9LQX9HJNTPK, 5778013]
[reference, [123.0, 482.0, 492.0, 36.0], shoonya_0sD9LQX9HJNTPK, 5778013]
[reference, [123.0, 518.0, 492.0, 36.0], shoonya_0sD9LQX9HJNTPK, 5778013]
[reference, [123.0, 554.0, 492.0, 36.0], shoonya_0sD9LQX9HJNTPK, 5778013]
[reference, [123.0, 590.0, 492.0, 36.0], shoonya_0sD9LQX9HJNTPK, 5778013]
[reference, [123.0, 626.0, 492.0, 36.0], shoonya_0sD9LQX9HJNTPK, 5778013]
[reference, [123.0, 662.0, 492.0, 36.0], shoonya_0sD9LQX9HJNTPK, 5778013]
[reference, [123.0, 698.0, 492.0, 36.0], shoonya_0sD9LQX9HJNTPK, 5778013]
[reference, [123.0, 734.0, 492.0, 36.0], shoonya_0sD9LQX9HJNTPK, 5778013]
[reference, [123.0, 770.0, 492.0, 36.0], shoonya_0sD9LQX9HJNTPK, 5778013]
[reference, [123.0, 806.0, 492.0, 36.0], shoonya_0sD9LQX9HJNTPK, 5778013]
[reference, [123.0, 842.0, 492.0, 36.0], shoonya_0sD9LQX9HJNTPK, 5778013]
[reference, [123.0, 878.0, 492.0, 36.0], shoonya_0sD9LQX9HJNTPK, 5778013]
[reference, [123.0, 914.0, 492.0, 36.0], shoonya_0sD9LQX9HJNTPK, 5778013]
[reference, [123.0, 950.0, 492.0, 36.0], shoonya_0sD9LQX9HJNTPK, 5778013]
[reference, [123.0, 986.0, 492.0, 36.0], shoonya_0sD9LQX9HJNTPK, 5778013]
[reference, [123.0, 1022.0, 492.0, 36.0], shoonya_0sD9LQX9HJNTPK, 5778013]
[reference, [123.0, 1058.0, 492.0, 36.0], shoonya_0sD9LQX9HJNTPK, 5778013]
[reference, [123.0, 1094.0, 492.0, 36.0], shoonya_0sD9LQX9HJNTPK, 5778013]
[reference, [123.0, 1130.0, 492.0, 36.0], shoonya_0sD9LQX9HJNTPK, 5778013]
[reference, [123.0, 1166.0, 492.0, 36.0], shoonya_0sD9LQX9HJNTPK, 5778013]
[reference, [123.0, 1202.0, 492.0, 36.0], shoonya_0sD9LQX9HJNTPK, 5778013]
[reference, [123.0, 1238.0, 492.0, 36.0], shoonya_0sD9LQX9HJNTPK, 5778013]
[reference, [123.0, 1274.0, 492.0, 36.0], shoonya_0sD9LQX9HJNTPK, 5778013]
[reference, [123.0, 1310.0, 492.0, 36.0], shoonya_0sD9LQX9HJNTPK, 5778013]
[reference, [123.0, 1346.0, 492.0, 36.0], shoonya_0sD9LQX9HJNTPK, 5778013]
[reference, [123.0, 1382.0, 492.0, 36.0], shoonya_0sD9LQX9HJNTPK, 5778013]
[reference, [631.0, 133.0, 494.0, 36.0], shoonya_1sA1AG42HXXOJV, 5778013]
[reference, [631.0, 169.0, 494.0, 36.0], shoonya_1sA1AG42HXXOJV, 5778013]
[reference, [631.0, 205.0, 494.0, 36.0], shoonya_1sA1AG42HXXOJV, 5778013]
[reference, [631.0, 241.0, 494.0, 36.0], shoonya_1sA1AG42HXXOJV, 5778013]
[reference, [631.0, 277.0, 494.0, 36.0], shoonya_1sA1AG42HXXOJV, 5778013]
[reference, [631.0, 313.0, 494.0, 36.0], shoonya_1sA1AG42HXXOJV, 5778013]
[reference, [631.0, 349.0, 494.0, 36.0], shoonya_1sA1AG42HXXOJV, 5778013]
[reference, [631.0, 385.0, 494.0, 36.0], shoonya_1sA1AG42HXXOJV, 5778013]
[reference, [631.0, 421.0, 494.0, 36.0], shoonya_1sA1AG42HXXOJV, 5778013]
[reference, [631.0, 457.0, 494.0, 36.0], shoonya_1sA1AG42HXXOJV, 5778013]
[reference, [631.0, 493.0, 494.0, 36.0], shoonya_1sA1AG42HXXOJV, 5778013]
[reference, [631.0, 529.0, 494.0, 36.0], shoonya_1sA1AG42HXXOJV, 5778013]
[reference, [631.0, 565.0, 494.0, 36.0], shoonya_1sA1AG42HXXOJV, 5778013]
[reference, [631.0, 601.0, 494.0, 36.0], shoonya_1sA1AG42HXXOJV, 5778013]
[reference, [631.0, 637.0, 494.0, 36.0], shoonya_1sA1AG42HXXOJV, 5778013]
[reference, [631.0, 673.0, 494.0, 36.0], shoonya_1sA1AG42HXXOJV, 5778013]
[reference, [631.0, 709.0, 494.0, 36.0], shoonya_1sA1AG42HXXOJV, 5778013]
[reference, [631.0, 745.0, 494.0, 36.0], shoonya_1sA1AG42HXXOJV, 5778013]
[reference, [631.0, 781.0, 494.0, 36.0], shoonya_1sA1AG42HXXOJV, 5778013]
[reference, [631.0, 817.0, 494.0, 36.0], shoonya_1sA1AG42HXXOJV, 5778013]
[reference, [631.0, 853.0, 494.0, 36.0], shoonya_1sA1AG42HXXOJV, 5778013]
[reference, [631.0, 889.0, 494.0, 36.0], shoonya_1sA1AG42HXXOJV, 5778013]
[reference, [631.0, 925.0, 494.0, 36.0], shoonya_1sA1AG42HXXOJV, 5778013]
[reference, [631.0, 961.0, 494.0, 36.0], shoonya_1sA1AG42HXXOJV, 5778013]
[reference, [631.0, 997.0, 494.0, 36.0], shoonya_1sA1AG42HXXOJV, 5778013]
[reference, [631.0, 1033.0, 494.0, 36.0], shoonya_1sA1AG42HXXOJV, 5778013]
[reference, [631.0, 1069.0, 494.0, 36.0], shoonya_1sA1AG42HXXOJV, 5778013]
[reference, [631.0, 1105.0, 494.0, 36.0], shoonya_1sA1AG42HXXOJV, 5778013]
