[792, 612]
[section-title, [220.0, 47.0, 147.0, 30.0], MDQtr_bOpm, 5744632]
[paragraph, [138.0, 183.0, 331.0, 18.0], shoonya_2s3A53NVGHK29D, 5744632]
[paragraph, [138.0, 201.0, 331.0, 18.0], shoonya_2s3A53NVGHK29D, 5744632]
[paragraph, [138.0, 219.0, 331.0, 18.0], shoonya_2s3A53NVGHK29D, 5744632]
[paragraph, [138.0, 237.0, 331.0, 18.0], shoonya_2s3A53NVGHK29D, 5744632]
[paragraph, [142.0, 262.0, 304.0, 18.0], TB7AvUIGVi, 5744632]
[ordered-list, [147.0, 299.0, 154.0, 18.0], 5mxJ3TQNE5, 5744632]
[ordered-list, [147.0, 317.0, 154.0, 18.0], 5mxJ3TQNE5, 5744632]
[ordered-list, [147.0, 335.0, 154.0, 18.0], 5mxJ3TQNE5, 5744632]
[ordered-list, [147.0, 353.0, 154.0, 18.0], 5mxJ3TQNE5, 5744632]
[ordered-list, [147.0, 371.0, 154.0, 18.0], 5mxJ3TQNE5, 5744632]
[ordered-list, [147.0, 389.0, 154.0, 18.0], 5mxJ3TQNE5, 5744632]
[ordered-list, [147.0, 407.0, 154.0, 18.0], 5mxJ3TQNE5, 5744632]
[ordered-list, [147.0, 425.0, 154.0, 18.0], 5mxJ3TQNE5, 5744632]
[ordered-list, [147.0, 443.0, 154.0, 18.0], 5mxJ3TQNE5, 5744632]
[ordered-list, [147.0, 461.0, 154.0, 18.0], 5mxJ3TQNE5, 5744632]
[ordered-list, [147.0, 479.0, 154.0, 18.0], 5mxJ3TQNE5, 5744632]
[ordered-list, [147.0, 497.0, 154.0, 18.0], 5mxJ3TQNE5, 5744632]
